id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,100,130.0,100.0,100.0
1,COMP_M,0,0_1,MESSAGE1,1,2,0,1,0_0,30.0,131.00002,161.00002,130.0,131.00002
1,COMP_M,0,0_2,MESSAGE2,2,3,1,2,0_1,30.0,163.00006000000002,193.00006000000002,161.00002,163.00006000000002
1,COMP_M,0,0_3,MESSAGE3,3,4,2,3,0_2,30.0,194.00008000000003,224.00008000000003,193.00006000000002,194.00008000000003
2,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,200,230.0,200.0,200.0
1,COMP_M,0,0_4,MESSAGE4,4,5,3,4,0_3,30.0,225.00010000000003,255.00010000000003,224.00008000000003,225.00010000000003
2,COMP_M,0,0_1,MESSAGE1,1,2,0,1,0_0,30.0,231.00002,261.00002,230.0,231.00002
2,COMP_M,0,0_2,MESSAGE2,2,3,1,2,0_1,30.0,263.00006,293.00006,261.00002,263.00006
2,COMP_M,0,0_3,MESSAGE3,3,4,2,3,0_2,30.0,294.00008,324.00008,293.00006,294.00008
3,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,300,330.0,300.0,300.0
2,COMP_M,0,0_4,MESSAGE4,4,5,3,4,0_3,30.0,325.00010000000003,355.00010000000003,324.00008,325.00010000000003
3,COMP_M,0,0_1,MESSAGE1,1,2,0,1,0_0,30.0,331.00002,361.00002,330.0,331.00002
3,COMP_M,0,0_2,MESSAGE2,2,3,1,2,0_1,30.0,363.00006,393.00006,361.00002,363.00006
3,COMP_M,0,0_3,MESSAGE3,3,4,2,3,0_2,30.0,394.00008,424.00008,393.00006,394.00008
4,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,400,430.0,400.0,400.0
3,COMP_M,0,0_4,MESSAGE4,4,5,3,4,0_3,30.0,425.00010000000003,455.00010000000003,424.00008,425.00010000000003
4,COMP_M,0,0_1,MESSAGE1,1,2,0,1,0_0,30.0,431.00002,461.00002,430.0,431.00002
4,COMP_M,0,0_2,MESSAGE2,2,3,1,2,0_1,30.0,463.00006,493.00006,461.00002,463.00006
4,COMP_M,0,0_3,MESSAGE3,3,4,2,3,0_2,30.0,494.00008,524.00008,493.00006,494.00008
5,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,500,530.0,500.0,500.0
