id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,3,0,3.003380027,M.USER.APP.0,100,3380027,0
2,LINK,2,4,1,3.00549005,M.USER.APP.1,100,2745025,1
3,LINK,3,0,2,3.02026819,M.USER.APP.2,100,2026819,2
4,LINK,3,1,3,3.002689705,M.USER.APP.3,100,2689705,3
4,LINK,1,2,3,3.02689705,M.USER.APP.3,103.002689705,2689705,3
5,LINK,1,3,0,3.003380027,M.USER.APP.0,200,3380027,0
6,LINK,2,4,1,3.00549005,M.USER.APP.1,200,2745025,1
7,LINK,3,0,2,3.02026819,M.USER.APP.2,200,2026819,2
8,LINK,3,1,3,3.002689705,M.USER.APP.3,200,2689705,3
8,LINK,1,2,3,3.02689705,M.USER.APP.3,203.002689705,2689705,3
9,LINK,1,3,0,3.003380027,M.USER.APP.0,300,3380027,0
10,LINK,2,4,1,3.00549005,M.USER.APP.1,300,2745025,1
11,LINK,3,0,2,3.02026819,M.USER.APP.2,300,2026819,2
12,LINK,3,1,3,3.002689705,M.USER.APP.3,300,2689705,3
12,LINK,1,2,3,3.02689705,M.USER.APP.3,303.002689705,2689705,3
13,LINK,1,3,0,3.003380027,M.USER.APP.0,400,3380027,0
14,LINK,2,4,1,3.00549005,M.USER.APP.1,400,2745025,1
15,LINK,3,0,2,3.02026819,M.USER.APP.2,400,2026819,2
16,LINK,3,1,3,3.002689705,M.USER.APP.3,400,2689705,3
16,LINK,1,2,3,3.02689705,M.USER.APP.3,403.002689705,2689705,3
17,LINK,1,3,0,3.003380027,M.USER.APP.0,500,3380027,0
18,LINK,2,4,1,3.00549005,M.USER.APP.1,500,2745025,1
19,LINK,3,0,2,3.02026819,M.USER.APP.2,500,2026819,2
20,LINK,3,1,3,3.002689705,M.USER.APP.3,500,2689705,3
20,LINK,1,2,3,3.02689705,M.USER.APP.3,503.002689705,2689705,3
21,LINK,1,3,0,3.003380027,M.USER.APP.0,600,3380027,0
22,LINK,2,4,1,3.00549005,M.USER.APP.1,600,2745025,1
23,LINK,3,0,2,3.02026819,M.USER.APP.2,600,2026819,2
24,LINK,3,1,3,3.002689705,M.USER.APP.3,600,2689705,3
24,LINK,1,2,3,3.02689705,M.USER.APP.3,603.002689705,2689705,3
25,LINK,1,3,0,3.003380027,M.USER.APP.0,700,3380027,0
26,LINK,2,4,1,3.00549005,M.USER.APP.1,700,2745025,1
27,LINK,3,0,2,3.02026819,M.USER.APP.2,700,2026819,2
28,LINK,3,1,3,3.002689705,M.USER.APP.3,700,2689705,3
28,LINK,1,2,3,3.02689705,M.USER.APP.3,703.002689705,2689705,3
29,LINK,1,3,0,3.003380027,M.USER.APP.0,800,3380027,0
30,LINK,2,4,1,3.00549005,M.USER.APP.1,800,2745025,1
31,LINK,3,0,2,3.02026819,M.USER.APP.2,800,2026819,2
32,LINK,3,1,3,3.002689705,M.USER.APP.3,800,2689705,3
32,LINK,1,2,3,3.02689705,M.USER.APP.3,803.002689705,2689705,3
33,LINK,1,3,0,3.003380027,M.USER.APP.0,900,3380027,0
34,LINK,2,4,1,3.00549005,M.USER.APP.1,900,2745025,1
35,LINK,3,0,2,3.02026819,M.USER.APP.2,900,2026819,2
36,LINK,3,1,3,3.002689705,M.USER.APP.3,900,2689705,3
36,LINK,1,2,3,3.02689705,M.USER.APP.3,903.002689705,2689705,3
37,LINK,1,3,0,3.003380027,M.USER.APP.0,1000,3380027,0
