id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,100,130.0,100.0,100.0
1,COMP_M,0,0_1,MESSAGE,1,2,0,3,0_0,30.0,132.00004,162.00004,130.0,132.00004
2,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,200,230.0,200.0,200.0
2,COMP_M,0,0_1,MESSAGE,1,2,0,3,0_0,30.0,232.00004,262.00004,230.0,232.00004
3,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,300,330.0,300.0,300.0
3,COMP_M,0,0_1,MESSAGE,1,2,0,3,0_0,30.0,332.00004,362.00004,330.0,332.00004
4,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,400,430.0,400.0,400.0
4,COMP_M,0,0_1,MESSAGE,1,2,0,3,0_0,30.0,432.00004,462.00004,430.0,432.00004
5,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,500,530.0,500.0,500.0
5,COMP_M,0,0_1,MESSAGE,1,2,0,3,0_0,30.0,532.0000399999999,562.0000399999999,530.0,532.0000399999999
6,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,600,630.0,600.0,600.0
6,COMP_M,0,0_1,MESSAGE,1,2,0,3,0_0,30.0,632.0000399999999,662.0000399999999,630.0,632.0000399999999
7,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,700,730.0,700.0,700.0
7,COMP_M,0,0_1,MESSAGE,1,2,0,3,0_0,30.0,732.0000399999999,762.0000399999999,730.0,732.0000399999999
8,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,800,830.0,800.0,800.0
8,COMP_M,0,0_1,MESSAGE,1,2,0,3,0_0,30.0,832.0000399999999,862.0000399999999,830.0,832.0000399999999
9,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,900,930.0,900.0,900.0
9,COMP_M,0,0_1,MESSAGE,1,2,0,3,0_0,30.0,932.0000399999999,962.0000399999999,930.0,932.0000399999999
