id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,14,0,3,30.000045833333335,M.USER.APP.3,247,275,0
2,LINK,14,0,3,30.000045833333335,M.USER.APP.3,398,275,0
3,LINK,14,0,3,30.000045833333335,M.USER.APP.3,462,275,0
4,LINK,10,15,2,18.000291222222224,M.USER.APP.2,509,2621,0
5,LINK,10,15,2,18.000291222222224,M.USER.APP.2,511,2621,1
4,LINK,15,0,2,14.000291222222222,M.USER.APP.2,527.0002912222222,2621,1
6,LINK,13,5,2,38.000327625,M.USER.APP.2,539,2621,2
5,LINK,15,0,2,14.000291222222222,M.USER.APP.2,545.0005824444445,2621,1
7,LINK,13,5,2,38.000327625,M.USER.APP.2,548,2621,2
8,LINK,13,5,2,38.000327625,M.USER.APP.2,570,2621,2
6,LINK,5,2,2,9.0001638125,M.USER.APP.2,577.000327625,2621,2
9,LINK,10,15,2,18.000291222222224,M.USER.APP.2,578,2621,3
6,LINK,2,0,2,6.000145611111111,M.USER.APP.2,586.0004914374999,2621,3
9,LINK,15,0,2,14.000291222222222,M.USER.APP.2,596.0002912222222,2621,2
10,LINK,10,15,2,18.000291222222224,M.USER.APP.2,605,2621,3
7,LINK,5,2,2,9.0001638125,M.USER.APP.2,615.0006552499999,2621,2
10,LINK,15,0,2,14.000291222222222,M.USER.APP.2,623.0002912222222,2621,2
7,LINK,2,0,2,6.000145611111111,M.USER.APP.2,624.0008190624999,2621,2
11,LINK,13,5,2,38.000327625,M.USER.APP.2,629,2621,3
12,LINK,14,0,3,30.000045833333335,M.USER.APP.3,640,275,2
8,LINK,5,2,2,9.0001638125,M.USER.APP.2,653.0009828749999,2621,2
8,LINK,2,0,2,6.000145611111111,M.USER.APP.2,662.0011466874998,2621,2
11,LINK,5,2,2,9.0001638125,M.USER.APP.2,691.0013104999998,2621,0
11,LINK,2,0,2,6.000145611111111,M.USER.APP.2,700.0014743124998,2621,0
13,LINK,10,15,2,18.000291222222224,M.USER.APP.2,738,2621,0
13,LINK,15,0,2,14.000291222222222,M.USER.APP.2,756.0002912222222,2621,0
14,LINK,11,1,2,20.000327625,M.USER.APP.2,766,2621,1
15,LINK,13,5,2,38.000327625,M.USER.APP.2,770,2621,2
14,LINK,1,2,2,6.000145611111111,M.USER.APP.2,786.000327625,2621,1
14,LINK,2,0,2,6.000145611111111,M.USER.APP.2,792.000473236111,2621,1
15,LINK,5,2,2,9.0001638125,M.USER.APP.2,808.000327625,2621,0
15,LINK,2,0,2,6.000145611111111,M.USER.APP.2,817.0004914374999,2621,0
16,LINK,10,15,2,18.000291222222224,M.USER.APP.2,849,2621,0
16,LINK,15,0,2,14.000291222222222,M.USER.APP.2,867.0002912222222,2621,0
17,LINK,11,1,2,20.000327625,M.USER.APP.2,874,2621,1
18,LINK,14,0,3,30.000045833333335,M.USER.APP.3,881,275,2
17,LINK,1,2,2,6.000145611111111,M.USER.APP.2,894.000327625,2621,1
17,LINK,2,0,2,6.000145611111111,M.USER.APP.2,900.000473236111,2621,1
19,LINK,13,5,2,38.000327625,M.USER.APP.2,931,2621,0
20,LINK,14,0,3,30.000045833333335,M.USER.APP.3,943,275,1
19,LINK,5,2,2,9.0001638125,M.USER.APP.2,969.000327625,2621,1
19,LINK,2,0,2,6.000145611111111,M.USER.APP.2,978.0004914374999,2621,0
21,LINK,14,0,3,30.000045833333335,M.USER.APP.3,988,275,0
22,LINK,14,0,3,30.000045833333335,M.USER.APP.3,990,275,1
23,LINK,13,5,2,38.000327625,M.USER.APP.2,1105,2621,0
23,LINK,5,2,2,9.0001638125,M.USER.APP.2,1143.000327625,2621,0
23,LINK,2,0,2,6.000145611111111,M.USER.APP.2,1152.0004914375,2621,0
24,LINK,12,5,2,22.000436833333332,M.USER.APP.2,1165,2621,0
24,LINK,5,2,2,9.0001638125,M.USER.APP.2,1187.0004368333334,2621,0
24,LINK,2,0,2,6.000145611111111,M.USER.APP.2,1196.0006006458334,2621,0
