name,label,width,height,x,y
0,"0",10.0,10.0,-498.92572,68.42001
1,"1",10.0,10.0,-58.023403,-796.19763
2,"2",10.0,10.0,-801.55914,-256.93436
3,"3",10.0,10.0,-529.8924,669.2833
4,"4",10.0,10.0,240.47754,49.561
5,"5",10.0,10.0,743.8631,417.44714
6,"6",10.0,10.0,-239.36902,-653.2677
7,"7",10.0,10.0,-391.69086,102.6338
8,"8",10.0,10.0,-191.4801,-747.96704
9,"9",10.0,10.0,432.7562,290.9407
10,"10",10.0,10.0,-197.07562,821.0918
11,"11",10.0,10.0,-543.24713,708.40704
12,"12",10.0,10.0,164.86324,-868.805
13,"13",10.0,10.0,854.55347,83.51517
14,"14",10.0,10.0,-842.131,-127.817696
15,"15",10.0,10.0,-830.75934,6.952623
16,"16",10.0,10.0,-716.6349,-454.44482
17,"17",10.0,10.0,-843.03015,-204.75656
18,"18",10.0,10.0,82.54714,617.5756
19,"19",10.0,10.0,-274.90677,-839.50854
20,"20",10.0,10.0,371.21677,138.68806
21,"21",10.0,10.0,-866.06,-66.56337
22,"22",10.0,10.0,-414.29825,-115.65102
23,"23",10.0,10.0,277.12674,798.05786
24,"24",10.0,10.0,155.2827,138.70532
25,"25",10.0,10.0,-239.43517,-723.39276
26,"26",10.0,10.0,586.8705,588.39185
27,"27",10.0,10.0,515.75037,-594.4905
28,"28",10.0,10.0,-859.87274,-83.192764
29,"29",10.0,10.0,-582.6919,-651.52246
30,"30",10.0,10.0,493.2899,77.52192
31,"31",10.0,10.0,-311.9664,729.78125
32,"32",10.0,10.0,-544.1316,479.6746
33,"33",10.0,10.0,637.74896,-596.36487
34,"34",10.0,10.0,784.134,422.9084
35,"35",10.0,10.0,645.0937,-549.31995
36,"36",10.0,10.0,559.8485,-673.522
37,"37",10.0,10.0,814.3426,-228.32973
38,"38",10.0,10.0,731.98724,-501.30582
39,"39",10.0,10.0,521.0032,695.5192
40,"40",10.0,10.0,375.56577,-774.89154
41,"41",10.0,10.0,-604.0645,-643.5111
42,"42",10.0,10.0,-610.0785,398.84253
43,"43",10.0,10.0,-880.285,-79.006325
44,"44",10.0,10.0,186.74216,124.28819
45,"45",10.0,10.0,-564.5179,368.32828
46,"46",10.0,10.0,-299.75067,-839.65137
47,"47",10.0,10.0,549.4172,596.34045
48,"48",10.0,10.0,611.77075,-590.23676
49,"49",10.0,10.0,9.491873,-338.47266
50,"50",10.0,10.0,507.10373,-554.1628
51,"51",10.0,10.0,-515.9202,217.94066
52,"52",10.0,10.0,371.80145,761.0822
53,"53",10.0,10.0,-336.7932,809.4095
54,"54",10.0,10.0,494.5412,-596.56616
55,"55",10.0,10.0,448.06613,-732.72235
56,"56",10.0,10.0,131.65012,816.22064
57,"57",10.0,10.0,262.35052,834.3484
58,"58",10.0,10.0,-298.46277,808.05725
59,"59",10.0,10.0,808.3518,280.57947
60,"60",10.0,10.0,-720.9324,-73.9974
61,"61",10.0,10.0,-460.00406,-468.47064
62,"62",10.0,10.0,489.0094,720.363
63,"63",10.0,10.0,-847.17096,-281.43613
64,"64",10.0,10.0,-435.1472,-614.95215
65,"65",10.0,10.0,-455.4474,-355.8408
66,"66",10.0,10.0,-50.63155,-864.46606
67,"67",10.0,10.0,-723.28314,505.72943
68,"68",10.0,10.0,-798.42426,-379.63672
69,"69",10.0,10.0,832.56586,251.94145
70,"70",10.0,10.0,87.28829,-807.7148
71,"71",10.0,10.0,-18.116776,783.26526
72,"72",10.0,10.0,-303.14908,112.91724
73,"73",10.0,10.0,-436.72986,-740.99603
74,"74",10.0,10.0,550.00305,-648.86285
75,"75",10.0,10.0,-612.29504,-216.14182
76,"76",10.0,10.0,198.14316,847.3279
77,"77",10.0,10.0,488.1769,735.6916
78,"78",10.0,10.0,-611.6962,491.2976
79,"79",10.0,10.0,-304.36893,-825.76263
80,"80",10.0,10.0,130.04254,-346.7863
81,"81",10.0,10.0,501.6861,591.9618
82,"82",10.0,10.0,806.77765,182.0328
83,"83",10.0,10.0,-881.0866,-140.95354
