id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,197,173,9,224.02507085333335,M.USER.APP.9,227,1880314,0
2,LINK,169,112,4,316.0296725466667,M.USER.APP.4,275,4450882,1
3,LINK,169,112,4,316.0296725466667,M.USER.APP.4,289,4450882,2
1,LINK,173,110,9,45.03547762264151,M.USER.APP.9,451.0250708533333,1880314,2
1,LINK,110,98,9,122.01038847513811,M.USER.APP.9,496.0605484759748,1880314,2
4,LINK,195,175,2,156.02382929090908,M.USER.APP.2,515,2621222,3
5,LINK,197,173,9,224.02507085333335,M.USER.APP.9,530,1880314,4
6,LINK,198,196,7,210.0204331909091,M.USER.APP.7,570,2247651,5
2,LINK,112,3,4,86.0264933452381,M.USER.APP.4,591.0296725466667,4450882,5
1,LINK,98,57,9,66.01413769924812,M.USER.APP.9,618.0709369511129,1880314,5
7,LINK,187,112,5,112.02945950735294,M.USER.APP.5,658,4006493,6
8,LINK,187,112,5,112.02945950735294,M.USER.APP.5,668,4006493,7
4,LINK,175,106,2,144.04032649230768,M.USER.APP.2,671.0238292909091,2621222,7
9,LINK,196,185,3,192.01234511659192,M.USER.APP.3,677,2752961,8
2,LINK,3,6,4,15.004565007179487,M.USER.APP.4,677.0561658919048,4450882,8
10,LINK,197,173,9,224.02507085333335,M.USER.APP.9,685,1880314,8
2,LINK,6,85,4,50.014986134680136,M.USER.APP.4,692.0607308990843,4450882,8
11,LINK,196,185,3,192.01234511659192,M.USER.APP.3,721,2752961,9
12,LINK,197,173,9,224.02507085333335,M.USER.APP.9,740,1880314,10
2,LINK,85,177,4,120.10855809756097,M.USER.APP.4,742.0757170337645,4450882,10
5,LINK,173,110,9,45.03547762264151,M.USER.APP.9,754.0250708533333,1880314,10
13,LINK,197,173,9,224.02507085333335,M.USER.APP.9,758,1880314,11
7,LINK,112,95,5,74.01203151051051,M.USER.APP.5,770.029459507353,4006493,11
6,LINK,196,185,7,192.01007915246637,M.USER.APP.7,780.0204331909091,2247651,11
14,LINK,196,185,1,192.01354457399103,M.USER.APP.1,797,3020440,12
5,LINK,110,98,9,122.01038847513811,M.USER.APP.9,799.0605484759749,1880314,12
4,LINK,106,15,2,122.00549522431866,M.USER.APP.2,815.0641557832168,2621222,12
15,LINK,196,185,3,192.01234511659192,M.USER.APP.3,846,2752961,12
2,LINK,177,193,4,284.0578036623377,M.USER.APP.4,862.1842751313254,4450882,12
9,LINK,185,112,3,231.0218488968254,M.USER.APP.3,869.0123451165919,2752961,12
8,LINK,112,95,5,74.01203151051051,M.USER.APP.5,882.0589190147059,4006493,12
7,LINK,95,5,5,52.00756681967213,5_(36-41),884.1414910178635,2307880,13
7,LINK,95,5,5,52.01142173114754,5_(36-37),884.1414910178635,3483628,14
7,LINK,95,5,5,52.010306681967215,5_(36-38),884.1414910178635,3143538,15
3,LINK,112,3,4,86.0264933452381,M.USER.APP.4,907.0593450933334,4450882,15
5,LINK,98,57,9,66.01413769924812,M.USER.APP.9,921.070936951113,1880314,15
1,LINK,57,6,9,258.0086720790961,9_(55-56),927.8090010307292,1534958,16
1,LINK,57,6,9,258.00986002824857,9_(55-58),927.8090010307292,1745225,17
1,LINK,57,6,9,258.0251496949152,9_(55-59),927.8090010307292,4451496,18
1,LINK,57,6,9,258.01610819209037,9_(55-61),927.8090010307292,2851150,19
7,LINK,5,6,5,69.00497387931034,5_(36-41),936.1490578375356,2307880,19
4,LINK,15,99,2,152.03798872463767,M.USER.APP.2,937.0696510075355,2621222,19
10,LINK,173,110,9,45.03547762264151,M.USER.APP.9,978.0501417066666,1880314,18
16,LINK,187,112,5,112.02945950735294,M.USER.APP.5,985,4006493,19
7,LINK,5,6,5,69.00750781896552,5_(36-37),988.1604795686831,3483628,18
3,LINK,3,6,4,15.004565007179487,M.USER.APP.4,993.0858384385715,4450882,18
8,LINK,95,5,5,52.00756681967213,5_(36-41),996.1709505252164,2307880,19
8,LINK,95,5,5,52.01142173114754,5_(36-37),996.1709505252164,3483628,20
8,LINK,95,5,5,52.010306681967215,5_(36-38),996.1709505252164,3143538,21
7,LINK,6,57,5,258.0130388700565,5_(36-41),1005.1540317168459,2307880,21
3,LINK,6,85,4,50.014986134680136,M.USER.APP.4,1008.090403445751,4450882,21
17,LINK,197,173,9,224.02507085333335,M.USER.APP.9,1021,1880314,22
10,LINK,110,98,9,122.01038847513811,M.USER.APP.9,1023.0856193293082,1880314,22
18,LINK,194,190,3,80.013764805,M.USER.APP.3,1033,2752961,23
7,LINK,5,6,5,69.00677486637932,5_(36-38),1040.1707862506503,3143538,23
19,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1046,4006493,24
