id,type,src,dst,app,latency,message,ctime,size,buffer
16,LINK,194,190,6,80.01325551,M.USER.APP.6,679,2651102,0
27,LINK,194,190,6,80.01325551,M.USER.APP.6,1075,2651102,0
28,LINK,194,190,6,80.01325551,M.USER.APP.6,1143,2651102,1
29,LINK,194,190,6,80.01325551,M.USER.APP.6,1153,2651102,2
34,LINK,194,190,6,80.01325551,M.USER.APP.6,1341,2651102,0
42,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1660,4006493,0
42,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1772.0294595073528,4006493,0
48,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1789,4006493,1
42,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1804.0402878668124,4006493,1
51,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1869,4006493,2
52,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1874,4006493,3
48,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1901.0294595073528,4006493,3
54,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1923,4006493,4
48,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1933.0402878668124,4006493,4
55,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1934,4006493,5
42,LINK,74,153,5,150.0702893508772,M.USER.APP.5,1952.0494770709408,4006493,5
56,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1957,4006493,6
57,LINK,194,190,6,80.01325551,M.USER.APP.6,1969,2651102,7
51,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2013.0589190147057,4006493,7
51,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2045.0697473741652,4006493,7
59,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2056,4006493,7
48,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2100.0586662750693,4006493,7
62,LINK,194,190,6,80.01325551,M.USER.APP.6,2106,2651102,7
52,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2125.0883785220585,4006493,7
52,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2157.099206881518,4006493,7
63,LINK,194,190,6,80.01325551,M.USER.APP.6,2166,2651102,8
66,LINK,194,190,6,80.01325551,M.USER.APP.6,2231,2651102,8
54,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2237.1178380294114,4006493,8
51,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2248.0678554791975,4006493,8
54,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2269.128666388871,4006493,6
68,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2311,4006493,7
55,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2349.147297536764,4006493,6
55,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2381.1581258962237,4006493,6
52,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2396.0770446833258,4006493,6
56,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2461.176757044117,4006493,5
56,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2493.1875854035766,4006493,5
72,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2505,4006493,6
54,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2544.086233887454,4006493,6
59,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2573.20621655147,4006493,5
74,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2574,4006493,6
