"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","108",1
"2","181",2
"3","85",3
"4","57",4
"5","43",5
"6","69",6
"7","94",6
"8","140",7
"9","193",7
"10","169",8
"12","73",9
"11","55",10
"13","30",11
"14","32",12
"15","84",13
"16","105",14
"17","164",14
"18","78",15
"19","184",16
"20","127",17
"25","72",18
"28","63",19
"21","28",19
"22","60",19
"23","7",19
"24","25",20
"29","93",20
"30","125",21
"26","175",21
"27","58",21
"31","91",22
"32","95",23
"35","36",24
"33","38",24
"36","124",24
"34","89",24
"42","189",24
"43","117",25
"44","137",25
"48","121",26
"37","27",26
"38","187",27
"53","176",27
"40","48",27
"39","103",27
"52","134",27
"41","71",27
"45","51",28
"46","102",29
"50","133",29
"56","130",29
"58","131",29
"47","44",29
"59","182",29
"49","45",29
"51","100",30
"57","33",30
"55","10",30
"60","75",31
"54","88",31
"61","14",32
"66","119",32
"63","112",32
"62","110",33
"65","172",33
"64","62",33
"68","141",34
"72","22",34
"67","135",34
"75","18",34
"74","53",34
"69","37",34
"70","2",35
"71","31",36
"82","153",36
"73","160",36
"76","34",37
"84","161",37
"78","70",37
"86","163",37
"77","17",37
"88","126",37
"85","16",37
"80","79",37
"81","173",38
"79","50",38
"98","171",38
"89","42",38
"83","185",38
"93","3",38
"97","67",38
"87","146",38
"94","129",38
"95","159",38
"96","186",38
"102","109",38
"99","41",38
"103","132",38
"101","23",38
"100","170",39
"104","158",40
"105","80",41
"106","136",42
"108","99",42
"109","183",42
"91","96",42
"90","11",42
"107","156",42
"112","101",42
"92","177",42
"119","24",42
"117","19",43
"110","180",43
"111","165",44
"122","56",44
"116","178",44
"118","191",44
"115","52",44
"114","49",45
"123","116",45
"113","29",45
"128","6",45
"126","149",45
"120","40",45
"121","92",45
"133","65",45
"124","77",45
"134","98",45
"125","104",45
"135","4",45
"132","15",45
"143","139",45
"137","174",45
"144","194",45
"127","46",45
"129","167",46
"136","155",46
"130","35",46
"131","148",47
"140","83",47
"138","97",47
"148","54",47
"150","198",47
"141","115",47
"139","152",47
"153","197",47
"142","87",47
"145","47",48
"146","66",49
"147","1",50
"149","147",51
"151","157",52
"152","123",53
"155","113",54
"154","39",54
"166","8",54
"156","192",54
"160","138",54
"157","162",54
"158","9",54
"169","106",54
"159","128",54
"161","143",54
"170","82",54
"163","196",54
"162","68",54
"172","20",54
"174","90",55
"167","120",55
"164","168",55
"165","190",55
"176","74",55
"168","81",55
"171","144",56
"177","179",56
"175","26",56
"178","5",56
"180","111",57
"181","12",58
"173","166",58
"184","199",58
"186","154",58
"185","61",58
"183","122",59
"182","188",59
"187","59",59
"191","13",60
"179","150",60
"198","64",60
"188","107",61
"194","151",62
"196","200",62
"200","86",62
"197","21",63
"190","118",64
"189","114",65
"193","145",65
"195","195",65
"199","76",65
"192","142",66
