"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","101",1
"2","105",2
"4","109",3
"5","111",4
"8","107",5
"3","113",5
"6","103",6
"7","177",7
"9","187",8
"10","161",9
"11","143",10
"12","119",11
"13","139",11
"14","151",11
"15","175",12
"16","157",13
"17","193",14
"18","189",15
"19","117",16
"20","123",17
"24","168",17
"21","183",17
"22","185",17
"23","169",18
"25","149",19
"27","121",20
"26","127",20
"28","147",20
"29","163",21
"30","141",22
"31","153",22
"32","159",23
"33","167",24
"34","145",25
"36","165",26
"37","131",27
"39","155",28
"40","129",29
"35","178",29
"43","135",29
"38","181",29
"41","137",30
"44","173",30
"45","133",31
"46","125",32
"48","7",32
"53","47",33
"52","191",34
"54","1",35
"55","115",36
"57","3",37
"61","5",38
"42","104",38
"62","57",38
"64","63",38
"65","69",38
"67","81",38
"68","89",39
"66","77",40
"69","95",40
"58","11",41
"60","39",41
"63","61",41
"70","99",41
"73","41",42
"75","53",42
"74","45",43
"77","9",43
"49","102",43
"76","73",43
"78","93",43
"82","79",43
"83","91",43
"50","112",43
"72","33",43
"71","21",44
"47","108",44
"85","87",44
"51","110",44
"80","15",44
"89","171",44
"81","49",44
"84","75",45
"79","13",45
"56","164",45
"87","35",45
"59","174",45
"90","71",45
"94","51",46
"96","59",46
"95","83",46
"91","17",47
"92","27",47
"99","25",47
"86","138",47
"101","37",47
"93","31",47
"97","67",47
"103","152",47
"88","158",47
"98","97",48
"100","29",49
"110","86",49
"102","136",49
"115","179",49
"111","126",49
"114","122",49
"106","85",49
"104","134",49
"105","172",49
"120","188",49
"117","130",49
"118","162",49
"119","180",49
"107","106",49
"108","23",49
"116","114",49
"109","192",49
"112","190",50
"122","124",50
"123","146",51
"130","195",51
"125","148",51
"124","176",51
"131","194",51
"113","43",51
"127","132",51
"128","140",51
"129","166",51
"121","19",51
"132","118",52
"134","184",53
"126","55",53
"135","142",53
"133","128",53
"136","144",53
"137","150",54
"140","4",54
"138","186",54
"143","2",54
"142","116",55
"147","16",55
"141","100",55
"146","156",55
"150","198",55
"145","54",55
"148","170",55
"151","197",55
"149","182",55
"153","199",55
"144","30",55
"160","160",55
"139","65",55
"152","94",55
"162","196",55
"154","6",55
"157","120",56
"198","92",57
"169","32",58
"168","28",59
"175","44",60
"164","200",61
"159","154",62
"184","64",62
"185","66",62
"192","8",63
"188","72",64
"156","12",65
"171","36",65
"161","18",66
"200","98",66
"172","38",67
"193","80",67
"189","74",68
"182","60",69
"165","22",70
"176","46",71
"170","34",72
"191","78",72
"195","84",73
"196","88",73
"179","52",74
"199","96",75
"181","58",76
"166","24",77
"174","42",77
"183","62",77
"178","50",78
"187","70",78
"177","48",79
"190","76",79
"173","40",80
"180","56",80
"197","90",81
"158","14",82
"186","68",82
"167","26",83
"155","10",84
"194","82",85
"163","20",86
