node,hopcount,latency,power,deploymentPenalty,cost
0,4,439,655.0,1,40
1,5,428,764.5,40,40
2,4,412,805.5,1,40
3,4,451,714.5,40,40
4,5,636,781.5,1,40
5,5,442,805.5,40,40
6,5,478,664.0,1,40
7,5,495,681.0,40,40
8,6,682,690.0,1,40
9,6,637,783.0,40,40
10,6,545,789.5,1,40
11,6,504,590.5,40,40
12,6,524,772.5,1,40
13,6,606,691.0,40,40
14,5,559,745.0,1,40
15,5,485,824.0,40,40
16,6,752,709.5,1,40
17,6,630,584.5,40,40
18,6,675,669.0,1,40
19,6,667,815.0,40,40
20,5,547,693.0,1,40
21,6,652,782.0,40,40
22,6,603,818.5,1,40
23,6,545,838.0,40,40
24,6,629,716.5,1,40
25,6,620,609.0,40,40
26,6,554,769.0,1,40
27,6,519,579.5,40,40
28,6,572,806.0,1,40
29,5,477,725.0,40,40
30,6,578,651.0,1,40
31,6,505,816.5,40,40
32,5,541,780.5,1,40
33,6,627,559.0,40,40
34,6,542,632.5,1,40
35,5,517,570.0,40,40
36,6,629,757.5,1,40
37,6,567,741.5,40,40
38,6,598,784.0,1,40
39,5,558,660.5,40,40
40,6,624,703.5,1,40
41,6,580,780.5,40,40
42,6,643,753.0,1,40
43,6,688,611.5,40,40
44,5,559,647.5,1,40
45,6,644,746.0,40,40
46,6,822,527.5,1,40
47,5,548,721.5,40,40
48,5,581,655.0,1,40
49,6,724,724.5,40,40
50,5,369,580.0,1,40
51,6,520,765.5,40,40
52,6,509,677.5,1,40
53,6,506,596.0,40,40
54,6,663,758.0,1,40
55,6,580,623.0,40,40
56,6,573,780.0,1,40
57,6,724,733.5,40,40
58,5,576,568.0,1,40
59,6,595,614.0,40,40
60,6,776,573.0,1,40
61,6,604,791.0,40,40
62,6,690,737.5,1,40
63,5,592,798.5,40,40
64,6,753,733.0,1,40
65,5,496,645.0,40,40
66,6,620,529.0,1,40
67,5,487,746.0,40,40
68,6,735,589.0,1,40
69,6,679,694.5,40,40
70,4,425,541.5,1,40
71,6,555,651.0,40,40
72,5,454,805.0,1,40
73,5,548,635.0,40,40
74,6,627,626.0,1,40
75,5,463,718.5,40,40
76,5,529,545.0,1,40
77,6,663,533.0,40,40
78,5,570,681.0,1,40
