id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,8,8_52,M.USER.APP.8,76,78,199,197,None,177.26845637583892,460.01994283333335,637.2883992091722,220.0,460.01994283333335
2,COMP_M,9,9_55,M.USER.APP.9,80,81,197,173,None,65.44810543657331,596.0250708533333,661.4731762899066,372.0,596.0250708533333
6,COMP_M,3,3_22,M.USER.APP.3,93,83,196,185,None,111.345,698.0123451165919,809.3573451165919,506.0,698.0123451165919
3,COMP_M,8,8_52,M.USER.APP.8,76,78,199,197,None,177.26845637583892,700.0398856666667,877.3083420425056,381.0,700.0398856666667
2,COMP_M,9,9_56,9_(55-56),81,88,173,137,9_55,31.084880636604776,772.5074490349612,803.592329671566,661.4731762899066,772.5074490349612
7,COMP_M,9,9_55,M.USER.APP.9,80,81,197,173,None,65.44810543657331,820.0501417066666,885.49824714324,530.0,820.0501417066666
8,COMP_M,4,4_27,M.USER.APP.4,86,85,169,112,None,66.49436795994994,903.0296725466667,969.5240405066166,587.0,903.0296725466667
2,COMP_M,9,9_58,9_(55-58),81,89,173,101,9_55,182.13745704467354,903.5433771304278,1085.6808341751014,661.4731762899066,903.5433771304278
2,COMP_M,9,9_61,9_(55-61),81,91,173,160,9_55,129.0880829015544,913.6874735908259,1042.7755564923802,661.4731762899066,913.6874735908259
4,COMP_M,8,8_52,M.USER.APP.8,76,78,199,197,None,177.26845637583892,940.0598285000001,1117.328284875839,436.0,940.0598285000001
7,COMP_M,9,9_56,9_(55-56),81,88,173,137,9_55,31.084880636604776,996.5325198882945,1027.6174005248993,885.49824714324,996.5325198882945
8,COMP_M,4,4_28,4_(27-28),85,100,112,100,4_27,75.34718100890208,1001.5287698201302,1076.8759508290323,969.5240405066166,1001.5287698201302
2,COMP_M,9,9_59,9_(55-59),81,90,173,141,9_55,61.34627492130115,1027.6776293415453,1089.0239042628464,661.4731762899066,1027.6776293415453
2,COMP_M,9,9_57,9_(56-57),88,97,137,103,9_56,47.08801213960546,1041.6563488395893,1088.7443609791949,803.592329671566,1041.6563488395893
8,COMP_M,4,4_29,4_(27-29),85,101,112,118,4_27,206.95686274509805,1080.563154732423,1287.5200174775212,969.5240405066166,1080.563154732423
14,COMP_M,3,3_22,M.USER.APP.3,93,83,196,185,None,111.345,1082.0382348071748,1193.3832348071749,796.0,1082.0382348071748
13,COMP_M,3,3_22,M.USER.APP.3,82,96,194,109,None,117.51451187335093,1088.0290590327777,1205.5435709061287,777.0,1088.0290590327777
12,COMP_M,0,0_0,M.USER.APP.0,86,95,169,192,None,338.4065040650407,1101.0300458345323,1439.436549899573,757.0,1101.0300458345323
1,COMP_M,8,8_53,8_(52-53),78,87,197,110,8_52,62.322072072072075,1110.7796372564474,1173.1017093285195,637.2883992091722,1110.7796372564474
6,COMP_M,3,3_25,3_(22-25),83,98,185,133,3_22,260.74242424242425,1112.3705668026232,1373.1129910450475,809.3573451165919,1112.3705668026232
7,COMP_M,9,9_58,9_(55-58),81,89,173,101,9_55,182.13745704467354,1127.5684479837612,1309.7059050284347,885.49824714324,1127.5684479837612
7,COMP_M,9,9_61,9_(55-61),81,91,173,160,9_55,129.0880829015544,1137.7125444441594,1266.8006273457138,885.49824714324,1137.7125444441594
11,COMP_M,1,1_9,M.USER.APP.1,93,94,196,151,None,58.643449419568825,1151.0797667831494,1209.7232162027183,674.0,1151.0797667831494
5,COMP_M,8,8_52,M.USER.APP.8,76,78,199,197,None,177.26845637583892,1180.0797713333334,1357.3482277091723,490.0,1180.0797713333334
21,COMP_M,5,5_36,M.USER.APP.5,92,103,187,105,None,24.400688863375432,1216.0404966781518,1240.4411855415274,1002.0,1216.0404966781518
15,COMP_M,4,4_27,M.USER.APP.4,86,85,169,112,None,66.49436795994994,1219.0593450933334,1285.5537130532832,800.0,1219.0593450933334
8,COMP_M,4,4_30,4_(28-30),100,105,100,186,4_28,200.22821576763485,1238.8978122109418,1439.1260279785765,1076.8759508290323,1238.8978122109418
7,COMP_M,9,9_59,9_(55-59),81,90,173,141,9_55,61.34627492130115,1258.7362016573347,1320.0824765786358,885.49824714324,1258.7362016573347
7,COMP_M,9,9_57,9_(56-57),88,97,137,103,9_56,47.08801213960546,1265.6814196929226,1312.7694318325282,1027.6174005248993,1265.6814196929226
16,COMP_M,9,9_55,M.USER.APP.9,80,81,197,173,None,65.44810543657331,1268.1329571866665,1333.5810626232399,822.0,1268.1329571866665
1,COMP_M,8,8_54,8_(53-54),87,108,110,104,8_53,291.5098039215686,1299.1356973504087,1590.6455012719773,1173.1017093285195,1299.1356973504087
15,COMP_M,4,4_28,4_(27-28),85,100,112,100,4_27,75.34718100890208,1333.7895463519556,1409.1367273608575,1285.5537130532832,1333.7895463519556
