"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","173",1
"2","105",2
"3","107",3
"4","169",3
"5","189",4
"6","143",5
"7","183",6
"8","113",7
"9","101",8
"10","167",9
"11","121",10
"12","181",10
"13","159",11
"14","193",11
"15","155",12
"18","109",13
"19","103",14
"16","191",14
"17","129",15
"20","157",16
"21","115",17
"22","119",18
"23","111",19
"24","106",20
"25","171",21
"26","179",21
"27","149",22
"28","127",23
"29","117",24
"31","91",25
"32","147",26
"33","177",27
"34","175",28
"35","123",29
"36","65",29
"37","163",30
"38","153",31
"40","187",32
"41","165",33
"42","125",34
"43","141",34
"44","133",35
"45","135",35
"30","151",35
"48","102",35
"49","110",35
"39","137",35
"46","185",35
"50","126",35
"47","195",35
"51","139",36
"52","161",37
"54","136",38
"53","112",38
"56","144",38
"57","168",38
"59","178",38
"60","190",39
"63","180",40
"58","172",40
"64","176",40
"67","152",41
"66","116",42
"68","160",43
"65","3",43
"71","146",43
"55","134",43
"74","130",43
"73","164",43
"70","131",43
"75","162",43
"72","108",43
"69","182",43
"76","188",43
"61","118",43
"62","128",43
"78","104",43
"79","122",44
"82","145",44
"80","69",44
"83","192",45
"84","1",46
"86","63",46
"77","184",46
"85","57",47
"88","73",48
"89","93",48
"94","197",48
"90","11",48
"93","7",48
"91","148",48
"92","186",48
"101","158",48
"100","124",49
"96","87",49
"81","47",49
"97","140",49
"98","53",49
"87","132",49
"109","156",49
"111","174",50
"107","138",51
"104","25",51
"102","33",51
"105","37",51
"103","21",52
"99","59",52
"108","15",53
"114","196",53
"112","45",53
"115","194",53
"120","79",54
"122","16",54
"113","49",54
"95","51",54
"116","120",54
"123","166",54
"110","170",54
"126","150",54
"117","67",54
"121","142",54
"118","39",54
"119","41",54
"127","75",54
"106","83",54
"125","114",55
"129","5",55
"132","94",55
"128","61",55
"133","9",55
"131","95",55
"136","19",55
"137","23",55
"138","43",55
"139","55",55
"141","85",55
"142","89",55
"135","97",55
"143","99",55
"124","71",55
"146","13",55
"147","17",55
"157","35",55
"174","81",55
"130","77",55
"134","154",56
"151","27",56
"153","29",56
"154","31",56
"140","8",56
"152","28",57
"148","2",58
"161","44",58
"155","32",59
"158","38",60
"171","72",60
"168","60",61
"176","84",61
"156","34",62
"160","40",63
"162","48",63
"164","52",63
"173","78",64
"177","86",65
"180","96",66
"169","64",67
"163","50",68
"170","70",68
"145","100",69
"178","88",70
"159","4",71
"186","199",71
"185","198",72
"167","6",72
"196","66",72
"150","24",72
"182","12",72
"191","36",72
"166","56",72
"181","98",73
"192","42",73
"200","92",73
"165","54",73
"172","74",73
"198","76",73
"179","90",73
"184","18",73
"187","200",73
"175","82",73
"144","10",74
"193","46",74
"188","22",75
"149","20",75
"190","30",75
"199","80",76
"195","62",77
"183","14",78
"189","26",79
"194","58",80
"197","68",81
