id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
2,COMP_M,9,9_55,M.USER.APP.9,80,81,197,173,None,65.44810543657331,596.0250708533333,661.4731762899066,372.0,596.0250708533333
6,COMP_M,3,3_22,M.USER.APP.3,92,83,196,185,None,111.345,698.0123451165919,809.3573451165919,506.0,698.0123451165919
2,COMP_M,9,9_56,9_(55-56),81,87,173,137,9_55,31.084880636604776,772.5074490349612,803.592329671566,661.4731762899066,772.5074490349612
1,COMP_M,8,8_52,M.USER.APP.8,76,78,199,110,None,59.48873873873874,886.7247789314162,946.2135176701549,220.0,886.7247789314162
8,COMP_M,4,4_27,M.USER.APP.4,86,85,169,112,None,66.49436795994994,903.0296725466667,969.5240405066166,587.0,903.0296725466667
2,COMP_M,9,9_58,9_(55-58),81,88,173,101,9_55,182.13745704467354,903.5433771304278,1085.6808341751014,661.4731762899066,903.5433771304278
2,COMP_M,9,9_59,9_(55-59),81,89,173,151,9_55,96.9535655058043,908.6724245546422,1005.6259900604466,661.4731762899066,908.6724245546422
8,COMP_M,4,4_28,4_(27-28),85,100,112,100,4_27,75.34718100890208,1001.5287698201302,1076.8759508290323,969.5240405066166,1001.5287698201302
1,COMP_M,8,8_53,8_(52-53),78,99,110,160,8_52,143.37305699481865,1018.2357271419498,1161.6087841367685,946.2135176701549,1018.2357271419498
2,COMP_M,9,9_57,9_(56-57),87,96,137,103,9_56,47.08801213960546,1041.6563488395893,1088.7443609791949,803.592329671566,1041.6563488395893
7,COMP_M,9,9_55,M.USER.APP.9,80,81,197,173,None,65.44810543657331,1044.08683652,1109.5349419565732,530.0,1044.08683652
2,COMP_M,9,9_61,9_(55-61),81,90,173,141,9_55,52.28541448058762,1072.7103674403536,1124.9957819209412,661.4731762899066,1072.7103674403536
8,COMP_M,4,4_29,4_(27-29),85,101,112,118,4_27,206.95686274509805,1080.563154732423,1287.5200174775212,969.5240405066166,1080.563154732423
14,COMP_M,3,3_22,M.USER.APP.3,92,83,196,185,None,111.345,1082.0382348071748,1193.3832348071749,796.0,1082.0382348071748
13,COMP_M,3,3_22,M.USER.APP.3,82,95,194,109,None,117.51451187335093,1088.0290590327777,1205.5435709061287,777.0,1088.0290590327777
12,COMP_M,0,0_0,M.USER.APP.0,86,94,169,192,None,338.4065040650407,1101.0300458345323,1439.436549899573,757.0,1101.0300458345323
6,COMP_M,3,3_23,3_(22-23),83,98,185,105,3_22,49.16188289322618,1142.3900830668085,1191.5519659600347,809.3573451165919,1142.3900830668085
6,COMP_M,3,3_25,3_(22-25),83,97,185,191,3_22,66.44401544401545,1145.3729849272509,1211.8170003712662,809.3573451165919,1145.3729849272509
2,COMP_M,9,9_60,9_(59-60),89,104,151,111,9_59,91.13746630727763,1155.671621796861,1246.8090881041387,1005.6259900604466,1155.671621796861
15,COMP_M,4,4_27,M.USER.APP.4,86,85,169,112,None,66.49436795994994,1219.0593450933334,1285.5537130532832,800.0,1219.0593450933334
7,COMP_M,9,9_56,9_(55-56),81,87,173,137,9_55,31.084880636604776,1220.5692147016277,1251.6540953382325,1109.5349419565732,1220.5692147016277
21,COMP_M,5,5_36,M.USER.APP.5,91,103,187,123,None,272.47435897435895,1223.05874678562,1495.533105759979,1002.0,1223.05874678562
8,COMP_M,4,4_30,4_(28-30),100,106,100,186,4_28,200.22821576763485,1238.8978122109418,1439.1260279785765,1076.8759508290323,1238.8978122109418
2,COMP_M,9,9_63,9_(60-63),104,115,111,179,9_60,50.98449612403101,1309.8167182787963,1360.8012144028273,1246.8090881041387,1309.8167182787963
2,COMP_M,9,9_62,9_(60-62),104,114,111,161,9_60,69.08169014084507,1309.824169616774,1378.905859757619,1246.8090881041387,1309.824169616774
15,COMP_M,4,4_28,4_(27-28),85,100,112,100,4_27,75.34718100890208,1317.5584423667967,1392.9056233756987,1285.5537130532832,1317.5584423667967
3,COMP_M,8,8_52,M.USER.APP.8,76,78,199,110,None,59.48873873873874,1334.7865445980826,1394.2752833368213,381.0,1334.7865445980826
7,COMP_M,9,9_58,9_(55-58),81,88,173,101,9_55,182.13745704467354,1351.6051427970942,1533.7425998417677,1109.5349419565732,1351.6051427970942
7,COMP_M,9,9_59,9_(55-59),81,89,173,151,9_55,96.9535655058043,1356.7341902213088,1453.6877557271132,1109.5349419565732,1356.7341902213088
11,COMP_M,1,1_9,M.USER.APP.1,92,93,196,133,None,178.59595959595958,1358.386921053043,1536.9828806490025,674.0,1358.386921053043
1,COMP_M,8,8_54,8_(53-54),99,108,160,104,8_53,291.5098039215686,1359.6590794253243,1651.168883346893,1161.6087841367685,1359.6590794253243
13,COMP_M,3,3_25,3_(22-25),95,112,109,117,3_22,56.98344370860927,1376.556375372294,1433.5398190809033,1205.5435709061287,1376.556375372294
6,COMP_M,3,3_24,3_(23-24),98,110,105,159,3_23,132.15776699029126,1377.58663192812,1509.7443989184112,1191.5519659600347,1377.58663192812
25,COMP_M,2,2_19,M.USER.APP.2,102,107,195,106,None,34.162955465587046,1381.0641557832168,1415.2271112488038,1081.0,1381.0641557832168
6,COMP_M,3,3_26,3_(23-26),98,111,105,163,3_23,532.581081081081,1385.572944460915,1918.1540255419961,1191.5519659600347,1385.572944460915
13,COMP_M,3,3_23,3_(22-23),95,113,109,127,3_22,62.05797101449275,1391.5610686375574,1453.61903965205,1205.5435709061287,1391.5610686375574
15,COMP_M,4,4_29,4_(27-29),85,101,112,118,4_27,206.95686274509805,1396.5928272790898,1603.5496900241878,1285.5537130532832,1396.5928272790898
31,COMP_M,2,2_19,M.USER.APP.2,105,109,172,90,None,176.717277486911,1403.0123062065727,1579.7295836934836,1175.0,1403.0123062065727
27,COMP_M,3,3_22,M.USER.APP.3,82,95,194,109,None,117.51451187335093,1427.0290590327777,1544.5435709061287,1116.0,1427.0290590327777
17,COMP_M,0,0_0,M.USER.APP.0,86,94,169,192,None,338.4065040650407,1445.0600916690646,1783.4665957341053,834.0,1445.0600916690646
3,COMP_M,8,8_53,8_(52-53),78,99,110,160,8_52,143.37305699481865,1466.2974928086162,1609.6705498034348,1394.2752833368213,1466.2974928086162
7,COMP_M,9,9_57,9_(56-57),87,96,137,103,9_56,47.08801213960546,1489.718114506256,1536.8061266458615,1251.6540953382325,1489.718114506256
16,COMP_M,9,9_55,M.USER.APP.9,80,81,197,173,None,65.44810543657331,1492.1486021866665,1557.5967076232398,822.0,1492.1486021866665
7,COMP_M,9,9_61,9_(55-61),81,90,173,141,9_55,52.28541448058762,1520.77213310702,1573.0575475876076,1109.5349419565732,1520.77213310702
14,COMP_M,3,3_23,3_(22-23),83,98,185,105,3_22,49.16188289322618,1526.4159727573915,1575.5778556506177,1193.3832348071749,1526.4159727573915
24,COMP_M,4,4_27,M.USER.APP.4,86,85,169,112,None,66.49436795994994,1535.08901764,1601.58338559995,1058.0,1535.08901764
28,COMP_M,2,2_19,M.USER.APP.2,102,107,195,106,None,34.162955465587046,1537.087985074126,1571.250940539713,1135.0,1537.087985074126
15,COMP_M,4,4_30,4_(28-30),100,106,100,186,4_28,200.22821576763485,1554.9274847576082,1755.155700525243,1392.9056233756987,1554.9274847576082
25,COMP_M,2,2_21,2_(19-21),107,120,106,108,2_19,83.17111459968604,1555.2698001664874,1638.4409147661734,1415.2271112488038,1555.2698001664874
8,COMP_M,4,4_35,4_(29-35),101,116,118,116,4_29,176.89256198347107,1563.5850774035237,1740.4776393869947,1287.5200174775212,1563.5850774035237
12,COMP_M,0,0_1,0_(0-1),94,123,192,170,0_0,66.5317679558011,1587.4737840424302,1654.0055519982313,1439.436549899573,1587.4737840424302
25,COMP_M,2,2_20,2_(19-20),107,119,106,128,2_19,129.9850374064838,1601.2334180506332,1731.218455457117,1415.2271112488038,1601.2334180506332
7,COMP_M,9,9_60,9_(59-60),89,104,151,111,9_59,91.13746630727763,1603.7333874635276,1694.8708537708053,1453.6877557271132,1603.7333874635276
