node,hopcount,latency,power,deploymentPenalty,cost
0,4,209,655.0,1,40
1,2,174,764.5,40,40
2,3,190,805.5,1,40
3,3,247,714.5,40,40
4,4,332,781.5,1,40
5,4,491,805.5,40,40
6,3,201,664.0,1,40
7,4,336,681.0,40,40
8,5,378,690.0,1,40
9,5,478,783.0,40,40
10,4,354,789.5,1,40
11,3,250,590.5,40,40
12,5,573,772.5,1,40
13,5,655,691.0,40,40
14,5,329,745.0,1,40
15,3,294,824.0,40,40
16,5,448,709.5,1,40
17,4,353,584.5,40,40
18,5,516,669.0,1,40
19,5,508,815.0,40,40
20,5,317,693.0,1,40
21,4,375,782.0,40,40
22,5,444,818.5,1,40
23,5,386,838.0,40,40
24,4,438,716.5,1,40
25,5,669,609.0,40,40
26,5,603,769.0,1,40
27,4,328,579.5,40,40
28,5,621,806.0,1,40
29,4,273,725.0,40,40
30,5,627,651.0,1,40
31,4,314,816.5,40,40
32,5,311,780.5,1,40
33,4,436,559.0,40,40
34,5,591,632.5,1,40
35,5,287,570.0,40,40
36,4,438,757.5,1,40
37,4,376,741.5,40,40
38,4,321,784.0,1,40
39,4,336,660.5,40,40
40,4,347,703.5,1,40
41,3,326,780.5,40,40
42,3,188,753.0,1,40
43,2,225,611.5,40,40
44,4,355,647.5,1,40
45,4,379,746.0,40,40
46,4,427,527.5,1,40
47,4,326,721.5,40,40
48,4,377,655.0,1,40
49,4,525,724.5,40,40
50,3,330,580.0,1,40
51,3,266,765.5,40,40
52,3,255,677.5,1,40
53,4,241,596.0,40,40
54,4,538,758.0,1,40
55,5,629,623.0,40,40
56,4,327,780.0,1,40
57,4,459,733.5,40,40
58,4,385,568.0,1,40
59,4,404,614.0,40,40
60,5,368,573.0,1,40
61,4,424,791.0,40,40
62,4,335,737.5,1,40
63,4,370,798.5,40,40
64,5,767,733.0,1,40
65,4,429,645.0,40,40
66,5,422,529.0,1,40
67,5,492,746.0,40,40
68,4,333,589.0,1,40
69,4,528,694.5,40,40
70,4,266,541.5,1,40
71,4,404,651.0,40,40
72,4,232,805.0,1,40
73,4,326,635.0,40,40
74,5,462,626.0,1,40
75,1,0,718.5,40,40
76,4,325,545.0,1,40
77,4,472,533.0,40,40
78,4,424,681.0,1,40
79,4,347,650.0,40,40
80,3,210,659.5,1,40
81,5,475,749.5,40,40
82,5,422,566.0,1,40
83,4,252,813.0,40,40
84,5,302,646.0,1,40
85,4,251,822.0,40,40
86,4,396,796.5,1,40
87,4,258,682.5,40,40
88,3,296,711.0,1,40
89,4,272,807.5,40,40
90,4,296,614.0,1,40
91,4,289,753.5,40,40
92,4,234,786.5,1,40
93,4,273,542.0,40,40
94,4,333,579.0,1,40
95,4,436,803.5,40,40
96,3,352,778.5,1,40
97,4,295,800.0,40,40
98,4,327,780.0,1,40
99,4,237,714.0,40,40
100,4,388,527.5,1,1
101,4,496,557.0,40,1
102,3,286,659.5,1,1
103,4,382,567.0,40,1
104,3,196,541.0,1,1
105,4,560,750.0,40,1
106,2,34,657.0,1,1
107,4,264,668.0,40,1
108,4,368,715.5,1,1
109,3,152,652.0,40,1
110,4,349,715.0,1,1
111,3,300,572.5,40,1
112,3,182,577.0,1,1
113,5,436,797.5,40,1
114,5,739,763.5,1,1
115,4,407,759.0,40,1
116,4,347,552.0,1,1
117,4,323,819.0,40,1
118,4,293,565.5,1,1
119,6,748,741.5,40,1
120,4,305,661.5,1,1
121,4,343,651.5,40,1
122,5,533,540.5,1,1
123,5,462,815.5,40,1
124,4,523,551.5,1,1
125,4,349,542.0,40,1
126,5,356,796.0,1,1
127,4,338,808.5,40,1
128,3,220,541.0,1,1
129,4,384,563.0,40,1
130,6,534,820.5,1,1
131,4,377,821.5,40,1
132,5,556,824.5,1,1
133,3,91,809.5,40,1
134,5,611,609.5,1,1
135,5,565,540.0,40,1
136,6,613,553.5,1,1
137,5,415,573.5,40,1
138,4,297,663.5,1,1
139,5,429,653.0,40,1
140,5,569,590.5,1,1
141,5,580,768.0,40,1
142,5,518,770.5,1,1
143,5,480,657.5,40,1
144,5,631,574.0,1,1
145,6,464,586.0,40,1
146,4,395,531.5,1,1
147,5,583,691.0,40,1
148,5,417,740.5,1,1
149,5,584,624.0,40,1
150,5,466,540.5,1,1
151,4,212,645.5,40,1
152,4,465,766.0,1,1
153,6,738,7500.0,40,1
154,5,592,613.0,1,1
155,4,565,620.0,40,1
156,5,321,690.0,1,1
157,5,409,771.0,40,1
158,5,569,716.0,1,1
159,5,746,704.0,40,1
160,5,421,673.0,1,1
161,4,363,630.0,40,1
162,4,465,749.5,1,1
163,5,369,679.5,40,1
164,4,490,558.0,1,1
165,4,453,726.0,40,1
166,5,590,838.5,1,1
167,5,386,604.5,40,1
168,5,312,668.0,1,1
169,4,498,801.5,40,1
170,6,990,684.0,1,1
171,5,580,768.0,40,1
172,5,524,594.0,1,1
173,5,394,545.0,40,1
174,4,528,581.5,1,1
175,3,178,717.0,40,1
176,5,351,623.5,1,1
177,5,371,722.5,40,1
178,5,600,818.0,1,1
179,4,363,739.0,40,1
180,5,477,574.0,1,1
181,4,556,771.5,40,1
182,4,391,809.0,1,1
183,5,572,802.0,40,1
184,2,124,622.0,1,1
