"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","103",1
"2","122",2
"3","165",3
"4","95",3
"5","125",4
"6","101",5
"7","105",6
"8","143",7
"9","139",8
"10","7",9
"11","81",10
"12","113",11
"14","109",12
"15","111",12
"16","188",13
"20","75",14
"17","3",14
"23","53",14
"19","189",14
"21","107",15
"25","67",15
"26","192",16
"24","171",16
"13","1",16
"29","112",16
"30","127",17
"18","47",17
"32","161",17
"27","9",17
"33","177",18
"36","167",19
"34","91",19
"39","185",19
"38","169",20
"22","5",20
"28","93",21
"43","51",21
"31","73",21
"35","119",22
"47","83",22
"48","146",23
"37","72",23
"41","124",23
"42","2",24
"56","85",24
"53","174",25
"62","35",25
"64","17",26
"40","175",26
"50","21",26
"60","39",26
"44","8",26
"61","13",26
"68","162",26
"69","41",26
"73","45",27
"71","180",28
"51","62",28
"55","33",29
"59","15",29
"63","130",30
"75","43",30
"77","23",30
"58","71",30
"45","153",30
"46","163",30
"78","27",30
"79","97",30
"70","152",30
"82","108",30
"74","138",30
"76","178",31
"66","4",31
"81","106",31
"67","12",31
"49","123",31
"84","49",31
"52","117",31
"89","31",31
"80","104",31
"54","187",31
"57","137",32
"90","11",32
"87","19",32
"91","110",32
"86","168",32
"65","191",32
"72","183",33
"88","30",33
"93","6",33
"92","52",34
"97","99",34
"99","29",34
"94","141",34
"83","147",34
"101","55",34
"85","151",34
"102","84",34
"96","155",34
"103","94",34
"98","157",34
"107","86",34
"104","100",35
"100","181",35
"105","131",36
"116","98",36
"110","24",36
"106","193",36
"108","121",37
"112","133",37
"109","129",37
"117","126",37
"95","36",37
"111","56",37
"120","59",37
"121","79",37
"125","164",38
"113","28",38
"115","80",38
"130","25",38
"114","48",38
"129","166",38
"119","16",38
"132","37",38
"126","40",38
"135","77",38
"122","90",38
"127","76",38
"124","135",39
"128","54",39
"131","32",40
"139","65",40
"136","134",40
"141","87",40
"133","159",40
"134","18",40
"118","42",40
"138","57",40
"140","74",40
"123","96",40
"137","10",41
"142","144",41
"143","38",42
"145","92",42
"147","102",42
"146","82",42
"150","154",42
"144","46",42
"148","22",43
"152","148",43
"151","158",43
"149","145",44
"154","60",44
"155","78",44
"153","195",45
"158","20",45
"156","14",46
"157","149",46
"159","190",46
"161","26",47
"163","136",47
"160","176",47
"164","66",48
"167","34",49
"162","132",49
"165","140",49
"168","58",50
"175","156",51
"177","61",52
"176","160",53
"174","150",54
"166","179",54
"173","142",55
"171","118",56
"170","115",57
"172","128",58
"187","198",58
"169","114",58
"182","173",58
"181","172",59
"189","69",60
"185","186",61
"186","194",62
"188","63",63
"179","120",64
"198","88",64
"194","50",65
"190","89",65
"178","116",66
"196","68",66
"180","170",66
"192","197",66
"195","64",67
"183","182",67
"184","184",68
"191","196",68
"193","44",68
"199","199",68
"197","70",68
"200","200",69
