"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","173",1
"2","105",2
"3","169",3
"4","107",4
"5","101",5
"6","143",6
"7","113",7
"8","181",8
"9","189",9
"10","121",10
"11","183",10
"12","129",11
"13","155",11
"14","191",11
"15","151",12
"16","159",12
"17","193",12
"18","119",13
"19","109",14
"20","137",15
"21","157",15
"22","167",16
"23","103",17
"24","147",18
"25","115",19
"26","117",20
"27","111",21
"28","123",22
"29","171",22
"30","149",23
"31","177",24
"33","175",25
"39","165",26
"40","125",27
"32","127",27
"41","141",27
"43","187",27
"44","135",28
"34","139",28
"35","179",28
"36","161",29
"45","185",29
"37","195",29
"38","163",30
"42","153",31
"46","91",32
"49","102",32
"50","126",32
"48","145",32
"53","136",33
"54","110",33
"47","133",33
"51","131",34
"52","106",35
"57","168",35
"59","197",35
"56","112",36
"58","190",36
"60","144",37
"61","178",37
"55","65",37
"64","176",38
"65","152",39
"66","146",40
"62","180",40
"71","160",41
"73","130",41
"75","162",42
"72","164",42
"63","172",42
"77","188",42
"78","104",43
"68","134",43
"79","108",43
"82","174",44
"69","116",44
"70","118",44
"84","122",44
"67","128",44
"86","138",44
"87","156",44
"76","182",44
"88","3",44
"74","158",44
"89","192",44
"90","1",45
"80","124",45
"91","63",45
"85","69",45
"83","47",45
"92","186",46
"96","196",46
"93","57",46
"81","184",46
"101","7",46
"95","11",46
"99","148",46
"98","93",46
"97","73",47
"104","194",47
"100","51",47
"106","53",47
"102","59",47
"108","140",47
"110","199",47
"107","87",47
"112","25",47
"111","21",48
"113","37",49
"105","83",49
"109","33",50
"114","15",51
"116","45",51
"94","132",51
"121","166",51
"103","67",51
"120","150",51
"123","49",51
"118","120",52
"122","39",53
"119","142",54
"115","170",54
"126","75",54
"117","71",54
"124","61",55
"130","79",55
"128","41",56
"125","114",56
"127","95",56
"131","5",56
"129","77",56
"133","9",57
"134","97",58
"132","198",58
"137","35",59
"138","81",59
"146","19",59
"165","43",59
"172","55",59
"190","85",59
"193","89",59
"135","13",59
"144","17",59
"199","99",59
"153","27",60
"136","23",60
"157","31",60
"155","29",61
"143","16",62
"196","94",63
"154","28",64
"166","44",65
"147","2",66
"159","34",67
"160","36",67
"182","72",67
"185","78",67
"141","12",68
"158","32",69
"161","38",69
"176","60",70
"179","66",70
"149","200",71
"163","40",72
"168","48",72
"189","84",73
"170","52",74
"186","8",75
"195","92",76
"197","96",77
"145","18",78
"164","42",78
"184","76",78
"191","86",78
"169","50",79
"181","70",79
"178","64",80
"140","100",81
"192","88",82
"167","46",83
"162","4",84
"150","22",85
"175","6",86
"173","56",87
"156","30",88
"198","98",89
"151","24",90
"187","80",90
"171","54",91
"194","90",91
"183","74",92
"142","14",93
"152","26",93
"177","62",93
"139","10",94
"188","82",94
"148","20",95
"174","58",95
"200","154",95
"180","68",96
