node,hopcount,latency,power,deploymentPenalty,cost
0,4,351,655.0,40,40
1,3,291,764.5,1,40
2,4,307,805.5,40,40
3,4,364,714.5,1,40
4,4,391,781.5,40,40
5,3,329,805.5,1,40
6,4,318,664.0,40,40
7,4,360,681.0,1,40
8,5,437,690.0,40,40
9,5,502,783.0,1,40
10,5,471,789.5,40,40
11,4,367,590.5,1,40
12,4,411,772.5,40,40
13,4,493,691.0,1,40
14,5,471,745.0,40,40
15,4,411,824.0,1,40
16,5,507,709.5,40,40
17,5,470,584.5,1,40
18,5,540,669.0,40,40
19,5,532,815.0,1,40
20,5,459,693.0,40,40
21,5,492,782.0,1,40
22,5,468,818.5,40,40
23,5,410,838.0,1,40
24,5,555,716.5,40,40
25,4,507,609.0,1,40
26,4,441,769.0,40,40
27,5,445,579.5,1,40
28,4,459,806.0,40,40
29,5,390,725.0,1,40
30,4,465,651.0,40,40
31,5,431,816.5,1,40
32,5,453,780.5,40,40
33,5,553,559.0,1,40
34,4,429,632.5,40,40
35,5,429,570.0,1,40
36,5,555,757.5,40,40
37,5,493,741.5,1,40
38,5,438,784.0,40,40
39,5,453,660.5,1,40
40,5,464,703.5,40,40
41,4,443,780.5,1,40
42,5,508,753.0,40,40
43,5,690,611.5,1,40
44,5,472,647.5,40,40
45,5,496,746.0,1,40
46,5,360,527.5,40,40
47,5,443,721.5,1,40
48,5,577,655.0,40,40
49,5,576,724.5,1,40
50,4,447,580.0,40,40
51,4,383,765.5,1,40
52,4,372,677.5,40,40
53,5,358,596.0,1,40
54,5,655,758.0,40,40
55,4,467,623.0,1,40
56,5,444,780.0,40,40
57,5,576,733.5,1,40
58,5,567,568.0,40,40
59,5,521,614.0,1,40
60,5,427,573.0,40,40
61,5,490,791.0,1,40
62,5,438,737.5,40,40
63,5,487,798.5,1,40
64,4,506,733.0,40,40
65,3,294,645.0,1,40
66,5,446,529.0,40,40
67,5,619,746.0,1,40
68,5,450,589.0,40,40
69,5,645,694.5,1,40
70,5,548,541.5,40,40
71,5,521,651.0,1,40
72,5,349,805.0,40,40
73,5,443,635.0,1,40
74,4,327,626.0,40,40
75,4,465,718.5,1,40
76,5,442,545.0,40,40
77,5,469,533.0,1,40
78,5,541,681.0,40,40
79,3,191,650.0,1,40
80,4,327,659.5,40,40
81,5,532,749.5,1,40
82,5,507,566.0,40,40
83,5,369,813.0,1,40
84,5,482,646.0,40,40
85,5,368,822.0,1,40
86,5,616,796.5,40,40
87,4,371,682.5,1,40
88,4,563,711.0,40,40
89,4,473,807.5,1,40
90,4,567,614.0,40,40
91,4,459,753.5,1,40
92,4,492,786.5,40,40
93,3,297,542.0,1,40
94,5,450,579.0,40,40
95,4,381,803.5,1,40
96,4,469,778.5,40,40
97,4,401,800.0,1,40
98,5,444,780.0,40,40
99,4,361,714.0,1,40
100,3,253,527.5,40,1
101,4,497,557.0,1,1
102,4,403,659.5,40,1
103,4,399,567.0,1,1
104,5,418,541.0,40,1
105,3,299,750.0,1,1
106,5,499,657.0,40,1
107,5,381,668.0,1,1
108,4,465,715.5,40,1
109,4,353,652.0,1,1
110,4,405,715.0,40,1
111,2,165,572.5,1,1
112,4,285,577.0,40,1
113,6,553,797.5,1,1
114,5,740,763.5,40,1
115,5,608,759.0,1,1
116,5,450,552.0,40,1
117,5,524,819.0,1,1
118,5,396,565.5,40,1
119,6,772,741.5,1,1
120,5,506,661.5,40,1
121,5,460,651.5,1,1
122,5,630,540.5,40,1
123,6,579,815.5,1,1
124,5,640,551.5,40,1
125,6,571,542.0,1,1
126,5,557,796.0,40,1
127,5,539,808.5,1,1
128,6,685,541.0,40,1
129,3,249,563.0,1,1
130,6,661,820.5,40,1
131,5,480,821.5,1,1
132,5,662,824.5,40,1
133,6,556,809.5,1,1
134,5,708,609.5,40,1
135,5,566,540.0,1,1
136,6,672,553.5,40,1
137,5,471,573.5,1,1
138,5,414,663.5,40,1
139,6,546,653.0,1,1
140,5,666,590.5,40,1
141,5,636,768.0,1,1
142,6,635,770.5,40,1
143,6,597,657.5,1,1
144,5,648,574.0,40,1
145,6,488,586.0,1,1
146,5,498,531.5,40,1
147,4,448,691.0,1,1
148,5,530,740.5,40,1
149,4,449,624.0,1,1
150,5,636,540.5,40,1
151,5,315,645.5,1,1
152,3,330,766.0,40,1
153,5,477,7500.0,1,1
154,6,589,613.0,40,1
155,5,682,620.0,1,1
156,5,434,690.0,40,1
157,5,579,771.0,1,1
158,6,686,716.0,40,1
159,4,485,704.0,1,1
160,5,477,673.0,40,1
161,3,228,630.0,1,1
162,1,0,749.5,40,1
163,5,493,679.5,1,1
164,5,607,558.0,40,1
165,5,570,726.0,1,1
166,4,329,838.5,40,1
167,6,503,604.5,1,1
168,5,642,668.0,40,1
169,5,601,801.5,1,1
170,6,534,684.0,40,1
171,5,581,768.0,1,1
172,5,830,594.0,40,1
173,5,450,545.0,1,1
174,3,393,581.5,40,1
175,6,643,717.0,1,1
176,5,475,623.5,40,1
177,6,488,722.5,1,1
178,6,717,818.0,40,1
179,3,228,739.0,1,1
180,5,735,574.0,40,1
181,6,778,771.5,1,1
182,6,613,809.0,40,1
183,6,689,802.0,1,1
184,5,735,622.0,40,1
185,5,516,596.0,1,1
186,4,415,738.0,40,1
187,5,397,606.0,1,1
188,5,600,807.0,40,1
189,5,609,551.5,1,1
190,5,584,561.0,40,1
191,5,572,663.0,1,1
192,6,945,664.5,40,1
193,7,772,586.5,1,1
194,6,664,810.5,40,1
195,7,799,618.0,1,1
196,6,708,666.0,40,1
197,6,674,595.5,1,1
198,7,918,748.5,40,1
199,7,914,734.0,1,1
