"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","152",1
"2","188",2
"3","106",3
"4","174",4
"5","112",5
"6","138",5
"7","102",6
"8","132",7
"9","186",7
"10","108",8
"11","162",8
"12","180",8
"13","110",9
"14","130",9
"15","148",9
"16","134",10
"17","136",10
"18","192",10
"19","104",11
"20","190",12
"21","126",13
"22","160",14
"23","170",14
"24","176",14
"25","166",15
"26","164",16
"28","172",17
"29","142",18
"30","156",19
"33","114",20
"35","124",21
"27","146",21
"36","198",21
"31","168",21
"32","178",21
"39","196",21
"41","116",22
"38","118",22
"34","122",22
"40","128",22
"37","140",22
"44","182",22
"42","144",23
"43","150",23
"45","158",24
"46","119",25
"47","120",26
"48","200",26
"49","184",27
"75","4",27
"103","90",28
"106","96",28
"70","30",29
"97","8",30
"52","194",30
"83","54",30
"98","80",31
"59","100",32
"50","113",32
"64","2",32
"86","6",32
"107","98",32
"95","76",33
"102","88",33
"101","86",34
"100","84",35
"62","16",36
"67","24",36
"51","101",36
"105","94",36
"69","28",37
"88","62",37
"60","12",38
"71","32",38
"81","50",39
"63","18",40
"73","36",40
"91","68",40
"72","34",41
"80","48",41
"82","52",41
"90","66",41
"93","72",41
"94","74",41
"58","10",42
"76","40",42
"85","58",42
"87","60",42
"54","117",42
"65","20",42
"66","22",42
"74","38",42
"84","56",42
"89","64",42
"99","82",42
"104","92",42
"53","111",42
"55","107",43
"77","42",43
"61","14",44
"56","147",44
"68","26",44
"78","44",45
"57","105",45
"92","70",45
"79","46",46
"96","78",46
"108","139",47
"109","161",47
"110","187",48
"112","127",49
"113","167",49
"111","157",49
"114","103",50
"118","129",50
"115","177",50
"116","163",51
"117","153",52
"121","175",53
"124","121",54
"127","137",55
"119","149",55
"120","131",56
"130","197",56
"122","183",56
"131","109",56
"125","189",56
"133","191",56
"123","169",56
"140","185",56
"128","133",56
"132","115",56
"126","143",56
"129","181",57
"141","154",57
"154","193",58
"150","171",59
"151","173",59
"156","199",60
"134","123",60
"135","125",60
"136","145",60
"137","151",60
"138","159",60
"139","165",60
"152","179",60
"145","135",61
"146","141",61
"148","155",61
"155","195",62
"190","81",63
"173","5",64
"180","63",65
"185","71",66
"179","61",67
"184","7",67
"188","77",67
"198","95",67
"187","75",68
"162","3",69
"199","97",69
"182","67",70
"195","9",70
"186","73",71
"189","79",71
"191","83",71
"197","93",71
"142","1",72
"170","45",72
"183","69",73
"172","49",74
"200","99",74
"149","17",75
"144","13",76
"167","39",76
"177","57",76
"158","23",77
"168","41",77
"165","35",78
"192","85",79
"196","91",79
"143","11",80
"160","27",80
"161","29",81
"169","43",81
"174","51",81
"175","53",81
"178","59",81
"181","65",81
"163","31",82
"147","15",83
"153","19",83
"157","21",83
"164","33",83
"176","55",83
"159","25",84
"166","37",84
"193","87",84
"194","89",84
"171","47",85
