node,hopcount,latency,power,deploymentPenalty,cost
0,3,93,655.0,1,40
1,3,90,764.5,40,40
2,2,74,805.5,1,40
3,3,109,714.5,40,40
4,3,179,781.5,1,40
5,3,104,805.5,40,40
6,3,140,664.0,1,40
7,2,168,681.0,40,40
8,4,225,690.0,1,40
9,3,310,783.0,40,40
10,4,294,789.5,1,40
11,4,166,590.5,40,40
12,4,186,772.5,1,40
13,4,268,691.0,40,40
14,4,213,745.0,1,40
15,3,234,824.0,40,40
16,4,295,709.5,1,40
17,4,292,584.5,40,40
18,3,348,669.0,1,40
19,3,340,815.0,40,40
20,4,201,693.0,1,40
21,4,314,782.0,40,40
22,3,276,818.5,1,40
23,3,218,838.0,40,40
24,4,378,716.5,1,40
25,4,282,609.0,40,40
26,4,216,769.0,1,40
27,4,268,579.5,40,40
28,4,234,806.0,1,40
29,4,135,725.0,40,40
30,4,240,651.0,1,40
31,4,254,816.5,40,40
32,4,195,780.5,1,40
33,4,376,559.0,40,40
34,4,204,632.5,1,40
35,4,171,570.0,40,40
36,4,378,757.5,1,40
37,4,316,741.5,40,40
38,4,260,784.0,1,40
39,3,220,660.5,40,40
40,4,286,703.5,1,40
41,4,242,780.5,40,40
42,3,316,753.0,1,40
43,4,273,611.5,40,40
44,4,217,647.5,1,40
45,4,318,746.0,40,40
46,4,182,527.5,1,40
47,3,210,721.5,40,40
48,4,239,655.0,1,40
49,4,465,724.5,40,40
50,4,246,580.0,1,40
51,4,182,765.5,40,40
52,4,171,677.5,1,40
53,3,308,596.0,40,40
54,3,357,758.0,1,40
55,3,278,623.0,40,40
56,2,87,780.0,1,40
57,4,404,733.5,40,40
58,4,390,568.0,1,40
59,4,344,614.0,40,40
60,3,636,573.0,1,40
61,4,278,791.0,40,40
62,4,575,737.5,1,40
63,3,254,798.5,40,40
64,3,426,733.0,1,40
65,4,150,645.0,40,40
66,2,134,529.0,1,40
67,4,444,746.0,40,40
68,2,249,589.0,1,40
69,4,565,694.5,40,40
70,4,343,541.5,1,40
71,4,436,651.0,40,40
72,2,33,805.0,1,40
73,3,210,635.0,40,40
74,3,190,626.0,1,40
75,4,264,718.5,40,40
76,4,434,545.0,1,40
77,4,368,533.0,40,40
78,4,581,681.0,1,40
79,4,286,650.0,40,40
80,4,126,659.5,1,40
81,3,340,749.5,40,40
82,4,306,566.0,1,40
83,3,136,813.0,40,40
84,2,38,646.0,1,40
85,4,190,822.0,40,40
86,4,404,796.5,1,40
87,3,142,682.5,40,40
88,4,606,711.0,1,40
89,3,268,807.5,40,40
90,3,180,614.0,1,40
91,4,253,753.5,40,40
92,3,118,786.5,1,40
93,3,258,542.0,40,40
94,4,195,579.0,1,40
95,4,332,803.5,40,40
96,4,268,778.5,1,40
97,3,232,800.0,40,40
98,3,338,780.0,1,40
99,3,260,714.0,40,40
100,3,260,527.5,1,1
101,3,300,557.0,40,1
102,3,318,659.5,1,1
103,3,195,567.0,40,1
104,4,163,541.0,1,1
105,3,342,750.0,40,1
106,4,356,657.0,1,1
107,1,0,668.0,40,1
108,3,290,715.5,1,1
109,4,221,652.0,40,1
110,4,207,715.0,1,1
111,4,216,572.5,40,1
112,4,195,577.0,1,1
113,5,545,797.5,40,1
114,4,543,763.5,1,1
115,5,476,759.0,40,1
116,5,360,552.0,1,1
117,5,392,819.0,40,1
118,5,306,565.5,1,1
