"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","110",1
"2","104",2
"3","188",3
"4","128",4
"5","118",5
"6","108",6
"7","190",6
"8","112",7
"9","116",7
"10","102",8
"11","106",9
"12","124",9
"13","134",10
"14","126",11
"15","174",11
"16","146",12
"17","138",13
"18","158",14
"19","176",14
"20","178",15
"21","122",16
"22","168",16
"23","164",17
"24","136",18
"25","162",18
"26","114",19
"27","130",20
"28","186",20
"29","192",21
"30","148",22
"31","140",23
"32","150",23
"33","142",24
"34","160",24
"35","180",25
"36","182",26
"37","172",27
"38","120",28
"40","109",28
"39","184",28
"41","175",29
"42","123",30
"44","141",31
"43","169",31
"47","105",31
"45","135",31
"49","107",31
"46","196",31
"48","101",32
"52","121",32
"54","177",32
"53","144",33
"51","111",34
"61","189",34
"60","131",35
"55","191",35
"63","152",35
"64","166",35
"69","198",36
"50","8",36
"58","16",36
"59","6",37
"56","103",37
"66","143",37
"62","68",37
"67","151",38
"57","145",38
"68","161",39
"65","129",40
"77","171",40
"74","159",41
"81","193",41
"73","155",42
"80","187",43
"83","183",43
"84","195",44
"82","127",44
"88","167",44
"85","28",44
"86","44",44
"87","72",44
"89","92",45
"92","32",46
"93","38",46
"94","66",46
"96","64",47
"100","139",47
"98","60",47
"99","80",47
"101","100",48
"102","34",48
"103","4",48
"104","24",49
"105","96",49
"113","156",49
"114","194",49
"106","2",49
"107","52",49
"108","78",49
"109","98",49
"111","86",50
"76","165",50
"112","54",50
"70","113",50
"116","10",50
"123","170",50
"71","125",50
"122","132",50
"78","181",50
"117","56",50
"118","74",50
"72","153",50
"75","163",50
"121","90",50
"125","20",51
"126","82",51
"79","185",51
"127","14",51
"110","36",51
"90","115",51
"91","133",51
"115","30",51
"131","50",51
"132","70",51
"128","26",52
"119","84",52
"120","12",53
"129","40",54
"130","48",54
"140","51",54
"95","173",54
"124","157",55
"97","179",55
"141","18",55
"139","42",55
"142","58",56
"135","119",56
"133","149",56
"143","76",56
"144","88",56
"145","95",56
"134","117",56
"136","137",56
"137","147",56
"146","22",56
"147","46",56
"148","94",56
"151","154",56
"138","197",56
"150","200",56
"149","62",56
"186","71",57
"152","199",57
"184","69",57
"181","63",58
"178","57",59
"153","1",60
"154","11",60
"183","67",61
"188","75",62
"197","91",63
"189","77",64
"164","3",65
"179","59",65
"190","79",65
"194","87",66
"185","7",67
"155","13",68
"161","25",68
"168","37",68
"160","23",69
"167","35",70
"187","73",70
"193","85",70
"198","93",70
"162","27",71
"163","29",72
"171","43",72
"165","31",73
"200","99",74
"158","19",75
"177","55",76
"175","5",77
"191","81",77
"159","21",78
"166","33",78
"156","15",79
"195","89",79
"182","65",80
"176","53",81
"172","45",82
"169","39",83
"174","49",83
"170","41",84
"192","83",84
"196","9",85
"157","17",86
"173","47",86
"180","61",86
"199","97",86
