id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,884,871,14,108.1371236875,M.USER.APP.14,298,4387958,0
2,LINK,951,847,14,340.0239779125683,M.USER.APP.14,367,4387958,1
1,LINK,871,395,14,201.03202889051096,M.USER.APP.14,406.1371236875,4387958,1
3,LINK,951,847,14,340.0239779125683,M.USER.APP.14,570,4387958,2
1,LINK,395,6,14,148.0555437721519,M.USER.APP.14,607.1691525780109,4387958,2
2,LINK,847,363,14,51.015235965277775,M.USER.APP.14,707.0239779125683,4387958,2
1,LINK,6,62,14,154.01163914588858,M.USER.APP.14,755.2246963501627,4387958,2
2,LINK,363,390,14,114.01457793355482,M.USER.APP.14,758.039213877846,4387958,2
4,LINK,951,847,14,340.0239779125683,M.USER.APP.14,815,4387958,3
2,LINK,390,14,14,66.035103664,M.USER.APP.14,872.0537918114009,4387958,3
5,LINK,951,847,14,340.0239779125683,M.USER.APP.14,903,4387958,4
2,LINK,14,21,14,112.010133852194,M.USER.APP.14,938.0888954754008,4387958,3
1,LINK,62,6,14,154.00723971618038,14_(76-80),944.0898451603443,2729373,4
1,LINK,62,6,14,154.01099140053051,14_(76-77),944.0898451603443,4143758,5
1,LINK,62,6,14,154.01134382228116,14_(76-78),944.0898451603443,4276621,6
1,LINK,62,6,14,154.0058408275862,14_(76-79),944.0898451603443,2201992,7
