id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004,110.001,110.00500000000001,100.0,110.001
1,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,111.00550000000001,111.00550000000001,110.00500000000001,111.00550000000001
2,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004,210.001,210.005,200.0,210.001
2,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,211.00549999999998,211.00549999999998,210.005,211.00549999999998
3,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004,310.001,310.005,300.0,310.001
3,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,311.0055,311.0055,310.005,311.0055
4,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004,410.001,410.005,400.0,410.001
4,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,411.0055,411.0055,410.005,411.0055
5,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004,510.001,510.005,500.0,510.001
5,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,511.0055,511.0055,510.005,511.0055
6,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004,610.001,610.005,600.0,610.001
6,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,611.0055,611.0055,610.005,611.0055
7,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004,710.001,710.005,700.0,710.001
7,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,711.0055,711.0055,710.005,711.0055
8,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004,810.001,810.005,800.0,810.001
8,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,811.0055,811.0055,810.005,811.0055
9,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004,910.001,910.005,900.0,910.001
9,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,911.0055,911.0055,910.005,911.0055
