id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,0,SimpleCase,10.001,M.A,100,1000,0
1,LINK,0,2,SimpleCase,1.0005,M.B,110.00500000000001,500,0
2,LINK,1,0,SimpleCase,10.001,M.A,200,1000,0
2,LINK,0,2,SimpleCase,1.0005,M.B,210.005,500,0
3,LINK,1,0,SimpleCase,10.001,M.A,300,1000,0
3,LINK,0,2,SimpleCase,1.0005,M.B,310.005,500,0
4,LINK,1,0,SimpleCase,10.001,M.A,400,1000,0
4,LINK,0,2,SimpleCase,1.0005,M.B,410.005,500,0
5,LINK,1,0,SimpleCase,10.001,M.A,500,1000,0
5,LINK,0,2,SimpleCase,1.0005,M.B,510.005,500,0
6,LINK,1,0,SimpleCase,10.001,M.A,600,1000,0
6,LINK,0,2,SimpleCase,1.0005,M.B,610.005,500,0
7,LINK,1,0,SimpleCase,10.001,M.A,700,1000,0
7,LINK,0,2,SimpleCase,1.0005,M.B,710.005,500,0
8,LINK,1,0,SimpleCase,10.001,M.A,800,1000,0
8,LINK,0,2,SimpleCase,1.0005,M.B,810.005,500,0
9,LINK,1,0,SimpleCase,10.001,M.A,900,1000,0
9,LINK,0,2,SimpleCase,1.0005,M.B,910.005,500,0
