id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
3,COMP_M,5,5_36,M.USER.APP.5,80,83,187,95,None,40.1,386.04149101786345,426.1414910178635,200.0,386.04149101786345
4,COMP_M,5,5_36,M.USER.APP.5,80,83,187,95,None,40.1,498.0709505252164,538.1709505252164,270.0,498.0709505252164
2,COMP_M,6,6_42,M.USER.APP.6,79,82,194,84,None,219.8235294117647,717.1076111884742,936.9311406002389,193.0,717.1076111884742
5,COMP_M,9,9_55,M.USER.APP.9,84,85,197,57,None,243.72392638036808,730.0850746503611,973.8090010307292,273.0,730.0850746503611
1,COMP_M,2,2_19,M.USER.APP.2,75,78,178,108,None,52.98744113029827,732.0534203714633,785.0408615017616,106.0,732.0534203714633
3,COMP_M,5,5_41,5_(36-41),83,90,95,57,5_36,279.3680981595092,805.1670705869026,1084.5351687464117,426.1414910178635,805.1670705869026
18,COMP_M,5,5_36,M.USER.APP.5,80,83,187,95,None,40.1,847.0414910178634,887.1414910178635,661.0,847.0414910178634
19,COMP_M,5,5_36,M.USER.APP.5,80,83,187,95,None,40.1,959.0709505252164,999.1709505252164,693.0,959.0709505252164
6,COMP_M,8,8_52,M.USER.APP.8,77,86,199,57,None,324.0858895705521,971.144461866367,1295.2303514369191,274.0,971.144461866367
7,COMP_M,6,6_42,M.USER.APP.6,79,82,194,84,None,219.8235294117647,987.1755881628332,1206.999117574598,316.0,987.1755881628332
3,COMP_M,5,5_37,5_(36-37),83,91,95,57,5_36,336.41104294478527,1063.1867521010267,1399.597795045812,426.1414910178635,1063.1867521010267
1,COMP_M,2,2_20,2_(19-20),78,99,108,175,2_19,243.57009345794393,1069.100938134086,1312.67103159203,785.0408615017616,1069.100938134086
23,COMP_M,5,5_36,M.USER.APP.5,80,83,187,95,None,40.1,1071.1004100325695,1111.2004100325694,776.0,1071.1004100325695
13,COMP_M,2,2_19,M.USER.APP.2,75,78,178,108,None,52.98744113029827,1171.053420371463,1224.0408615017614,545.0,1171.053420371463
24,COMP_M,5,5_36,M.USER.APP.5,80,83,187,95,None,40.1,1183.1298695399223,1223.2298695399222,796.0,1183.1298695399223
1,COMP_M,2,2_21,2_(19-21),78,100,108,175,2_19,247.57009345794393,1213.1490267956244,1460.7191202535682,785.0408615017616,1213.1490267956244
