id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,178,107,2,336.04227777419356,M.USER.APP.2,106,2621222,0
2,LINK,194,190,6,80.01325551,M.USER.APP.6,193,2651102,1
3,LINK,187,112,5,112.02945950735294,M.USER.APP.5,200,4006493,2
4,LINK,187,112,5,112.02945950735294,M.USER.APP.5,270,4006493,3
5,LINK,197,173,9,224.02507085333335,M.USER.APP.9,273,1880314,4
2,LINK,190,83,6,270.067976974359,M.USER.APP.6,273.01325551,2651102,4
6,LINK,199,197,8,240.01994283333335,M.USER.APP.8,274,2752111,5
3,LINK,112,95,5,74.01203151051051,M.USER.APP.5,312.02945950735295,4006493,5
7,LINK,194,190,6,80.01325551,M.USER.APP.6,316,2651102,6
8,LINK,194,190,6,80.01325551,M.USER.APP.6,328,2651102,7
9,LINK,196,185,3,192.01234511659192,M.USER.APP.3,364,2752961,8
10,LINK,196,185,1,192.01354457399103,M.USER.APP.1,387,3020440,8
7,LINK,190,83,6,270.067976974359,M.USER.APP.6,396.01325551,2651102,8
11,LINK,196,185,1,192.01354457399103,M.USER.APP.1,423,3020440,9
4,LINK,112,95,5,74.01203151051051,M.USER.APP.5,424.0589190147059,4006493,9
3,LINK,95,5,5,52.00756681967213,5_(36-41),426.1414910178635,2307880,10
3,LINK,95,5,5,52.01142173114754,5_(36-37),426.1414910178635,3483628,11
3,LINK,95,5,5,52.010306681967215,5_(36-38),426.1414910178635,3143538,12
1,LINK,107,7,2,168.0056009017094,M.USER.APP.2,442.04227777419356,2621222,12
8,LINK,190,83,6,270.067976974359,M.USER.APP.6,476.02651102000004,2651102,12
3,LINK,5,6,5,69.00497387931034,5_(36-41),478.1490578375356,2307880,12
12,LINK,199,197,8,240.01994283333335,M.USER.APP.8,480,2752111,13
5,LINK,173,110,9,45.03547762264151,M.USER.APP.9,497.0250708533333,1880314,13
6,LINK,197,173,8,224.03669481333333,M.USER.APP.8,514.0199428333333,2752111,12
3,LINK,5,6,5,69.00750781896552,5_(36-37),530.1604795686832,3483628,12
4,LINK,95,5,5,52.00756681967213,5_(36-41),538.1709505252164,2307880,13
4,LINK,95,5,5,52.01142173114754,5_(36-37),538.1709505252164,3483628,14
4,LINK,95,5,5,52.010306681967215,5_(36-38),538.1709505252164,3143538,15
5,LINK,110,98,9,122.01038847513811,M.USER.APP.9,542.0605484759749,1880314,15
2,LINK,83,2,6,62.00753153977273,M.USER.APP.6,543.081232484359,2651102,15
13,LINK,178,107,2,336.04227777419356,M.USER.APP.2,545,2621222,16
3,LINK,6,57,5,258.0130388700565,5_(36-41),547.154031716846,2307880,16
14,LINK,194,190,6,80.01325551,M.USER.APP.6,554,2651102,17
9,LINK,185,112,3,231.0218488968254,M.USER.APP.3,556.0123451165919,2752961,17
3,LINK,5,6,5,69.00677486637932,5_(36-38),582.1707862506504,3143538,17
15,LINK,198,196,7,210.0204331909091,M.USER.APP.7,588,2247651,18
2,LINK,2,107,6,74.01068992741935,M.USER.APP.6,605.0887640241317,2651102,18
16,LINK,169,112,0,316.02784247333335,M.USER.APP.0,609,4176371,19
1,LINK,7,108,2,122.00554169556025,M.USER.APP.2,610.047878675903,2621222,19
3,LINK,6,57,5,258.0196815141243,5_(36-37),616.1615395358116,3483628,19
17,LINK,194,190,6,80.01325551,M.USER.APP.6,630,2651102,20
14,LINK,190,83,6,270.067976974359,M.USER.APP.6,634.01325551,2651102,20
4,LINK,5,6,5,69.00497387931034,5_(36-41),634.1783530703225,2307880,20
18,LINK,187,112,5,112.02945950735294,M.USER.APP.5,661,4006493,21
