id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,1,1_9,M.USER.APP.1,76,78,196,196,None,106.51204819277109,100,206.5120481927711,100.0,100.0
2,COMP_M,8,8_52,M.USER.APP.8,75,80,199,199,None,70.43466666666667,126,196.43466666666666,126.0,126.0
3,COMP_M,3,3_22,M.USER.APP.3,76,82,196,196,None,134.15060240963857,140,274.15060240963857,140.0,140.0
2,COMP_M,8,8_53,8_(52-53),80,84,199,199,8_52,73.78933333333333,196.43466666666666,270.224,196.43466666666666,196.43466666666666
4,COMP_M,9,9_55,M.USER.APP.9,77,85,197,197,None,133.31208053691276,199,332.31208053691273,199.0,199.0
1,COMP_M,1,1_10,1_(9-10),78,86,196,196,1_9,101.17771084337349,206.5120481927711,307.68975903614455,206.5120481927711,206.5120481927711
1,COMP_M,1,1_11,1_(9-11),78,87,196,196,1_9,92.03313253012048,206.5120481927711,298.5451807228916,206.5120481927711,206.5120481927711
1,COMP_M,1,1_12,1_(9-12),78,88,196,196,1_9,78.88855421686748,206.5120481927711,285.40060240963857,206.5120481927711,206.5120481927711
1,COMP_M,1,1_13,1_(9-13),78,89,196,196,1_9,128.14156626506025,206.5120481927711,334.65361445783134,206.5120481927711,206.5120481927711
1,COMP_M,1,1_15,1_(9-15),78,90,196,196,1_9,179.8855421686747,206.5120481927711,386.3975903614458,206.5120481927711,206.5120481927711
1,COMP_M,1,1_18,1_(9-18),78,91,196,196,1_9,98.72590361445783,206.5120481927711,305.2379518072289,206.5120481927711,206.5120481927711
5,COMP_M,0,0_0,M.USER.APP.0,83,92,169,169,None,92.29268292682927,235,327.2926829268293,235.0,235.0
7,COMP_M,8,8_52,M.USER.APP.8,75,80,199,199,None,70.43466666666667,268,338.43466666666666,268.0,268.0
2,COMP_M,8,8_54,8_(53-54),84,94,199,199,8_53,39.64533333333333,270.224,309.8693333333333,270.224,270.224
3,COMP_M,3,3_25,3_(22-25),82,95,196,196,3_22,155.50301204819277,274.15060240963857,429.65361445783134,274.15060240963857,274.15060240963857
3,COMP_M,3,3_23,3_(22-23),82,96,196,196,3_22,128.97590361445782,274.15060240963857,403.1265060240964,274.15060240963857,274.15060240963857
1,COMP_M,1,1_16,1_(12-16),88,97,196,196,1_12,63.16566265060241,285.40060240963857,348.566265060241,285.40060240963857,285.40060240963857
1,COMP_M,1,1_14,1_(12-14),88,98,196,196,1_12,140.2921686746988,285.40060240963857,425.6927710843373,285.40060240963857,285.40060240963857
5,COMP_M,0,0_1,0_(0-1),92,99,169,169,0_0,106.8048780487805,327.2926829268293,434.0975609756098,327.2926829268293,327.2926829268293
5,COMP_M,0,0_2,0_(0-2),92,100,169,169,0_0,62.73392461197339,327.2926829268293,390.0266075388027,327.2926829268293,327.2926829268293
5,COMP_M,0,0_4,0_(0-4),92,101,169,169,0_0,96.27272727272727,327.2926829268293,423.56541019955654,327.2926829268293,327.2926829268293
6,COMP_M,9,9_55,M.USER.APP.9,77,85,197,197,None,133.31208053691276,332.31208053691273,465.62416107382546,238.0,238.0
4,COMP_M,9,9_56,9_(55-56),85,102,197,197,9_55,78.6510067114094,332.31208053691273,410.96308724832215,332.31208053691273,332.31208053691273
4,COMP_M,9,9_58,9_(55-58),85,103,197,197,9_55,177.85906040268458,332.31208053691273,510.1711409395973,332.31208053691273,332.31208053691273
4,COMP_M,9,9_59,9_(55-59),85,104,197,197,9_55,196.18456375838926,332.31208053691273,528.496644295302,332.31208053691273,332.31208053691273
4,COMP_M,9,9_61,9_(55-61),85,105,197,197,9_55,167.20805369127515,332.31208053691273,499.5201342281879,332.31208053691273,332.31208053691273
1,COMP_M,1,1_17,1_(13-17),89,106,196,196,1_13,152.00602409638554,334.65361445783134,486.6596385542169,334.65361445783134,334.65361445783134
8,COMP_M,8,8_52,M.USER.APP.8,75,80,199,199,None,70.43466666666667,338.43466666666666,408.8693333333333,305.0,305.0
7,COMP_M,8,8_53,8_(52-53),80,84,199,199,8_52,73.78933333333333,338.43466666666666,412.224,338.43466666666666,338.43466666666666
3,COMP_M,3,3_24,3_(23-24),96,107,196,196,3_23,164.00301204819277,403.1265060240964,567.1295180722891,403.1265060240964,403.1265060240964
3,COMP_M,3,3_26,3_(23-26),96,108,196,196,3_23,118.7078313253012,403.1265060240964,521.8343373493976,403.1265060240964,403.1265060240964
4,COMP_M,9,9_57,9_(56-57),102,109,197,197,9_56,104.13087248322148,410.96308724832215,515.0939597315437,410.96308724832215,410.96308724832215
10,COMP_M,0,0_0,M.USER.APP.0,83,92,169,169,None,92.29268292682927,412,504.2926829268293,412.0,412.0
8,COMP_M,8,8_53,8_(52-53),80,84,199,199,8_52,73.78933333333333,412.224,486.0133333333333,408.8693333333333,408.8693333333333
7,COMP_M,8,8_54,8_(53-54),84,94,199,199,8_53,39.64533333333333,412.224,451.8693333333333,412.224,412.224
11,COMP_M,8,8_52,M.USER.APP.8,75,80,199,199,None,70.43466666666667,430,500.43466666666666,430.0,430.0
5,COMP_M,0,0_8,0_(1-8),99,110,169,169,0_1,80.83370288248337,434.0975609756098,514.9312638580932,434.0975609756098,434.0975609756098
5,COMP_M,0,0_3,0_(1-3),99,111,169,169,0_1,44.711751662971174,434.0975609756098,478.80931263858093,434.0975609756098,434.0975609756098
5,COMP_M,0,0_5,0_(1-5),99,112,169,169,0_1,56.44124168514412,434.0975609756098,490.5388026607539,434.0975609756098,434.0975609756098
5,COMP_M,0,0_6,0_(1-6),99,113,169,169,0_1,87.77827050997783,434.0975609756098,521.8758314855876,434.0975609756098,434.0975609756098
