"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","84",1
"2","105",2
"4","189",3
"5","30",3
"7","36",4
"8","32",5
"9","108",6
"10","121",6
"11","94",6
"16","137",7
"18","78",7
"19","175",8
"3","57",8
"6","43",9
"21","93",9
"22","117",10
"12","124",10
"13","181",10
"14","63",10
"26","7",10
"15","69",10
"17","140",11
"20","72",12
"28","73",12
"23","127",12
"29","169",12
"24","25",12
"30","28",12
"25","60",12
"27","55",13
"32","58",14
"33","91",15
"34","131",16
"36","184",16
"31","164",16
"38","95",17
"39","125",18
"40","139",19
"35","182",19
"37","134",20
"41","176",21
"42","38",21
"44","110",22
"43","130",22
"45","85",23
"52","191",23
"46","71",23
"47","89",23
"49","33",24
"50","187",25
"48","119",25
"51","27",26
"53","48",27
"54","51",27
"55","102",28
"57","133",28
"56","45",28
"58","22",29
"59","44",30
"61","18",31
"62","135",32
"60","153",32
"63","141",33
"64","88",33
"68","198",34
"65","132",34
"66","103",35
"67","197",35
"69","163",36
"70","53",37
"72","112",37
"73","126",38
"71","14",38
"74","129",39
"75","80",39
"76","186",40
"77","62",41
"78","161",42
"79","37",42
"82","2",42
"80","42",42
"81","183",43
"84","116",44
"83","100",45
"85","31",46
"86","70",47
"87","10",48
"88","173",48
"91","41",49
"89","156",50
"90","34",50
"95","159",50
"92","75",50
"94","50",50
"98","160",50
"93","79",50
"96","170",51
"97","172",52
"101","158",52
"99","17",52
"102","136",52
"100","185",52
"103","149",53
"105","178",53
"106","180",54
"104","11",55
"107","96",56
"109","146",57
"108","177",57
"113","193",57
"112","199",57
"114","194",58
"111","16",58
"115","3",58
"110","15",58
"118","165",58
"117","155",59
"119","49",60
"123","109",60
"124","115",61
"116","196",61
"120","52",61
"121","29",62
"126","40",62
"122","92",62
"125","152",63
"127","174",64
"128","67",64
"129","23",65
"130","99",66
"133","77",67
"131","147",68
"134","104",68
"138","195",68
"132","46",68
"135","66",68
"139","83",68
"136","157",68
"140","101",68
"137","148",68
"142","128",68
"141","35",68
"146","97",68
"150","47",69
"144","24",69
"147","1",69
"145","167",69
"143","19",69
"149","4",69
"152","87",70
"148","39",71
"151","56",71
"153","162",72
"154","190",73
"157","123",73
"156","65",73
"158","143",73
"155","6",73
"159","171",74
"161","144",74
"162","138",75
"160","168",75
"165","98",76
"164","192",77
"163","150",78
"166","113",79
"167","68",80
"169","81",81
"168","166",82
"171","54",83
"170","9",83
"172","120",84
"173","26",85
"174","200",86
"175","188",87
"180","154",87
"176","61",87
"177","106",88
"184","118",88
"181","107",89
"182","111",90
"178","12",90
"198","82",90
"179","151",90
"190","20",90
"196","76",91
"191","21",92
"193","59",92
"194","64",93
"197","8",93
"183","114",94
"200","90",94
"195","74",95
"185","122",96
"186","13",96
"192","5",96
"187","142",97
"188","145",97
"189","179",98
"199","86",99
