node,hopcount,latency,power,deploymentPenalty,utilization
0,4,131,626,15400,0
1,4,128,735,8700,0
2,3,112,773,12080,0
3,3,166,686,15360,0
4,3,133,743,19680,0
5,3,153,770,14880,0
6,4,178,630,2900,0
7,2,122,643,19380,2
8,4,179,665,16300,0
9,3,264,748,8580,0
10,4,248,761,10380,0
11,5,204,557,17540,0
12,4,235,741,19400,0
13,4,317,652,7080,0
14,5,251,712,11480,0
15,3,188,790,11260,0
16,4,249,679,9460,0
17,5,330,557,6520,0
18,3,302,643,13480,0
19,3,294,777,17660,0
20,5,239,662,18540,0
21,5,352,744,6240,0
22,3,230,785,12200,0
23,3,172,799,13540,0
24,4,332,684,2560,0
25,4,331,573,17060,0
26,4,265,739,5180,0
27,4,222,544,2900,0
28,4,283,773,11900,0
29,4,192,691,1500,0
30,4,289,611,8440,0
31,4,208,789,1400,0
32,5,233,741,5000,0
33,4,330,530,9080,0
34,4,253,605,13300,0
35,5,209,530,1740,0
36,4,332,720,7800,0
37,4,270,702,4220,0
38,5,298,754,13860,0
39,4,258,633,12340,0
40,5,324,671,8780,0
41,5,280,752,7780,0
42,3,270,723,1220,0
43,4,227,572,6340,0
44,4,274,608,6460,0
45,4,290,715,12800,0
46,5,220,500,13360,0
47,4,248,691,5540,0
48,4,296,624,11800,0
49,4,419,699,8940,0
50,4,280,547,5920,0
51,4,322,727,11660,0
52,5,209,640,6920,0
53,3,262,556,16440,0
54,3,311,718,2580,0
55,3,232,595,13900,0
56,3,125,747,1040,0
57,4,358,695,3260,12
58,4,344,530,19600,7
59,4,298,582,2540,0
60,4,500,540,17380,0
61,4,232,762,7600,0
62,4,529,704,1760,0
63,4,399,773,18840,0
64,3,380,697,14320,0
65,5,188,612,13160,0
66,3,172,502,12160,0
67,4,398,716,16000,0
68,3,287,549,1780,0
69,4,519,665,8500,0
70,4,297,514,5540,0
71,4,390,621,2340,0
72,3,71,773,2880,0
73,3,272,603,19560,0
74,3,144,590,9100,0
75,5,458,688,18480,0
76,4,244,519,13140,0
77,4,299,502,2160,0
78,4,284,647,9520,0
79,5,328,610,9040,0
80,5,310,629,15780,0
81,3,294,711,17420,0
82,4,249,535,13860,0
83,4,174,785,1800,0
84,1,0,613,4760,10
85,4,304,795,19800,0
86,4,358,764,13920,0
87,4,180,650,7120,0
88,4,169,683,4840,0
89,3,222,770,19300,0
90,4,218,577,3820,0
91,4,283,716,12080,0
92,3,462,761,2600,0
93,3,212,504,1760,0
94,4,252,544,4040,2
95,4,205,771,10600,1
96,4,192,742,13900,0
97,3,186,772,15200,0
98,3,292,748,12380,0
99,3,214,676,8380,0
100,3,214,500,13480,0
101,4,338,519,5820,0
102,3,272,622,6740,0
103,4,233,538,13180,0
104,4,220,510,2040,0
105,3,296,715,17420,3
106,4,310,623,19760,0
107,2,38,641,1880,0
108,3,244,689,12740,6
109,4,306,615,7580,3
110,4,165,683,17760,1
111,4,317,537,7420,0
112,4,252,538,15980,0
113,5,499,762,18420,0
114,5,581,736,10860,0
115,5,561,727,9440,0
116,5,417,513,2420,0
117,5,477,784,18120,0
118,5,363,528,5100,0
119,4,534,710,15820,0
120,5,459,628,3140,0
121,4,329,625,18780,0
122,4,409,509,14960,0
123,5,381,776,1560,0
124,4,509,521,2480,0
125,5,373,502,7600,0
126,4,306,768,2340,0
127,5,492,782,13800,0
128,5,496,507,8020,0
129,5,401,533,4540,0
130,5,440,790,3460,0
131,5,447,782,6560,0
132,4,447,798,4500,0
133,5,367,770,3960,0
134,4,487,573,7000,0
135,5,407,513,8980,0
136,5,414,522,2480,0
137,5,231,542,15080,0
138,6,251,633,2600,0
139,3,203,622,2100,0
140,4,445,561,7080,0
141,5,396,739,19060,0
142,5,504,739,14080,0
143,5,402,629,15600,0
144,5,482,542,18820,0
145,4,214,561,10180,0
146,5,465,502,12760,0
147,4,409,664,12960,0
148,5,527,704,9960,0
149,6,582,584,15480,0
150,5,460,512,17800,0
151,5,282,619,12060,0
152,5,482,727,6380,0
153,4,294,5000,0,64
154,5,419,574,11080,0
155,5,405,587,8880,0
156,5,431,659,12920,0
157,5,403,734,8660,0
158,5,463,689,8060,0
159,4,482,677,8240,0
160,5,237,642,7720,0
161,5,380,595,14200,0
162,5,482,724,6700,0
163,4,346,641,1480,0
164,4,476,520,11020,0
165,6,407,701,15100,0
166,4,326,800,12800,0
167,5,439,568,14820,0
168,3,86,638,3000,0
169,4,544,770,9020,2
170,2,52,657,14480,0
171,3,254,737,9440,0
172,4,704,566,8400,1
173,5,210,514,12140,0
174,4,367,556,2600,0
175,5,454,683,4280,10
176,4,328,585,10740,2
177,5,424,690,9700,0
178,3,374,779,19140,1
179,4,726,711,10320,0
180,2,219,549,1820,0
181,5,580,736,3660,0
182,5,415,777,8540,0
183,3,346,765,2940,0
184,4,334,597,9660,0
185,5,483,563,8000,0
186,4,391,702,4820,0
187,5,364,576,17340,1
188,4,570,781,1840,0
189,5,443,514,14780,0
190,5,444,535,9740,0
191,4,357,624,15540,0
192,3,200,628,2460,0
193,6,708,554,1740,2
194,6,524,781,17560,7
195,6,610,585,11580,1
196,6,675,632,6640,2
197,6,434,569,5960,1
198,7,885,720,2880,1
199,7,674,698,15000,4
