id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
2,COMP_M,9,9_55,M.USER.APP.9,80,81,197,174,None,305.5923076923077,976.0761888761821,1281.66849656849,372.0,976.0761888761821
1,COMP_M,8,8_52,M.USER.APP.8,76,78,199,111,None,142.38814016172506,1105.1335487900296,1247.5216889517546,220.0,1105.1335487900296
6,COMP_M,3,3_22,M.USER.APP.3,88,83,196,186,None,184.80497925311204,1123.0554684234266,1307.8604476765386,506.0,1123.0554684234266
8,COMP_M,4,4_27,M.USER.APP.4,86,85,169,113,None,57.68621064060803,1178.1045778593952,1235.7907885000034,587.0,1178.1045778593952
13,COMP_M,3,3_22,M.USER.APP.3,82,91,194,110,None,50.1554054054054,1330.0919505796842,1380.2473559850896,777.0,1330.0919505796842
7,COMP_M,9,9_55,M.USER.APP.9,80,81,197,174,None,305.5923076923077,1424.1379545428485,1729.7302622351563,530.0,1424.1379545428485
11,COMP_M,1,1_9,M.USER.APP.1,88,89,196,152,None,110.85266457680251,1445.1658170908377,1556.0184816676401,674.0,1445.1658170908377
21,COMP_M,5,5_36,M.USER.APP.5,87,93,187,188,None,231.0108695652174,1484.1349500727217,1715.1458196379392,1002.0,1484.1349500727217
2,COMP_M,9,9_58,9_(55-58),81,101,174,104,9_55,519.6274509803922,1502.6938578758384,2022.3213088562306,1281.66849656849,1502.6938578758384
3,COMP_M,8,8_52,M.USER.APP.8,76,78,199,111,None,142.38814016172506,1553.1953144566962,1695.5834546184212,381.0,1553.1953144566962
1,COMP_M,8,8_53,8_(52-53),78,99,111,101,8_52,190.17869415807561,1579.5573544227705,1769.736048580846,1247.5216889517546,1579.5573544227705
14,COMP_M,3,3_22,M.USER.APP.3,88,83,196,186,None,184.80497925311204,1585.1012890662837,1769.9062683193956,796.0,1585.1012890662837
13,COMP_M,3,3_25,3_(22-25),91,107,110,138,3_22,397.1307692307692,1613.2812884482837,2010.4120576790529,1380.2473559850896,1613.2812884482837
2,COMP_M,9,9_56,9_(55-56),81,100,174,112,9_55,29.334167709637047,1629.700090652663,1659.0342583623,1281.66849656849,1629.700090652663
13,COMP_M,3,3_23,3_(22-23),91,108,110,102,3_22,127.06231454005935,1650.2802056550186,1777.342520195078,1380.2473559850896,1650.2802056550186
