"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","111",1
"2","105",2
"3","113",3
"4","101",4
"5","115",5
"6","161",6
"7","107",7
"8","185",8
"12","109",8
"9","131",8
"10","119",9
"11","143",9
"13","137",10
"19","102",10
"20","136",11
"21","172",12
"15","169",12
"16","117",13
"14","167",13
"17","183",14
"29","5",14
"22","177",14
"24","189",15
"34","45",15
"25","159",15
"18","157",15
"26","193",15
"37","61",15
"23","139",15
"38","89",15
"41","9",16
"30","147",16
"31","127",17
"33","155",18
"42","97",18
"36","129",18
"46","1",18
"48","7",18
"49","63",19
"28","174",19
"40","175",19
"50","57",19
"51","69",20
"44","173",20
"52","71",20
"53","11",21
"27","104",21
"56","17",21
"57","83",21
"47","149",21
"54","145",22
"58","47",22
"43","103",22
"45","187",22
"55","123",23
"32","138",23
"62","91",23
"65","23",23
"64","151",24
"35","152",24
"66","3",24
"67","79",25
"68","121",26
"69","43",27
"39","106",27
"72","33",27
"78","25",27
"79","37",28
"76","13",29
"73","21",29
"74","15",30
"77","19",31
"80","81",31
"85","163",31
"75","73",31
"83","59",31
"59","108",31
"87","153",31
"81","95",31
"82","39",32
"60","134",32
"84","35",32
"61","188",32
"86","93",32
"63","126",32
"89","99",32
"97","141",32
"70","110",32
"71","112",32
"91","27",32
"92","87",32
"99","133",32
"90","41",32
"102","8",32
"96","29",32
"88","156",32
"103","181",32
"93","49",32
"95","178",33
"98","31",33
"106","135",33
"107","16",34
"94","142",34
"110","171",34
"111","191",34
"100","168",34
"101","190",34
"104","176",35
"105","65",35
"108","55",36
"121","6",36
"120","32",37
"118","24",38
"112","132",38
"114","148",38
"115","164",38
"119","28",38
"116","162",38
"123","44",38
"109","85",38
"113","75",39
"124","124",39
"122","192",39
"125","130",40
"130","62",40
"133","197",40
"126","158",40
"127","186",40
"128","198",40
"131","64",40
"117","77",40
"137","165",40
"138","179",41
"132","4",41
"134","160",42
"136","72",43
"135","54",44
"141","195",44
"140","140",44
"139","66",44
"144","38",45
"146","125",45
"129","53",45
"142","146",46
"148","114",47
"149","118",47
"150","122",47
"151","128",47
"152","144",47
"153","166",47
"143","30",47
"154","36",47
"145","67",47
"147","10",48
"161","170",48
"163","182",49
"156","60",49
"160","120",49
"157","68",49
"158","96",50
"162","180",50
"164","196",50
"168","98",51
"166","52",52
"169","116",52
"178","86",53
"165","34",53
"155","51",53
"159","100",54
"171","20",54
"177","84",55
"167","88",55
"175","78",56
"176","82",56
"170","18",57
"180","92",58
"174","56",59
"179","90",60
"172","22",61
"186","199",61
"182","2",61
"173","46",61
"184","50",62
"181","14",63
"192","184",63
"190","150",64
"193","194",65
"183","48",65
"185","74",65
"194","200",65
"188","70",65
"191","154",65
"187","26",65
"197","58",66
"195","40",67
"199","80",68
"200","94",69
"189","12",70
"196","42",71
"198","76",72
