node,hopcount,latency,power,deploymentPenalty,cost
0,3,299,655.0,1,40
1,4,384,764.5,40,40
2,4,318,805.5,1,40
3,3,311,714.5,40,40
4,4,365,781.5,1,40
5,4,373,805.5,40,40
6,4,326,664.0,1,40
7,4,355,681.0,40,40
8,5,411,690.0,1,40
9,5,497,783.0,40,40
10,5,405,789.5,1,40
11,5,460,590.5,40,40
12,5,455,772.5,1,40
13,5,537,691.0,40,40
14,4,419,745.0,1,40
15,4,345,824.0,40,40
16,5,481,709.5,1,40
17,5,478,584.5,40,40
18,5,535,669.0,1,40
19,5,527,815.0,40,40
20,4,407,693.0,1,40
21,5,500,782.0,40,40
22,5,463,818.5,1,40
23,5,405,838.0,40,40
24,5,489,716.5,1,40
25,5,551,609.0,40,40
26,5,485,769.0,1,40
27,5,379,579.5,40,40
28,5,503,806.0,1,40
29,4,337,725.0,40,40
30,5,509,651.0,1,40
31,5,365,816.5,40,40
32,4,401,780.5,1,40
33,5,487,559.0,40,40
34,5,473,632.5,1,40
35,4,377,570.0,40,40
36,5,489,757.5,1,40
37,5,427,741.5,40,40
38,5,446,784.0,1,40
39,5,464,660.5,40,40
40,5,472,703.5,1,40
41,5,536,780.5,40,40
42,5,503,753.0,1,40
43,5,548,611.5,40,40
44,4,419,647.5,1,40
45,5,504,746.0,40,40
46,5,682,527.5,1,40
47,4,381,721.5,40,40
48,4,441,655.0,1,40
49,5,584,724.5,40,40
50,4,229,580.0,1,40
51,5,476,765.5,40,40
52,5,465,677.5,1,40
53,5,366,596.0,40,40
54,5,523,758.0,1,40
55,5,511,623.0,40,40
56,5,378,780.0,1,40
57,5,584,733.5,40,40
58,4,436,568.0,1,40
59,5,455,614.0,40,40
60,5,401,573.0,1,40
61,5,464,791.0,40,40
62,5,550,737.5,1,40
63,5,498,798.5,40,40
64,5,613,733.0,1,40
65,4,356,645.0,40,40
66,5,441,529.0,1,40
67,4,347,746.0,40,40
68,5,384,589.0,1,40
69,5,579,694.5,40,40
70,3,285,541.5,1,40
71,5,415,651.0,40,40
72,5,360,805.0,1,40
73,5,454,635.0,40,40
74,5,487,626.0,1,40
75,4,323,718.5,40,40
76,4,389,545.0,1,40
77,5,523,533.0,40,40
78,4,430,681.0,1,40
79,3,333,650.0,40,40
80,5,461,659.5,1,40
81,5,527,749.5,40,40
82,5,842,566.0,1,40
83,4,672,813.0,40,40
84,5,477,646.0,1,40
85,5,376,822.0,40,40
86,5,590,796.5,1,40
87,5,386,682.5,40,40
88,5,401,711.0,1,40
89,4,360,807.5,40,40
90,4,371,614.0,1,40
91,5,415,753.5,40,40
92,4,423,786.5,1,40
93,5,640,542.0,40,40
94,4,397,579.0,1,40
95,5,425,803.5,40,40
96,4,337,778.5,1,40
97,5,445,800.0,40,40
98,5,452,780.0,1,40
99,5,362,714.0,40,40
100,4,339,527.5,1,1
101,5,481,557.0,40,1
102,5,496,659.5,1,1
103,4,357,567.0,40,1
104,3,247,541.0,1,1
105,5,529,750.0,40,1
106,3,289,657.0,1,1
107,5,392,668.0,40,1
108,3,193,715.5,1,1
109,2,171,652.0,40,1
110,4,413,715.0,1,1
111,4,359,572.5,40,1
112,4,397,577.0,1,1
113,5,500,797.5,40,1
114,6,724,763.5,1,1
115,3,426,759.0,40,1
116,5,562,552.0,1,1
117,1,0,819.0,40,1
118,5,508,565.5,1,1
119,6,767,741.5,40,1
120,3,324,661.5,1,1
121,6,553,651.5,40,1
122,4,358,540.5,1,1
123,5,526,815.5,40,1
124,6,733,551.5,1,1
125,4,400,542.0,40,1
126,5,444,796.0,1,1
127,3,357,808.5,40,1
128,4,475,541.0,1,1
129,5,443,563.0,40,1
130,5,389,820.5,1,1
131,5,592,821.5,40,1
132,6,706,824.5,1,1
133,4,346,809.5,40,1
134,4,436,609.5,1,1
135,6,550,540.0,40,1
136,6,1007,553.5,1,1
137,5,479,573.5,40,1
138,6,548,663.5,1,1
139,6,557,653.0,40,1
140,4,394,590.5,1,1
141,5,644,768.0,40,1
142,6,529,770.5,1,1
143,5,900,657.5,40,1
144,5,606,574.0,1,1
145,6,483,586.0,40,1
146,5,610,531.5,1,1
147,5,534,691.0,40,1
148,6,545,740.5,1,1
149,4,591,624.0,40,1
150,6,592,540.5,1,1
151,5,427,645.5,40,1
152,5,524,766.0,1,1
153,6,637,7500.0,40,1
154,6,643,613.0,1,1
155,5,550,620.0,40,1
156,6,449,690.0,1,1
157,6,535,771.0,40,1
158,6,620,716.0,1,1
159,6,715,704.0,40,1
160,5,485,673.0,1,1
161,5,422,630.0,40,1
162,5,524,749.5,1,1
163,6,494,679.5,40,1
164,6,700,558.0,1,1
165,6,704,726.0,40,1
166,6,559,838.5,1,1
167,6,511,604.5,40,1
168,4,370,668.0,1,1
169,5,713,801.5,40,1
170,6,529,684.0,1,1
171,6,608,768.0,40,1
172,5,599,594.0,1,1
173,5,458,545.0,40,1
174,4,316,581.5,1,1
175,4,433,717.0,40,1
176,5,465,623.5,1,1
177,6,496,722.5,40,1
178,6,728,818.0,1,1
179,5,687,739.0,40,1
180,5,666,574.0,1,1
181,4,607,771.5,40,1
182,4,442,809.0,1,1
183,6,700,802.0,40,1
184,5,447,622.0,1,1
185,4,535,596.0,40,1
186,5,603,738.0,1,1
187,5,509,606.0,40,1
188,3,315,807.0,1,1
189,4,427,551.5,40,1
190,3,402,561.0,1,1
191,4,379,663.0,40,1
192,6,1057,664.5,1,1
193,7,780,586.5,40,1
194,4,482,810.5,1,1
195,5,589,618.0,40,1
196,5,727,666.0,1,1
197,6,682,595.5,40,1
198,6,937,748.5,1,1
199,7,922,734.0,40,1
