"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","115",1
"2","102",2
"3","111",3
"4","105",4
"5","113",5
"6","101",6
"7","161",7
"8","107",8
"9","109",9
"13","185",10
"10","119",10
"14","136",10
"11","131",10
"12","143",10
"15","137",11
"16","117",12
"17","147",13
"18","129",14
"20","169",15
"21","183",16
"22","177",17
"23","159",18
"24","193",18
"26","189",19
"27","127",20
"28","155",20
"19","172",20
"25","175",21
"29","173",22
"30","123",23
"31","151",23
"32","103",24
"33","187",25
"35","181",26
"36","141",27
"37","157",28
"38","153",29
"39","163",29
"40","133",30
"41","139",30
"44","174",30
"46","138",31
"45","135",31
"48","108",31
"34","167",31
"52","179",31
"49","112",31
"42","145",31
"43","149",32
"50","156",32
"54","104",32
"56","110",32
"47","121",32
"57","126",32
"59","152",32
"60","188",32
"55","106",33
"61","178",34
"66","168",35
"69","190",35
"67","176",36
"51","142",36
"53","191",37
"63","148",37
"64","162",37
"65","164",37
"62","130",38
"68","186",38
"71","198",39
"72","192",40
"75","5",40
"74","171",40
"77","45",40
"58","134",40
"73","158",41
"79","165",41
"80","197",41
"81","97",41
"82","125",42
"76","140",42
"78","61",43
"70","132",43
"88","89",43
"92","160",43
"84","182",43
"86","180",43
"91","9",43
"97","146",43
"94","1",43
"101","144",43
"89","69",43
"90","124",44
"96","7",44
"85","71",44
"83","170",45
"95","63",45
"103","122",45
"105","166",45
"102","120",46
"98","57",46
"99","114",47
"93","83",47
"107","196",47
"104","128",47
"100","118",47
"109","116",48
"112","17",48
"87","47",48
"111","11",48
"115","195",48
"106","59",48
"118","91",48
"121","79",49
"126","25",50
"128","35",50
"131","16",50
"116","23",50
"134","3",50
"114","150",50
"108","184",50
"130","13",50
"136","37",50
"120","43",50
"119","194",51
"110","95",51
"125","21",51
"132","27",51
"133","29",51
"135","31",51
"142","87",51
"143","93",51
"144","99",51
"122","15",51
"123","19",51
"127","33",51
"129","81",51
"124","200",52
"140","6",52
"137","39",53
"141","73",53
"145","199",54
"138","41",54
"139","49",54
"113","77",54
"147","55",54
"146","65",54
"117","67",54
"186","75",54
"193","85",54
"174","53",55
"172","51",56
"189","8",56
"152","154",57
"159","28",57
"168","44",58
"165","4",59
"184","72",59
"164","38",60
"162","34",61
"178","60",61
"182","68",61
"161","32",62
"179","62",62
"180","64",63
"149","100",64
"173","52",64
"188","78",65
"199","96",65
"194","86",66
"175","54",67
"181","66",67
"200","98",67
"160","30",68
"163","36",69
"197","92",70
"176","56",71
"157","24",72
"148","10",73
"171","50",73
"151","14",74
"154","2",75
"183","70",76
"158","26",77
"196","90",77
"195","88",78
"153","18",79
"191","82",79
"155","20",80
"169","46",81
"192","84",81
"170","48",82
"185","74",82
"156","22",83
"177","58",84
"198","94",84
"166","40",85
"190","80",86
"150","12",87
"187","76",88
"167","42",89
