node,hopcount,latency,power,deploymentPenalty,cost
0,4,338,655.0,40,40
1,5,438,764.5,1,40
2,5,318,805.5,40,40
3,4,216,714.5,1,40
4,4,436,781.5,40,40
5,4,203,805.5,1,40
6,5,276,664.0,40,40
7,3,172,681.0,1,40
8,5,482,690.0,40,40
9,4,314,783.0,1,40
10,5,298,789.5,40,40
11,6,514,590.5,1,40
12,5,285,772.5,40,40
13,5,367,691.0,1,40
14,5,458,745.0,40,40
15,4,238,824.0,1,40
16,5,552,709.5,40,40
17,6,428,584.5,1,40
18,4,352,669.0,40,40
19,4,344,815.0,1,40
20,5,446,693.0,40,40
21,6,450,782.0,1,40
22,4,280,818.5,40,40
23,4,222,838.0,1,40
24,5,382,716.5,40,40
25,5,381,609.0,1,40
26,5,315,769.0,40,40
27,5,272,579.5,1,40
28,5,333,806.0,40,40
29,5,242,725.0,1,40
30,5,339,651.0,40,40
31,5,258,816.5,1,40
32,5,440,780.5,40,40
33,5,380,559.0,1,40
34,5,303,632.5,40,40
35,5,416,570.0,1,40
36,5,382,757.5,40,40
37,5,320,741.5,1,40
38,6,396,784.0,40,40
39,6,464,660.5,1,40
40,6,422,703.5,40,40
41,6,590,780.5,1,40
42,4,320,753.0,40,40
43,5,277,611.5,1,40
44,5,324,647.5,40,40
45,6,454,746.0,1,40
46,6,318,527.5,40,40
47,6,454,721.5,1,40
48,5,622,655.0,40,40
49,5,469,724.5,1,40
50,5,330,580.0,40,40
51,5,372,765.5,1,40
52,6,519,677.5,40,40
53,4,312,596.0,1,40
54,4,361,758.0,40,40
55,4,282,623.0,1,40
56,5,427,780.0,40,40
57,5,408,733.5,1,40
58,5,394,568.0,40,40
59,5,348,614.0,1,40
60,5,472,573.0,40,40
61,5,535,791.0,1,40
62,5,433,737.5,40,40
63,5,292,798.5,1,40
64,4,385,733.0,40,40
65,5,441,645.0,1,40
66,4,258,529.0,40,40
67,5,596,746.0,1,40
68,5,277,589.0,40,40
69,5,472,694.5,1,40
70,5,544,541.5,40,40
71,5,308,651.0,1,40
72,5,373,805.0,40,40
73,4,322,635.0,1,40
74,2,150,626.0,40,40
75,6,738,718.5,1,40
76,5,294,545.0,40,40
77,5,348,533.0,1,40
78,5,334,681.0,40,40
79,5,338,650.0,1,40
80,5,344,659.5,40,40
81,4,344,749.5,1,40
82,5,552,566.0,40,40
83,6,419,813.0,1,40
84,4,294,646.0,40,40
85,5,354,822.0,1,40
86,5,661,796.5,40,40
87,4,250,682.5,1,40
88,4,442,711.0,40,40
89,4,272,807.5,1,40
90,5,649,614.0,40,40
91,5,333,753.5,1,40
92,5,307,786.5,40,40
93,4,262,542.0,1,40
94,5,302,579.0,40,40
95,5,354,803.5,1,40
96,5,242,778.5,40,40
97,4,236,800.0,1,40
98,4,342,780.0,40,40
99,4,264,714.0,1,40
100,3,298,527.5,40,1
