"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","188",1
"2","152",2
"3","192",3
"4","113",4
"5","106",5
"6","112",6
"7","174",6
"8","124",7
"9","101",8
"10","138",9
"11","122",10
"12","103",11
"14","111",12
"13","132",12
"18","4",12
"15","102",12
"17","104",13
"20","162",14
"24","119",14
"22","180",14
"16","186",14
"26","109",14
"19","130",14
"21","95",14
"23","96",15
"25","108",16
"27","134",17
"30","30",17
"28","90",17
"32","110",18
"33","148",18
"34","8",18
"35","105",19
"36","107",19
"39","117",20
"29","136",20
"47","139",20
"37","146",20
"41","36",20
"44","80",21
"51","161",21
"40","190",21
"43","167",22
"45","114",23
"46","172",23
"56","100",23
"42","81",23
"50","160",23
"52","176",24
"49","178",24
"38","126",24
"53","147",24
"48","168",24
"58","6",24
"59","2",24
"63","88",24
"31","170",24
"54","164",25
"57","166",25
"66","72",25
"60","142",25
"65","127",25
"68","76",25
"62","86",25
"64","98",26
"55","1",26
"71","187",26
"61","156",26
"73","175",26
"70","28",26
"72","24",27
"75","12",28
"78","84",28
"69","7",28
"82","16",28
"79","44",28
"77","165",28
"80","18",29
"86","56",29
"76","123",29
"87","157",29
"67","198",29
"92","50",29
"93","66",30
"83","5",30
"84","97",30
"91","32",30
"88","51",30
"95","48",30
"96","74",30
"97","92",31
"99","54",32
"98","3",33
"89","63",33
"102","62",33
"85","47",33
"90","125",34
"109","40",34
"110","52",34
"107","177",35
"94","94",35
"100","77",36
"74","140",36
"101","61",36
"103","89",36
"81","158",36
"115","38",36
"113","9",36
"117","10",36
"118","169",36
"121","46",37
"111","75",37
"105","129",38
"125","22",38
"104","118",38
"108","21",39
"126","60",39
"112","79",39
"120","45",39
"131","68",39
"123","141",39
"128","153",39
"129","163",39
"106","150",39
"133","82",39
"122","93",39
"135","143",39
"134","14",40
"119","34",40
"127","73",41
"130","33",42
"137","49",42
"141","64",42
"124","15",42
"138","42",42
"132","67",42
"116","128",42
"114","144",42
"140","26",42
"139","131",43
"143","99",44
"149","154",44
"136","196",44
"150","20",44
"142","69",44
"145","71",44
"148","135",44
"144","17",44
"146","83",44
"151","39",45
"153","57",45
"154","149",45
"147","13",45
"152","41",45
"155","35",46
"157","85",47
"160","183",47
"156","58",47
"165","91",48
"158","121",49
"161","189",49
"163","31",50
"168","23",50
"159","137",50
"169","27",50
"166","11",51
"164","53",51
"167","116",51
"162","19",51
"170","43",51
"177","181",52
"175","151",53
"172","65",53
"184","70",53
"178","182",54
"179","184",55
"174","145",56
"171","55",56
"183","59",57
"180","191",58
"181","197",59
"173","120",60
"182","25",60
"188","29",60
"185","115",61
"189","37",62
"176","159",62
"190","194",62
"187","179",62
"186","133",63
"193","200",63
"191","87",63
"192","185",64
"194","173",65
"196","195",66
"200","78",66
"198","155",67
"195","193",67
"197","199",67
"199","171",68
