node,hopcount,latency,power,deploymentPenalty,cost
0,4,429,655.0,1,40
1,4,426,764.5,40,40
2,3,410,805.5,1,40
3,4,445,714.5,40,40
4,3,336,781.5,1,40
5,4,440,805.5,40,40
6,4,476,664.0,1,40
7,3,504,681.0,40,40
8,4,382,690.0,1,40
9,4,646,783.0,40,40
10,5,684,789.5,1,40
11,5,502,590.5,40,40
12,5,522,772.5,1,40
13,5,604,691.0,40,40
14,5,549,745.0,1,40
15,4,624,824.0,40,40
16,4,452,709.5,1,40
17,5,628,584.5,40,40
18,4,684,669.0,1,40
19,4,676,815.0,40,40
20,5,537,693.0,1,40
21,5,650,782.0,40,40
22,4,612,818.5,1,40
23,4,554,838.0,40,40
24,5,768,716.5,1,40
25,5,618,609.0,40,40
26,5,552,769.0,1,40
27,5,658,579.5,40,40
28,5,570,806.0,1,40
29,5,471,725.0,40,40
30,5,576,651.0,1,40
31,5,644,816.5,40,40
32,5,531,780.5,1,40
33,5,766,559.0,40,40
34,5,540,632.5,1,40
35,5,507,570.0,40,40
36,5,768,757.5,1,40
37,5,706,741.5,40,40
38,5,596,784.0,1,40
39,4,556,660.5,40,40
40,5,622,703.5,1,40
41,5,578,780.5,40,40
42,4,652,753.0,1,40
43,5,609,611.5,40,40
44,5,553,647.5,1,40
45,5,654,746.0,40,40
46,5,518,527.5,1,40
47,4,546,721.5,40,40
48,5,575,655.0,1,40
49,5,539,724.5,40,40
50,5,582,580.0,1,40
51,5,518,765.5,40,40
52,5,507,677.5,1,40
53,4,644,596.0,40,40
54,4,693,758.0,1,40
55,4,614,623.0,40,40
56,3,423,780.0,1,40
57,5,740,733.5,40,40
58,5,619,568.0,1,40
59,5,680,614.0,40,40
60,2,300,573.0,1,40
61,4,435,791.0,40,40
62,5,619,737.5,1,40
63,4,590,798.5,40,40
64,4,762,733.0,1,40
65,5,486,645.0,40,40
66,3,470,529.0,1,40
67,4,496,746.0,40,40
68,3,585,589.0,1,40
69,5,901,694.5,40,40
70,4,444,541.5,1,40
71,5,772,651.0,40,40
72,3,369,805.0,1,40
73,3,528,635.0,40,40
74,4,526,626.0,1,40
75,5,600,718.5,40,40
76,5,770,545.0,1,40
77,5,704,533.0,40,40
78,5,613,681.0,1,40
79,5,622,650.0,40,40
80,5,530,659.5,1,40
81,4,676,749.5,40,40
82,4,452,566.0,1,40
83,4,472,813.0,40,40
84,3,374,646.0,1,40
85,5,526,822.0,40,40
86,4,561,796.5,1,40
87,4,478,682.5,40,40
88,4,372,711.0,1,40
89,4,604,807.5,40,40
90,4,516,614.0,1,40
91,5,589,753.5,40,40
92,4,454,786.5,1,40
93,4,594,542.0,40,40
94,5,531,579.0,1,40
95,5,668,803.5,40,40
96,5,604,778.5,1,40
97,4,568,800.0,40,40
98,4,674,780.0,1,40
99,4,596,714.0,40,40
100,4,596,527.5,1,1
101,4,636,557.0,40,1
102,4,654,659.5,1,1
103,4,531,567.0,40,1
104,4,430,541.0,1,1
105,4,678,750.0,40,1
106,5,592,657.0,1,1
107,2,336,668.0,40,1
108,4,626,715.5,1,1
109,5,557,652.0,40,1
110,4,368,715.0,1,1
111,5,552,572.5,40,1
112,4,466,577.0,1,1
113,6,881,797.5,40,1
114,5,879,763.5,1,1
115,6,812,759.0,40,1
116,5,631,552.0,1,1
117,6,728,819.0,40,1
118,5,577,565.5,1,1
119,5,916,741.5,40,1
120,6,710,661.5,1,1
121,5,711,651.5,40,1
122,5,791,540.5,1,1
123,6,660,815.5,40,1
124,5,891,551.5,1,1
125,5,583,542.0,40,1
126,5,688,796.0,1,1
127,6,743,808.5,40,1
128,6,778,541.0,1,1
129,6,636,563.0,40,1
130,5,538,820.5,1,1
