"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","169",1
"2","171",2
"3","101",3
"4","105",4
"5","181",5
"6","113",6
"7","109",7
"8","108",8
"9","111",9
"10","157",9
"11","193",10
"13","179",11
"14","103",12
"12","139",12
"15","189",12
"16","149",13
"17","161",14
"21","107",15
"22","191",16
"24","175",17
"25","177",17
"26","185",17
"27","123",18
"30","145",19
"18","119",19
"19","140",20
"20","117",21
"23","127",22
"28","147",23
"29","121",24
"32","146",25
"39","187",25
"34","163",25
"40","165",25
"41","141",26
"33","153",26
"43","125",26
"37","151",26
"38","104",27
"42","85",27
"44","112",28
"31","167",28
"48","135",28
"35","172",28
"36","183",28
"46","73",29
"50","110",29
"51","115",30
"49","137",30
"47","67",30
"52","184",31
"54","133",32
"57","173",32
"55","3",32
"56","57",32
"58","129",33
"45","102",33
"61","155",33
"53","174",33
"59","152",34
"65","159",34
"60","106",34
"68","1",34
"63","138",34
"71","195",34
"62","136",34
"67","162",34
"64","130",34
"66","126",35
"69","47",36
"76","131",36
"72","188",36
"75","69",36
"78","7",36
"80","93",36
"79","81",37
"81","143",37
"70","144",37
"74","178",38
"84","91",38
"82","168",38
"77","190",38
"73","122",38
"88","75",38
"85","95",38
"87","53",38
"86","164",38
"93","5",38
"83","180",38
"95","21",38
"90","13",38
"94","192",38
"98","35",38
"92","166",38
"96","33",38
"102","15",38
"97","51",38
"89","124",38
"105","45",38
"104","27",39
"91","158",39
"107","9",39
"106","186",40
"109","49",41
"108","31",42
"103","83",42
"111","148",42
"99","71",42
"110","128",42
"113","142",42
"114","29",42
"119","197",42
"112","134",42
"116","156",42
"126","8",42
"118","39",42
"100","118",42
"101","132",42
"122","17",42
"125","41",42
"117","176",42
"120","97",42
"133","43",42
"115","116",42
"121","160",42
"132","23",42
"134","99",43
"127","59",43
"128","11",44
"136","19",44
"130","150",44
"137","55",44
"124","182",44
"135","120",44
"131","198",44
"138","77",45
"123","170",45
"129","114",46
"152","2",46
"139","25",46
"164","4",46
"142","65",46
"189","88",46
"151","199",47
"140","37",47
"174","6",47
"141","194",47
"187","84",47
"143","87",47
"181","74",48
"169","48",49
"165","40",50
"176","61",50
"162","36",51
"159","30",52
"146","12",53
"150","196",53
"180","66",53
"193","94",54
"170","52",55
"195","98",56
"148","16",57
"156","24",57
"145","100",58
"178","63",58
"184","79",59
"179","64",60
"188","86",61
"172","56",62
"190","89",62
"158","28",63
"191","90",63
"166","42",64
"192","92",64
"154","200",65
"171","54",66
"182","76",67
"147","14",68
"160","32",68
"167","44",69
"157","26",70
"149","18",71
"144","10",72
"177","62",72
"185","80",73
"183","78",74
"186","82",75
"163","38",76
"168","46",76
"153","20",77
"161","34",77
"155","22",78
"175","60",79
"194","96",80
"196","154",80
"173","58",80
"200","72",81
"198","68",82
"197","50",83
"199","70",84
