node,hopcount,latency,power,deploymentPenalty,cost
0,4,255,655.0,40,40
1,3,354,764.5,1,40
2,4,289,805.5,40,40
3,4,321,714.5,1,40
4,4,437,781.5,40,40
5,3,259,805.5,1,40
6,4,328,664.0,40,40
7,3,245,681.0,1,40
8,5,483,690.0,40,40
9,4,387,783.0,1,40
10,4,257,789.5,40,40
11,4,430,590.5,1,40
12,4,341,772.5,40,40
13,4,423,691.0,1,40
14,5,375,745.0,40,40
15,3,197,824.0,1,40
16,5,553,709.5,40,40
17,5,480,584.5,1,40
18,4,425,669.0,40,40
19,4,417,815.0,1,40
20,5,363,693.0,40,40
21,5,502,782.0,1,40
22,4,353,818.5,40,40
23,4,295,838.0,1,40
24,4,341,716.5,40,40
25,4,437,609.0,1,40
26,4,371,769.0,40,40
27,4,231,579.5,1,40
28,4,389,806.0,40,40
29,5,347,725.0,1,40
30,4,395,651.0,40,40
31,4,217,816.5,1,40
32,5,357,780.5,40,40
33,4,339,559.0,1,40
34,4,359,632.5,40,40
35,5,333,570.0,1,40
36,4,341,757.5,40,40
37,4,279,741.5,1,40
38,5,448,784.0,40,40
39,5,435,660.5,1,40
40,5,474,703.5,40,40
41,4,506,780.5,1,40
42,4,393,753.0,40,40
43,4,236,611.5,1,40
44,5,535,647.5,40,40
45,5,559,746.0,1,40
46,5,662,527.5,40,40
47,5,506,721.5,1,40
48,5,640,655.0,40,40
49,4,428,724.5,1,40
50,3,159,580.0,40,40
51,4,331,765.5,1,40
52,4,435,677.5,40,40
53,4,385,596.0,1,40
54,4,434,758.0,40,40
55,4,397,623.0,1,40
56,4,230,780.0,40,40
57,5,481,733.5,1,40
58,4,353,568.0,40,40
59,4,307,614.0,1,40
60,5,623,573.0,40,40
61,5,536,791.0,1,40
62,4,227,737.5,40,40
63,4,251,798.5,1,40
64,4,503,733.0,40,40
65,3,357,645.0,1,40
66,4,331,529.0,40,40
67,3,277,746.0,1,40
68,4,236,589.0,40,40
69,4,431,694.5,1,40
70,4,259,541.5,40,40
71,4,267,651.0,1,40
72,4,359,805.0,40,40
73,4,395,635.0,1,40
74,4,267,626.0,40,40
75,4,528,718.5,1,40
76,4,363,545.0,40,40
77,4,375,533.0,1,40
78,4,293,681.0,40,40
79,3,254,650.0,1,40
80,4,390,659.5,40,40
81,4,417,749.5,1,40
82,5,553,566.0,40,40
83,5,432,813.0,1,40
84,4,367,646.0,40,40
85,4,313,822.0,1,40
86,4,299,796.5,40,40
87,4,434,682.5,1,40
88,4,454,711.0,40,40
89,4,403,807.5,1,40
90,4,293,614.0,40,40
91,4,389,753.5,1,40
92,4,363,786.5,40,40
93,3,360,542.0,1,40
94,3,257,579.0,40,40
95,4,311,803.5,1,40
96,4,532,778.5,40,40
97,4,331,800.0,1,40
98,4,415,780.0,40,40
99,4,337,714.0,1,40
100,3,316,527.5,40,1
101,4,427,557.0,1,1
102,4,395,659.5,40,1
103,3,197,567.0,1,1
104,4,221,541.0,40,1
105,3,362,750.0,1,1
106,4,263,657.0,40,1
107,4,413,668.0,1,1
108,2,123,715.5,40,1
109,3,145,652.0,1,1
110,4,335,715.0,40,1
111,2,228,572.5,1,1
112,4,348,577.0,40,1
113,5,474,797.5,1,1
114,5,670,763.5,40,1
115,4,400,759.0,1,1
116,5,513,552.0,40,1
117,4,316,819.0,1,1
118,5,459,565.5,40,1
119,5,657,741.5,1,1
120,4,298,661.5,40,1
121,5,452,651.5,1,1
122,3,288,540.5,40,1
123,4,386,815.5,1,1
124,5,632,551.5,40,1
125,5,374,542.0,1,1
126,5,487,796.0,40,1
127,4,331,808.5,1,1
128,5,449,541.0,40,1
129,3,312,563.0,1,1
130,4,319,820.5,40,1
131,5,543,821.5,1,1
132,5,592,824.5,40,1
133,5,320,809.5,1,1
134,3,366,609.5,40,1
135,5,496,540.0,1,1
136,6,718,553.5,40,1
137,5,401,573.5,1,1
138,5,477,663.5,40,1
139,5,578,653.0,1,1
140,3,324,590.5,40,1
141,5,566,768.0,1,1
142,5,381,770.5,40,1
143,6,660,657.5,1,1
144,4,446,574.0,40,1
145,5,373,586.0,1,1
146,5,561,531.5,40,1
147,4,511,691.0,1,1
148,5,593,740.5,40,1
149,4,512,624.0,1,1
150,5,566,540.5,40,1
151,5,378,645.5,1,1
152,3,393,766.0,40,1
153,5,417,7500.0,1,1
154,5,495,613.0,40,1
155,5,745,620.0,1,1
156,5,497,690.0,40,1
157,5,509,771.0,1,1
158,5,472,716.0,40,1
159,4,548,704.0,1,1
160,5,407,673.0,40,1
161,3,291,630.0,1,1
162,3,393,749.5,40,1
163,5,469,679.5,1,1
164,5,599,558.0,40,1
165,5,633,726.0,1,1
166,4,392,838.5,40,1
167,5,448,604.5,1,1
168,3,300,668.0,40,1
169,5,664,801.5,1,1
170,5,419,684.0,40,1
171,5,629,768.0,1,1
172,5,893,594.0,40,1
173,5,380,545.0,1,1
174,1,0,581.5,40,1
175,5,407,717.0,1,1
176,4,305,623.5,40,1
177,5,433,722.5,1,1
178,5,749,818.0,40,1
179,3,291,739.0,1,1
180,5,798,574.0,40,1
181,5,581,771.5,1,1
182,5,416,809.0,40,1
183,5,721,802.0,1,1
184,5,798,622.0,40,1
185,5,579,596.0,1,1
186,4,478,738.0,40,1
187,4,349,606.0,1,1
188,4,289,807.0,40,1
189,4,407,551.5,1,1
190,4,376,561.0,40,1
191,5,502,663.0,1,1
192,5,474,664.5,40,1
193,6,717,586.5,1,1
194,5,456,810.5,40,1
195,6,563,618.0,1,1
196,6,771,666.0,40,1
197,6,604,595.5,1,1
198,7,981,748.5,40,1
199,7,844,734.0,1,1
