"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","110",1
"2","104",2
"3","112",2
"4","126",2
"5","108",3
"6","144",3
"7","192",3
"8","116",4
"9","176",4
"10","190",4
"11","128",5
"12","130",5
"13","152",5
"14","162",5
"15","174",5
"16","102",6
"17","138",6
"18","118",7
"19","140",8
"20","188",8
"21","134",9
"22","114",10
"23","186",10
"24","146",11
"25","106",12
"26","168",13
"27","122",14
"28","148",14
"29","164",14
"30","178",14
"32","156",15
"33","124",16
"34","158",17
"35","172",17
"36","150",18
"37","180",18
"38","196",18
"39","182",19
"40","132",20
"31","136",20
"41","142",21
"42","184",22
"43","198",23
"44","166",24
"45","160",25
"46","170",26
"48","120",27
"47","195",27
"49","194",28
"50","191",29
"51","200",30
"98","84",30
"73","4",31
"96","80",31
"62","2",32
"84","6",33
"93","76",33
"68","30",34
"100","88",34
"71","36",35
"88","66",36
"89","68",36
"95","8",36
"58","12",37
"81","54",37
"60","16",38
"101","90",38
"67","28",39
"78","48",40
"92","74",40
"57","100",41
"74","40",41
"94","78",41
"104","96",41
"69","32",42
"70","34",42
"103","94",43
"80","52",44
"105","98",44
"99","86",45
"61","18",46
"87","64",46
"91","72",47
"102","92",47
"65","24",48
"85","60",48
"66","26",49
"72","38",50
"82","56",50
"59","14",51
"75","42",51
"86","62",51
"56","10",52
"53","109",52
"64","22",52
"77","46",52
"63","20",53
"76","44",53
"90","70",54
"52","105",54
"54","107",55
"55","121",55
"79","50",55
"83","58",55
"97","82",55
"106","101",56
"107","123",57
"108","141",57
"109","169",57
"110","175",57
"112","113",58
"111","111",59
"113","135",59
"119","189",59
"114","129",59
"115","103",60
"116","157",60
"117","177",60
"118","185",60
"120","119",61
"121","161",62
"122","137",63
"123","149",64
"124","131",65
"127","183",65
"125","127",66
"126","163",66
"128","117",67
"129","153",67
"130","181",67
"131","171",68
"132","139",69
"133","147",70
"134","151",70
"135","143",71
"136","165",71
"137","173",71
"138","145",72
"139","125",73
"140","187",73
"141","167",74
"142","159",75
"143","155",76
"145","179",77
"144","133",77
"146","197",77
"147","115",78
"148","154",78
"155","193",79
"156","199",79
"174","51",80
"185","71",81
"149","1",82
"162","3",82
"191","83",83
"188","77",84
"197","93",85
"184","7",86
"186","73",86
"199","97",87
"196","91",88
"198","95",88
"178","59",89
"157","21",90
"170","45",90
"175","53",90
"189","79",90
"152","15",91
"164","33",91
"192","85",92
"172","49",93
"165","35",94
"182","67",94
"151","13",95
"194","89",95
"150","11",96
"160","27",96
"171","47",96
"173","5",96
"193","87",96
"163","31",97
"161","29",98
"177","57",98
"179","61",99
"183","69",99
"190","81",99
"200","99",99
"167","39",100
"187","75",100
"158","23",101
"159","25",102
"166","37",102
"168","41",102
"169","43",102
"154","19",103
"176","55",103
"180","63",103
"195","9",103
"153","17",104
"181","65",104
