"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","195",1
"2","191",2
"3","105",3
"4","109",4
"5","107",5
"6","121",5
"7","101",6
"9","113",7
"10","123",7
"13","141",7
"14","169",7
"15","175",7
"8","111",8
"11","129",8
"12","135",8
"16","119",9
"17","137",10
"18","103",11
"19","157",11
"20","161",11
"21","177",11
"22","185",11
"23","189",11
"24","149",12
"25","117",13
"26","181",13
"27","163",14
"28","183",15
"29","173",16
"30","145",17
"31","147",17
"32","153",17
"33","127",18
"34","139",18
"35","171",18
"36","187",18
"37","151",19
"38","165",20
"39","131",21
"40","159",22
"41","125",23
"42","143",23
"43","155",24
"44","167",25
"46","179",26
"45","133",26
"47","197",26
"48","115",27
"49","199",28
"50","193",29
"51","110",30
"57","116",31
"52","118",31
"53","128",31
"60","144",31
"54","104",32
"56","112",32
"58","126",33
"62","190",34
"55","108",35
"59","134",36
"63","192",36
"61","176",37
"90","186",38
"85","174",39
"69","130",40
"81","162",40
"71","136",41
"78","152",41
"64","102",42
"77","150",42
"72","138",43
"75","146",44
"88","182",44
"91","188",45
"67","122",46
"79","156",46
"83","168",46
"66","114",47
"73","140",47
"82","164",47
"86","178",47
"92","196",47
"65","106",48
"68","124",48
"76","148",48
"80","158",48
"70","132",49
"84","172",49
"87","180",49
"94","198",49
"74","142",49
"89","184",49
"99","71",49
"93","170",49
"97","1",49
"101","83",49
"95","160",49
"96","166",49
"98","51",50
"102","120",51
"100","77",51
"111","3",51
"103","21",51
"104","45",51
"105","49",51
"106","59",51
"107","7",51
"108","79",51
"109","91",51
"110","95",51
"119","194",51
"112","15",51
"113","31",51
"114","35",51
"115","53",51
"116","67",51
"117","85",51
"118","89",51
"120","81",52
"125","93",52
"121","25",52
"122","41",52
"123","75",52
"124","97",52
"126","13",53
"127","27",53
"128","33",53
"131","73",53
"129","37",54
"130","43",54
"132","57",55
"133","99",55
"134","11",56
"135","39",56
"136","5",57
"137","29",58
"138","87",59
"139","55",60
"140","23",61
"142","19",62
"143","9",63
"144","63",64
"145","69",65
"146","17",66
"147","61",67
"148","65",67
"141","200",67
"149","47",67
"150","154",68
"193","84",68
"168","4",69
"191","80",70
"166","36",71
"157","2",72
"189","78",73
"162","28",74
"179","6",75
"165","34",76
"198","94",77
"153","12",78
"188","76",79
"176","54",80
"156","18",81
"155","16",82
"163","30",82
"184","68",82
"190","8",82
"195","88",82
"183","66",83
"196","90",83
"199","96",83
"152","100",84
"164","32",84
"200","98",85
"169","40",86
"173","48",86
"175","52",86
"187","74",86
"194","86",86
"167","38",87
"177","56",87
"186","72",87
"197","92",87
"170","42",88
"161","26",89
"180","60",89
"154","14",90
"160","24",90
"171","44",91
"182","64",91
"151","10",92
"158","20",92
"159","22",92
"172","46",92
"174","50",92
"178","58",92
"181","62",92
"185","70",92
"192","82",92
