node,hopcount,latency,power,deploymentPenalty,cost
0,4,313,655.0,1,40
1,4,280,764.5,40,40
2,4,242,805.5,1,40
3,3,207,714.5,40,40
4,3,247,781.5,1,40
5,4,269,805.5,40,40
6,4,222,664.0,1,40
7,4,251,681.0,40,40
8,4,293,690.0,1,40
9,5,393,783.0,40,40
10,5,373,789.5,1,40
11,5,356,590.5,40,40
12,5,351,772.5,1,40
13,5,433,691.0,40,40
14,5,433,745.0,1,40
15,4,313,824.0,40,40
16,4,363,709.5,1,40
17,5,374,584.5,40,40
18,5,431,669.0,1,40
19,5,423,815.0,40,40
20,5,421,693.0,1,40
21,5,396,782.0,40,40
22,5,359,818.5,1,40
23,5,301,838.0,40,40
24,5,457,716.5,1,40
25,5,447,609.0,40,40
26,5,381,769.0,1,40
27,5,347,579.5,40,40
28,5,399,806.0,1,40
29,4,233,725.0,40,40
30,5,405,651.0,1,40
31,5,333,816.5,40,40
32,5,415,780.5,1,40
33,5,455,559.0,40,40
34,5,369,632.5,1,40
35,5,391,570.0,40,40
36,5,457,757.5,1,40
37,5,395,741.5,40,40
38,5,342,784.0,1,40
39,5,388,660.5,40,40
40,5,368,703.5,1,40
41,5,432,780.5,40,40
42,5,399,753.0,1,40
43,5,574,611.5,40,40
44,4,315,647.5,1,40
45,5,400,746.0,40,40
46,5,708,527.5,1,40
47,5,378,721.5,40,40
48,4,337,655.0,1,40
49,5,450,724.5,40,40
50,5,436,580.0,1,40
51,5,372,765.5,40,40
52,5,361,677.5,1,40
53,5,262,596.0,40,40
54,5,419,758.0,1,40
55,5,407,623.0,40,40
56,5,346,780.0,1,40
57,5,645,733.5,40,40
58,3,342,568.0,1,40
59,5,423,614.0,40,40
60,4,283,573.0,1,40
61,4,346,791.0,40,40
62,5,446,737.5,1,40
63,5,422,798.5,40,40
64,5,829,733.0,1,40
65,5,370,645.0,40,40
66,5,337,529.0,1,40
67,4,407,746.0,40,40
68,5,352,589.0,1,40
69,5,508,694.5,40,40
70,4,355,541.5,1,40
71,5,383,651.0,40,40
72,5,284,805.0,1,40
73,5,378,635.0,40,40
74,5,533,626.0,1,40
75,4,349,718.5,40,40
76,4,285,545.0,1,40
77,5,491,533.0,40,40
78,3,336,681.0,1,40
79,4,391,650.0,40,40
80,5,357,659.5,1,40
81,5,423,749.5,40,40
82,4,363,566.0,1,40
83,5,304,813.0,40,40
84,5,373,646.0,1,40
85,5,272,822.0,40,40
86,4,472,796.5,1,40
87,5,310,682.5,40,40
88,4,283,711.0,1,40
89,5,383,807.5,40,40
90,3,277,614.0,1,40
91,5,399,753.5,40,40
92,5,286,786.5,1,40
93,4,547,542.0,40,40
94,4,293,579.0,1,40
95,5,367,803.5,40,40
96,4,233,778.5,1,40
97,4,267,800.0,40,40
98,4,579,780.0,1,40
99,5,258,714.0,40,40
100,4,385,527.5,1,1
101,4,305,557.0,40,1
102,5,392,659.5,1,1
103,5,451,567.0,40,1
104,2,153,541.0,1,1
105,5,425,750.0,40,1
106,3,315,657.0,1,1
107,5,316,668.0,40,1
108,4,251,715.5,1,1
109,3,229,652.0,40,1
110,4,279,715.0,1,1
111,5,406,572.5,40,1
112,4,293,577.0,1,1
113,5,396,797.5,40,1
114,5,548,763.5,1,1
115,4,484,759.0,40,1
116,5,458,552.0,1,1
117,4,400,819.0,40,1
118,5,404,565.5,1,1
119,6,663,741.5,40,1
120,4,382,661.5,1,1
121,6,449,651.5,40,1
122,5,416,540.5,1,1
123,5,422,815.5,40,1
124,6,629,551.5,1,1
125,1,0,542.0,40,1
126,6,467,796.0,1,1
127,4,415,808.5,40,1
128,4,501,541.0,1,1
129,6,490,563.0,40,1
130,5,449,820.5,1,1
131,5,488,821.5,40,1
132,5,528,824.5,1,1
133,4,372,809.5,40,1
134,5,494,609.5,1,1
135,5,374,540.0,40,1
136,5,528,553.5,1,1
137,5,345,573.5,40,1
138,6,444,663.5,1,1
139,6,481,653.0,40,1
140,5,452,590.5,1,1
141,5,510,768.0,40,1
142,6,497,770.5,1,1
143,6,532,657.5,40,1
144,6,620,574.0,1,1
145,6,379,586.0,40,1
146,5,506,531.5,1,1
147,5,580,691.0,40,1
148,6,469,740.5,1,1
149,5,649,624.0,40,1
150,6,576,540.5,1,1
151,5,323,645.5,40,1
152,6,571,766.0,1,1
153,6,683,7500.0,40,1
154,6,611,613.0,1,1
155,5,446,620.0,40,1
156,6,373,690.0,1,1
157,6,519,771.0,40,1
158,6,588,716.0,1,1
159,6,611,704.0,40,1
160,5,351,673.0,1,1
161,6,469,630.0,40,1
162,6,571,749.5,1,1
163,6,390,679.5,40,1
164,6,596,558.0,1,1
165,6,600,726.0,40,1
166,6,455,838.5,1,1
167,6,407,604.5,40,1
168,5,428,668.0,1,1
169,5,609,801.5,40,1
170,6,425,684.0,1,1
171,5,389,768.0,40,1
172,4,505,594.0,1,1
173,5,324,545.0,40,1
174,5,374,581.5,1,1
