id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,14,14_76,M.USER.APP.14,8,9,884,62,None,34.85350966429298,909.2363354960513,944.0898451603443,298.0,909.2363354960513
2,COMP_M,14,14_76,M.USER.APP.14,7,10,951,21,None,79.86247086247086,1050.0990293275947,1129.9615001900656,367.0,1050.0990293275947
1,COMP_M,14,14_80,14_(76-80),9,12,62,155,14_76,392.45985401459853,1280.1081638617356,1672.5680178763341,944.0898451603443,1280.1081638617356
3,COMP_M,14,14_76,M.USER.APP.14,7,10,951,21,None,79.86247086247086,1390.1230072401631,1469.985478102634,570.0,1390.1230072401631
1,COMP_M,14,14_77,14_(76-77),9,13,62,155,14_76,186.37226277372264,1434.124896489463,1620.4971592631857,944.0898451603443,1434.124896489463
2,COMP_M,14,14_80,14_(76-80),10,12,21,155,14_76,392.45985401459853,1672.5680178763341,2065.0278718909326,1129.9615001900656,1580.133117492475
2,COMP_M,14,14_77,14_(76-77),10,13,21,155,14_76,186.37226277372264,1726.1455986912702,1912.5178614649928,1129.9615001900656,1726.1455986912702
4,COMP_M,14,14_76,M.USER.APP.14,7,10,951,21,None,79.86247086247086,1730.1469851527315,1810.0094560152024,815.0,1730.1469851527315
6,COMP_M,14,14_76,M.USER.APP.14,11,17,774,103,None,76.13555555555556,1735.1670390326278,1811.3025945881834,1170.0,1735.1670390326278
7,COMP_M,14,14_76,M.USER.APP.14,8,9,884,62,None,34.85350966429298,1824.2363354960512,1859.089845160344,1213.0,1824.2363354960512
1,COMP_M,14,14_78,14_(76-78),9,14,62,155,14_76,380.6058394160584,1872.1584800798244,2252.764319495883,944.0898451603443,1872.1584800798244
8,COMP_M,14,14_76,M.USER.APP.14,11,17,774,103,None,76.13555555555556,1967.3041627201278,2043.4397182756834,1215.0,1967.3041627201278
6,COMP_M,14,14_80,14_(76-80),17,19,103,34,14_76,133.08663366336634,2035.3176848715968,2168.4043185349633,1811.3025945881834,2035.3176848715968
5,COMP_M,14,14_76,M.USER.APP.14,7,10,951,21,None,79.86247086247086,2070.1709630652995,2150.03343392777,903.0,2070.1709630652995
10,COMP_M,14,14_76,M.USER.APP.14,8,9,884,62,None,34.85350966429298,2083.236335496051,2118.0898451603443,1472.0,2083.236335496051
1,COMP_M,14,14_79,14_(76-79),9,15,62,155,14_76,262.94160583941607,2164.177993974403,2427.119599813819,944.0898451603443,2164.177993974403
6,COMP_M,14,14_77,14_(76-77),17,20,103,34,14_76,63.20049504950495,2201.3340340792893,2264.534529128794,1811.3025945881834,2201.3340340792893
2,COMP_M,14,14_78,14_(76-78),10,14,21,155,14_76,380.6058394160584,2252.764319495883,2633.370158911941,1129.9615001900656,2018.1713614683786
12,COMP_M,14,14_76,M.USER.APP.14,11,17,774,103,None,76.13555555555556,2254.167039032628,2330.3025945881836,1689.0,2254.167039032628
11,COMP_M,14,14_76,M.USER.APP.14,8,9,884,62,None,34.85350966429298,2284.2683643865626,2319.1218740508557,1582.0,2284.2683643865626
6,COMP_M,14,14_78,14_(76-78),17,21,103,34,14_76,129.06683168316832,2367.3477179021256,2496.414549585294,1811.3025945881834,2367.3477179021256
9,COMP_M,14,14_76,M.USER.APP.14,7,10,951,21,None,79.86247086247086,2410.194940977868,2490.057411840339,1397.0,2410.194940977868
2,COMP_M,14,14_79,14_(76-79),10,15,21,155,14_76,262.94160583941607,2427.119599813819,2690.0612056532354,1129.9615001900656,2310.184626480427
3,COMP_M,14,14_80,14_(76-80),10,12,21,155,14_76,392.45985401459853,2456.1928474834394,2848.652701498038,1469.985478102634,2456.1928474834394
13,COMP_M,14,14_76,M.USER.APP.14,8,9,884,62,None,34.85350966429298,2485.3003932770735,2520.1539029413666,1782.0,2485.3003932770735
6,COMP_M,14,14_79,14_(76-79),17,22,103,34,14_76,89.16584158415841,2533.3496120381833,2622.5154536223417,1811.3025945881834,2533.3496120381833
