id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
3,COMP_M,15,15_83,M.USER.APP.15,39,344,57,57,None,106.2927400468384,125,231.2927400468384,125.0,125.0
2,COMP_M,7,7_44,M.USER.APP.7,12,176,32,16,None,51.005405405405405,129.00004053941333,180.00544594481875,124.0,129.00004053941333
1,COMP_M,5,5_31,M.USER.APP.5,9,154,37,100,None,3.7975,132.000071921928,135.797571921928,121.0,132.000071921928
1,COMP_M,5,5_32,5_(31-32),154,155,100,100,5_31,5.7491,135.797571921928,141.546671921928,135.797571921928,135.797571921928
1,COMP_M,5,5_34,5_(31-34),154,157,100,100,5_31,3.0492,135.797571921928,138.84677192192802,135.797571921928,135.797571921928
5,COMP_M,18,18_100,M.USER.APP.18,53,438,94,8,None,44.284731774415405,136.00003776674666,180.28476954116206,131.0,136.00003776674666
4,COMP_M,13,13_77,M.USER.APP.13,33,314,44,100,None,2.4683,138.00009339754664,140.46839339754663,127.0,138.00009339754664
4,COMP_M,13,13_78,13_(77-78),314,315,100,100,13_77,3.2032,140.46839339754663,143.67159339754664,140.46839339754663,140.46839339754663
4,COMP_M,13,13_79,13_(77-79),314,316,100,100,13_77,4.1373,140.46839339754663,144.60569339754664,140.46839339754663,140.46839339754663
4,COMP_M,13,13_80,13_(77-80),314,317,100,100,13_77,4.7392,140.46839339754663,145.20759339754665,140.46839339754663,140.46839339754663
1,COMP_M,5,5_33,5_(32-33),155,156,100,100,5_32,2.0576,141.546671921928,143.60427192192802,141.546671921928,141.546671921928
6,COMP_M,16,16_87,M.USER.APP.16,43,352,37,37,None,106.11428571428571,144,250.1142857142857,144.0,144.0
9,COMP_M,3,3_19,M.USER.APP.3,6,118,13,13,None,40.62412993039443,152,192.62412993039442,152.0,152.0
7,COMP_M,12,12_75,M.USER.APP.12,25,290,32,33,None,27.235453315290933,158.00011747856,185.23557079385094,148.0,158.00011747856
8,COMP_M,2,2_9,M.USER.APP.2,4,108,54,100,None,5.399,161.00013666698936,166.39913666698936,150.0,161.00013666698936
8,COMP_M,2,2_10,2_(9-10),108,109,100,100,2_9,4.7902,166.39913666698936,171.18933666698936,166.39913666698936,166.39913666698936
8,COMP_M,2,2_11,2_(9-11),108,110,100,100,2_9,2.6202,166.39913666698936,169.01933666698937,166.39913666698936,166.39913666698936
8,COMP_M,2,2_12,2_(9-12),108,111,100,100,2_9,5.473,166.39913666698936,171.87213666698938,166.39913666698936,166.39913666698936
8,COMP_M,2,2_13,2_(9-13),108,112,100,100,2_9,4.7868,166.39913666698936,171.18593666698936,166.39913666698936,166.39913666698936
8,COMP_M,2,2_15,2_(11-15),110,114,100,100,2_11,5.5777,169.01933666698937,174.59703666698937,169.01933666698937,169.01933666698937
10,COMP_M,0,0_0,M.USER.APP.0,0,58,4,4,None,57.115823817292004,171,228.115823817292,171.0,171.0
8,COMP_M,2,2_14,2_(12-14),111,113,100,100,2_12,5.9458,171.87213666698938,177.81793666698937,171.87213666698938,171.87213666698938
8,COMP_M,2,2_18,2_(12-18),111,117,100,100,2_12,2.407,171.87213666698938,174.2791366669894,171.87213666698938,171.87213666698938
8,COMP_M,2,2_16,2_(14-16),113,115,100,100,2_14,3.3005,177.81793666698937,181.11843666698937,177.81793666698937,177.81793666698937
8,COMP_M,2,2_17,2_(14-17),113,116,100,100,2_14,5.682,177.81793666698937,183.49993666698936,177.81793666698937,177.81793666698937
2,COMP_M,7,7_51,7_(44-51),176,183,16,16,7_44,32.55810810810811,180.00544594481875,212.56355405292686,180.00544594481875,180.00544594481875
11,COMP_M,12,12_75,M.USER.APP.12,26,292,41,41,None,21.59549356223176,185,206.59549356223175,185.0,185.0
2,COMP_M,7,7_45,7_(44-45),176,207,16,100,7_44,5.3078,186.0055054594854,191.31330545948538,180.00544594481875,186.0055054594854
12,COMP_M,9,9_57,M.USER.APP.9,18,231,25,25,None,50.52978723404255,188,238.52978723404254,188.0,188.0
2,COMP_M,7,7_46,7_(44-46),176,208,16,100,7_44,5.0408,191.00556312847206,196.04636312847205,180.00544594481875,191.00556312847206
5,COMP_M,18,18_101,18_(100-101),438,447,8,100,18_100,3.4327,192.00558628124807,195.43828628124808,180.28476954116206,192.00558628124807
9,COMP_M,3,3_20,3_(19-20),118,119,13,13,3_19,36.36658932714617,192.62412993039442,228.9907192575406,192.62412993039442,192.62412993039442
9,COMP_M,3,3_22,3_(19-22),118,121,13,13,3_19,40.77262180974478,192.62412993039442,233.3967517401392,192.62412993039442,192.62412993039442
9,COMP_M,3,3_25,3_(19-25),118,124,13,13,3_19,27.820185614849187,192.62412993039442,220.4443155452436,192.62412993039442,192.62412993039442
9,COMP_M,3,3_26,3_(19-26),118,125,13,13,3_19,52.06264501160093,192.62412993039442,244.68677494199534,192.62412993039442,192.62412993039442
5,COMP_M,18,18_104,18_(100-104),438,410,8,0,18_100,57.14545454545455,195.28486969748207,252.43032424293662,180.28476954116206,195.28486969748207
5,COMP_M,18,18_103,18_(101-103),447,449,100,100,18_101,3.0601,195.43828628124808,198.4983862812481,195.43828628124808,195.43828628124808
5,COMP_M,18,18_105,18_(101-105),447,451,100,100,18_101,2.116,195.43828628124808,197.5542862812481,195.43828628124808,195.43828628124808
5,COMP_M,18,18_107,18_(101-107),447,453,100,100,18_101,4.1012,195.43828628124808,199.5394862812481,195.43828628124808,195.43828628124808
