id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,37,0,5,5.00002766228,M.USER.APP.5,121,2074671,0
2,LINK,32,16,7,5.000040539413333,M.USER.APP.7,124,3040456,1
1,LINK,0,1,5,5.00002766228,M.USER.APP.5,126.00002766228,2074671,1
4,LINK,44,0,13,5.000035922133334,M.USER.APP.13,127,2694160,2
5,LINK,94,8,18,5.000037766746667,M.USER.APP.18,131,2832506,2
1,LINK,1,100,5,1.000016597368,M.USER.APP.5,131.00005532456,2074671,2
4,LINK,0,1,13,5.000035922133334,M.USER.APP.13,132.00003592213332,2694160,2
4,LINK,1,100,13,1.00002155328,M.USER.APP.13,137.00007184426664,2694160,0
7,LINK,32,20,12,5.00005873928,M.USER.APP.12,148,4405446,0
8,LINK,54,3,2,5.000052564226666,M.USER.APP.2,150,3942317,1
7,LINK,20,33,12,5.00005873928,M.USER.APP.12,153.00005873928,4405446,1
8,LINK,3,1,2,5.000052564226666,M.USER.APP.2,155.00005256422668,3942317,1
8,LINK,1,100,2,1.000031538536,M.USER.APP.2,160.00010512845336,3942317,0
2,LINK,16,1,7,5.000037196666667,7_(44-45),180.00544594481875,2789750,0
2,LINK,16,1,7,5.000049991866667,7_(44-46),180.00544594481875,3749390,1
2,LINK,16,1,7,5.000033482466667,7_(44-48),180.00544594481875,2511185,2
5,LINK,8,0,18,5.00003858796,18_(100-101),180.28476954116206,2894097,3
5,LINK,8,0,18,5.00002737872,18_(100-102),180.28476954116206,2053404,4
5,LINK,8,0,18,5.00003418964,18_(100-104),180.28476954116206,2564223,5
2,LINK,1,100,7,1.000022318,7_(44-45),185.0054831414854,2789750,5
7,LINK,33,20,12,5.0000260505466665,12_(75-76),185.23557079385094,1953791,6
5,LINK,0,1,18,5.00003858796,18_(100-101),185.28480812912207,2894097,6
2,LINK,1,100,7,1.00002999512,7_(44-46),190.00553313335206,3749390,5
7,LINK,20,1,12,5.0000260505466665,12_(75-76),190.2355968443976,1953791,5
5,LINK,0,1,18,5.00002737872,18_(100-102),190.28483550784208,2053404,5
5,LINK,1,100,18,1.000023152776,18_(100-101),190.28484671708208,2894097,5
9,LINK,13,2,3,5.000028958213333,3_(19-21),192.62412993039442,2171866,4
13,LINK,44,0,19,5.00004754016,M.USER.APP.19,195,3565512,5
2,LINK,1,100,7,1.00002008948,7_(44-48),195.00556661581874,2511185,5
7,LINK,1,100,12,1.000015630328,12_(75-76),195.23562289494427,1953791,5
5,LINK,1,100,18,1.000016427232,18_(100-102),195.28487409580208,2053404,4
13,LINK,0,1,19,5.00004754016,M.USER.APP.19,200.00004754016,3565512,0
15,LINK,93,12,2,5.000052564226666,M.USER.APP.2,204,3942317,1
13,LINK,1,100,19,1.000028524096,M.USER.APP.19,205.00009508032002,3565512,1
11,LINK,41,24,12,5.0000260505466665,12_(75-76),206.59549356223175,1953791,1
15,LINK,12,0,2,5.000052564226666,M.USER.APP.2,209.00005256422668,3942317,1
11,LINK,24,4,12,5.0000260505466665,12_(75-76),211.59551961277842,1953791,1
15,LINK,0,1,2,5.000052564226666,M.USER.APP.2,214.00010512845336,3942317,1
17,LINK,54,3,18,5.000037766746667,M.USER.APP.18,215,2832506,2
11,LINK,4,1,12,5.0000260505466665,12_(75-76),216.59554566332508,1953791,2
15,LINK,1,100,2,1.000031538536,M.USER.APP.2,219.00015769268003,3942317,2
11,LINK,1,100,12,1.000015630328,12_(75-76),221.59557171387175,1953791,0
18,LINK,79,17,16,5.0000526276,M.USER.APP.16,222,3947070,1
18,LINK,17,1,16,5.0000526276,M.USER.APP.16,227.0000526276,3947070,0
20,LINK,79,17,11,5.000032075333333,M.USER.APP.11,228,2405650,1
10,LINK,4,1,0,5.000037873466667,0_(0-1),228.115823817292,2840510,2
10,LINK,4,1,0,5.000049721466667,0_(0-2),228.115823817292,3729110,3
18,LINK,1,100,16,1.00003157656,M.USER.APP.16,232.00010525520003,3947070,3
20,LINK,17,1,11,5.000032075333333,M.USER.APP.11,233.00003207533334,2405650,3
10,LINK,1,100,0,1.00002272408,0_(0-1),233.11586169075866,2840510,2
20,LINK,1,100,11,1.0000192452,M.USER.APP.11,238.00006415066667,2405650,1
10,LINK,1,100,0,1.00002983288,0_(0-2),238.11591141222533,3729110,1
12,LINK,25,18,9,5.000046373226667,9_(57-58),238.52978723404254,3477992,2
21,LINK,89,20,15,5.00003505372,M.USER.APP.15,241,2629029,1
22,LINK,1,100,17,1.000016243576,M.USER.APP.17,241,2030447,2
16,LINK,44,0,18,5.00003418964,18_(100-104),242.3015350877193,2564223,2
12,LINK,18,1,9,5.000046373226667,9_(57-58),243.5298336072692,3477992,2
21,LINK,20,1,15,5.00003505372,M.USER.APP.15,246.00003505372,2629029,2
12,LINK,1,100,9,1.000027823936,9_(57-58),248.52987998049588,3477992,1
21,LINK,1,100,15,1.000021032232,M.USER.APP.15,251.00007010744002,2629029,0
17,LINK,3,1,18,5.00003858796,18_(100-101),257.1767121316427,2894097,0
17,LINK,3,1,18,5.00002737872,18_(100-102),257.1767121316427,2053404,1
17,LINK,3,1,18,5.00003418964,18_(100-104),257.1767121316427,2564223,2
14,LINK,47,0,1,5.000055036146667,1_(7-8),259.34409799554567,4127711,3
17,LINK,1,100,18,1.000023152776,18_(100-101),262.1767507196027,2894097,3
14,LINK,0,1,1,5.000055036146667,1_(7-8),264.3441530316923,4127711,2
17,LINK,1,100,18,1.000016427232,18_(100-102),267.1767780983227,2053404,2
14,LINK,1,100,1,1.000033021688,1_(7-8),269.34420806783896,4127711,1
17,LINK,1,100,18,1.000020513784,18_(100-104),272.1768122879627,2564223,0
25,LINK,56,1,9,5.000037203373333,M.USER.APP.9,275,2790253,0
26,LINK,74,1,4,5.000025534186666,M.USER.APP.4,278,1915064,1
16,LINK,44,0,18,5.000049256106666,18_(101-105),279.9407894736842,3694208,2
16,LINK,44,0,18,5.000046134026666,18_(101-107),279.9407894736842,3460052,3
25,LINK,1,100,9,1.000022322024,M.USER.APP.9,280.0000372033733,2790253,3
26,LINK,1,100,4,1.000015320512,M.USER.APP.4,283.00002553418665,1915064,2
16,LINK,0,6,18,5.000049256106666,18_(101-105),284.94083872979087,3694208,1
27,LINK,90,67,18,5.000037766746667,M.USER.APP.18,288,2832506,2
16,LINK,0,1,18,5.000046134026666,18_(101-107),289.94088486381753,3460052,2
28,LINK,1,100,6,1.000029753296,M.USER.APP.6,290,3719162,2
27,LINK,67,1,18,5.000037766746667,M.USER.APP.18,293.0000377667467,2832506,1
16,LINK,1,100,18,1.000027680416,18_(101-107),294.9409309978442,3460052,1
27,LINK,1,100,18,1.000022660048,M.USER.APP.18,298.0000755334934,2832506,0
31,LINK,76,0,14,5.000027765626666,M.USER.APP.14,312,2082422,0
32,LINK,79,17,19,5.00004754016,M.USER.APP.19,316,3565512,1
31,LINK,0,1,14,5.000027765626666,M.USER.APP.14,317.00002776562667,2082422,1
32,LINK,17,1,19,5.00004754016,M.USER.APP.19,321.00004754016,3565512,1
31,LINK,1,100,14,1.000016659376,M.USER.APP.14,322.00005553125334,2082422,1
32,LINK,1,100,19,1.000028524096,M.USER.APP.19,326.00009508031997,3565512,0
3,LINK,57,2,15,5.00002087856,15_(84-86),326.92974238875877,1565892,1
6,LINK,37,0,16,5.00004398556,16_(88-89),332.7285714285714,3298917,0
23,LINK,85,21,12,5.0000260505466665,12_(75-76),335.8625,1953791,1
6,LINK,0,1,16,5.00004398556,16_(88-89),337.7286154141314,3298917,1
23,LINK,21,1,12,5.0000260505466665,12_(75-76),340.8625260505467,1953791,1
6,LINK,1,100,16,1.000026391336,16_(88-89),342.7286593996914,3298917,1
23,LINK,1,100,12,1.000015630328,12_(75-76),345.8625521010934,1953791,0
24,LINK,94,6,15,5.000036259453333,15_(84-85),364.7128712871287,2719459,0
24,LINK,94,6,15,5.00002087856,15_(84-86),364.7128712871287,1565892,1
