id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,199,197,8,240.01994283333335,M.USER.APP.8,118,2752111,0
2,LINK,197,173,9,224.02507085333335,M.USER.APP.9,229,1880314,1
3,LINK,196,185,3,192.01234511659192,M.USER.APP.3,246,2752961,2
4,LINK,197,173,9,224.02507085333335,M.USER.APP.9,251,1880314,3
5,LINK,197,173,9,224.02507085333335,M.USER.APP.9,293,1880314,4
1,LINK,197,173,8,224.03669481333333,M.USER.APP.8,358.01994283333335,2752111,4
6,LINK,199,197,8,240.01994283333335,M.USER.APP.8,395,2752111,5
7,LINK,187,112,5,112.02945950735294,M.USER.APP.5,423,4006493,6
3,LINK,185,112,3,231.0218488968254,M.USER.APP.3,438.0123451165919,2752961,6
8,LINK,196,185,3,192.01234511659192,M.USER.APP.3,444,2752961,7
2,LINK,173,110,9,45.03547762264151,M.USER.APP.9,453.0250708533333,1880314,7
2,LINK,110,98,9,122.01038847513811,M.USER.APP.9,498.0605484759748,1880314,7
9,LINK,187,112,5,112.02945950735294,M.USER.APP.5,523,4006493,8
7,LINK,112,95,5,74.01203151051051,M.USER.APP.5,535.029459507353,4006493,8
10,LINK,199,197,8,240.01994283333335,M.USER.APP.8,577,2752111,9
11,LINK,199,197,8,240.01994283333335,M.USER.APP.8,610,2752111,9
12,LINK,196,185,1,192.01354457399103,M.USER.APP.1,612,3020440,10
2,LINK,98,57,9,66.01413769924812,M.USER.APP.9,620.0709369511129,1880314,10
6,LINK,197,173,8,224.03669481333333,M.USER.APP.8,635.0199428333333,2752111,10
13,LINK,187,112,5,112.02945950735294,M.USER.APP.5,636,4006493,11
8,LINK,185,112,3,231.0218488968254,M.USER.APP.3,636.0123451165919,2752961,11
9,LINK,112,95,5,74.01203151051051,M.USER.APP.5,647.0589190147059,4006493,11
7,LINK,95,5,5,52.00756681967213,5_(36-41),649.1414910178635,2307880,12
7,LINK,95,5,5,52.01142173114754,5_(36-37),649.1414910178635,3483628,13
7,LINK,95,5,5,52.010306681967215,5_(36-38),649.1414910178635,3143538,14
14,LINK,195,175,2,156.02382929090908,M.USER.APP.2,661,2621222,15
3,LINK,112,110,3,82.00574730897704,M.USER.APP.3,669.0341940134173,2752961,15
4,LINK,173,110,9,45.03547762264151,M.USER.APP.9,677.0501417066666,1880314,15
15,LINK,187,112,5,112.02945950735294,M.USER.APP.5,699,4006493,15
7,LINK,5,6,5,69.00497387931034,5_(36-41),701.1490578375356,2307880,15
4,LINK,110,98,9,122.01038847513811,M.USER.APP.9,722.0856193293082,1880314,14
16,LINK,196,185,3,192.01234511659192,M.USER.APP.3,733,2752961,15
17,LINK,169,112,4,316.0296725466667,M.USER.APP.4,740,4450882,16
3,LINK,110,173,3,45.05194266037736,M.USER.APP.3,751.0399413223943,2752961,16
7,LINK,5,6,5,69.00750781896552,5_(36-37),753.1604795686831,3483628,16
13,LINK,112,95,5,74.01203151051051,M.USER.APP.5,759.0883785220589,4006493,16
9,LINK,95,5,5,52.00756681967213,5_(36-41),761.1709505252164,2307880,17
9,LINK,95,5,5,52.01142173114754,5_(36-37),761.1709505252164,3483628,18
9,LINK,95,5,5,52.010306681967215,5_(36-38),761.1709505252164,3143538,19
7,LINK,6,57,5,258.0130388700565,5_(36-41),770.1540317168459,2307880,19
3,LINK,173,197,3,224.03670614666666,M.USER.APP.3,796.0918839827716,2752961,19
7,LINK,5,6,5,69.00677486637932,5_(36-38),805.1707862506503,3143538,19
18,LINK,199,197,8,240.01994283333335,M.USER.APP.8,809,2752111,20
19,LINK,196,185,1,192.01354457399103,M.USER.APP.1,814,3020440,21
14,LINK,175,106,2,144.04032649230768,M.USER.APP.2,817.0238292909091,2621222,21
20,LINK,187,112,5,112.02945950735294,M.USER.APP.5,827,4006493,22
21,LINK,187,112,5,112.02945950735294,M.USER.APP.5,827,4006493,23
12,LINK,185,112,1,231.02397174603175,M.USER.APP.1,828.0258896905829,3020440,23
7,LINK,6,57,5,258.0196815141243,5_(36-37),839.1615395358115,3483628,22
22,LINK,198,196,7,210.0204331909091,M.USER.APP.7,840,2247651,23
4,LINK,98,57,9,66.01413769924812,M.USER.APP.9,844.0960078044463,1880314,23
9,LINK,5,6,5,69.00497387931034,5_(36-41),857.1783530703224,2307880,23
23,LINK,195,175,2,156.02382929090908,M.USER.APP.2,865,2621222,24
15,LINK,112,95,5,74.01203151051051,M.USER.APP.5,871.1178380294118,4006493,24
13,LINK,95,5,5,52.00756681967213,5_(36-41),873.2004100325694,2307880,25
13,LINK,95,5,5,52.01142173114754,5_(36-37),873.2004100325694,3483628,26
13,LINK,95,5,5,52.010306681967215,5_(36-38),873.2004100325694,3143538,27
10,LINK,197,173,8,224.03669481333333,M.USER.APP.8,875.0398856666666,2752111,27
24,LINK,197,173,9,224.02507085333335,M.USER.APP.9,882,1880314,28
8,LINK,112,110,3,82.00574730897704,M.USER.APP.3,900.0560429102427,2752961,28
5,LINK,173,110,9,45.03547762264151,M.USER.APP.9,901.07521256,1880314,28
