id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,9,9_55,M.USER.APP.9,75,81,197,197,None,133.31208053691276,135,268.31208053691273,135.0,135.0
2,COMP_M,4,4_27,M.USER.APP.4,76,82,169,169,None,117.80266075388026,138,255.80266075388028,138.0,138.0
4,COMP_M,2,2_19,M.USER.APP.2,77,84,172,172,None,80.36428571428571,197,277.3642857142857,197.0,197.0
5,COMP_M,2,2_19,M.USER.APP.2,79,85,195,195,None,58.295336787564764,203,261.2953367875648,203.0,203.0
8,COMP_M,3,3_22,M.USER.APP.3,83,88,196,196,None,134.15060240963857,247,381.15060240963857,247.0,247.0
6,COMP_M,4,4_27,M.USER.APP.4,76,82,169,169,None,117.80266075388026,255.80266075388028,373.60532150776055,237.0,237.0
2,COMP_M,4,4_28,4_(27-28),82,89,169,169,4_27,112.60310421286032,255.80266075388028,368.4057649667406,255.80266075388028,255.80266075388028
2,COMP_M,4,4_29,4_(27-29),82,90,169,169,4_27,117.01552106430155,255.80266075388028,372.8181818181818,255.80266075388028,255.80266075388028
5,COMP_M,2,2_20,2_(19-20),85,91,195,195,2_19,90.02417962003454,261.2953367875648,351.31951640759934,261.2953367875648,261.2953367875648
5,COMP_M,2,2_21,2_(19-21),85,92,195,195,2_19,91.50259067357513,261.2953367875648,352.7979274611399,261.2953367875648,261.2953367875648
3,COMP_M,9,9_55,M.USER.APP.9,75,81,197,197,None,133.31208053691276,268.31208053691273,401.62416107382546,174.0,174.0
1,COMP_M,9,9_56,9_(55-56),81,93,197,197,9_55,78.6510067114094,268.31208053691273,346.96308724832215,268.31208053691273,268.31208053691273
1,COMP_M,9,9_58,9_(55-58),81,94,197,197,9_55,177.85906040268458,268.31208053691273,446.1711409395973,268.31208053691273,268.31208053691273
1,COMP_M,9,9_59,9_(55-59),81,95,197,197,9_55,196.18456375838926,268.31208053691273,464.49664429530196,268.31208053691273,268.31208053691273
1,COMP_M,9,9_61,9_(55-61),81,96,197,197,9_55,167.20805369127515,268.31208053691273,435.5201342281879,268.31208053691273,268.31208053691273
4,COMP_M,2,2_20,2_(19-20),84,97,172,172,2_19,124.1047619047619,277.3642857142857,401.4690476190476,277.3642857142857,277.3642857142857
4,COMP_M,2,2_21,2_(19-21),84,98,172,172,2_19,126.14285714285714,277.3642857142857,403.50714285714287,277.3642857142857,277.3642857142857
9,COMP_M,2,2_19,M.USER.APP.2,79,85,195,195,None,58.295336787564764,295,353.2953367875648,295.0,295.0
7,COMP_M,6,6_42,M.USER.APP.6,86,87,194,190,None,107.42915811088295,323.01325551,430.442413620883,243.0,323.01325551
11,COMP_M,2,2_19,M.USER.APP.2,77,84,172,172,None,80.36428571428571,335,415.3642857142857,335.0,335.0
1,COMP_M,9,9_57,9_(56-57),93,99,197,197,9_56,104.13087248322148,346.96308724832215,451.09395973154363,346.96308724832215,346.96308724832215
10,COMP_M,2,2_19,M.USER.APP.2,79,85,195,195,None,58.295336787564764,353.2953367875648,411.5906735751296,316.0,316.0
9,COMP_M,2,2_20,2_(19-20),85,91,195,195,2_19,90.02417962003454,353.2953367875648,443.31951640759934,353.2953367875648,353.2953367875648
9,COMP_M,2,2_21,2_(19-21),85,92,195,195,2_19,91.50259067357513,353.2953367875648,444.7979274611399,353.2953367875648,353.2953367875648
2,COMP_M,4,4_30,4_(28-30),89,100,169,169,4_28,106.99556541019956,368.4057649667406,475.40133037694017,368.4057649667406,368.4057649667406
2,COMP_M,4,4_35,4_(29-35),90,101,169,169,4_29,47.4589800443459,372.8181818181818,420.2771618625277,372.8181818181818,372.8181818181818
2,COMP_M,4,4_31,4_(29-31),90,102,169,169,4_29,70.27937915742794,372.8181818181818,443.0975609756098,372.8181818181818,372.8181818181818
6,COMP_M,4,4_28,4_(27-28),82,89,169,169,4_27,112.60310421286032,373.60532150776055,486.2084257206209,373.60532150776055,373.60532150776055
6,COMP_M,4,4_29,4_(27-29),82,90,169,169,4_27,117.01552106430155,373.60532150776055,490.6208425720621,373.60532150776055,373.60532150776055
8,COMP_M,3,3_25,3_(22-25),88,103,196,196,3_22,155.50301204819277,381.15060240963857,536.6536144578313,381.15060240963857,381.15060240963857
8,COMP_M,3,3_23,3_(22-23),88,104,196,196,3_22,128.97590361445782,381.15060240963857,510.1265060240964,381.15060240963857,381.15060240963857
12,COMP_M,9,9_55,M.USER.APP.9,75,81,197,197,None,133.31208053691276,401.62416107382546,534.9362416107382,364.0,364.0
3,COMP_M,9,9_56,9_(55-56),81,93,197,197,9_55,78.6510067114094,401.62416107382546,480.2751677852349,401.62416107382546,401.62416107382546
14,COMP_M,3,3_22,M.USER.APP.3,83,88,196,196,None,134.15060240963857,406,540.1506024096386,406.0,406.0
13,COMP_M,2,2_19,M.USER.APP.2,79,85,195,195,None,58.295336787564764,411.5906735751296,469.8860103626944,374.0,374.0
11,COMP_M,2,2_20,2_(19-20),84,97,172,172,2_19,124.1047619047619,415.3642857142857,539.4690476190476,415.3642857142857,415.3642857142857
11,COMP_M,2,2_21,2_(19-21),84,98,172,172,2_19,126.14285714285714,415.3642857142857,541.5071428571429,415.3642857142857,415.3642857142857
7,COMP_M,6,6_43,6_(42-43),87,107,190,190,6_42,60.65503080082136,430.442413620883,491.0974444217043,430.442413620883,430.442413620883
7,COMP_M,6,6_44,6_(42-44),87,108,190,190,6_42,108.78644763860369,430.442413620883,539.2288612594866,430.442413620883,430.442413620883
3,COMP_M,9,9_61,9_(55-61),81,96,197,197,9_55,167.20805369127515,435.5201342281879,602.728187919463,401.62416107382546,401.62416107382546
2,COMP_M,4,4_32,4_(31-32),102,109,169,169,4_31,89.81818181818181,443.0975609756098,532.9157427937917,443.0975609756098,443.0975609756098
10,COMP_M,2,2_20,2_(19-20),85,91,195,195,2_19,90.02417962003454,443.31951640759934,533.3436960276339,411.5906735751296,411.5906735751296
10,COMP_M,2,2_21,2_(19-21),85,92,195,195,2_19,91.50259067357513,444.7979274611399,536.300518134715,411.5906735751296,411.5906735751296
3,COMP_M,9,9_58,9_(55-58),81,94,197,197,9_55,177.85906040268458,446.1711409395973,624.0302013422819,401.62416107382546,401.62416107382546
3,COMP_M,9,9_59,9_(55-59),81,95,197,197,9_55,196.18456375838926,464.49664429530196,660.6812080536912,401.62416107382546,401.62416107382546
1,COMP_M,9,9_60,9_(59-60),95,110,197,197,9_59,113.46308724832215,464.49664429530196,577.9597315436241,464.49664429530196,464.49664429530196
2,COMP_M,4,4_33,4_(30-33),100,111,169,169,4_30,107.48115299334812,475.40133037694017,582.8824833702882,475.40133037694017,475.40133037694017
3,COMP_M,9,9_57,9_(56-57),93,99,197,197,9_56,104.13087248322148,480.2751677852349,584.4060402684563,480.2751677852349,480.2751677852349
