"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","175",1
"2","57",2
"3","169",3
"4","32",4
"5","43",5
"6","105",6
"7","63",6
"8","69",6
"9","189",7
"11","108",8
"12","78",8
"13","124",9
"14","28",9
"15","72",9
"16","60",10
"17","94",10
"18","25",11
"19","7",12
"20","93",12
"21","121",13
"10","95",13
"22","55",14
"23","73",15
"24","30",16
"25","36",16
"26","131",17
"27","164",17
"30","84",17
"28","91",17
"32","181",18
"34","140",19
"35","127",20
"33","193",20
"29","38",20
"36","58",20
"38","125",20
"31","51",20
"39","134",20
"40","176",21
"37","85",21
"43","27",22
"42","71",22
"44","110",23
"41","89",23
"46","130",23
"47","135",24
"51","182",24
"49","33",24
"45","141",24
"54","184",24
"50","102",24
"52","187",25
"48","44",25
"53","48",26
"55","103",27
"58","133",27
"56","14",27
"57","112",28
"59","37",29
"60","45",30
"61","18",31
"63","22",31
"64","53",32
"62","100",33
"74","109",33
"65","31",33
"69","34",33
"70","75",33
"66","2",33
"67","70",33
"71","80",34
"68","10",35
"73","126",35
"77","153",35
"80","16",35
"75","50",35
"76","79",35
"72","88",35
"79","163",36
"78","161",37
"82","191",38
"83","129",39
"81","116",39
"84","42",40
"85","159",41
"86","186",42
"87","11",43
"88","183",44
"90","62",44
"98","104",44
"89","158",44
"92","160",45
"94","41",45
"93","96",45
"91","177",45
"95","136",46
"111","194",46
"96","173",46
"108","117",46
"109","137",46
"110","139",46
"97","178",46
"100","146",47
"101","17",47
"99","52",47
"104","67",47
"115","123",47
"102","92",47
"105","185",47
"103","3",47
"107","172",47
"119","6",47
"114","180",47
"106","29",47
"112","23",48
"126","119",48
"113","155",48
"127","198",48
"117","99",48
"116","15",48
"122","77",48
"118","165",48
"120","174",49
"125","101",49
"124","66",49
"123","35",50
"128","24",51
"136","68",51
"131","115",51
"135","197",51
"121","49",51
"132","19",51
"129","128",51
"137","156",51
"130","87",51
"133","40",52
"134","56",52
"138","167",53
"139","46",53
"141","65",54
"143","190",54
"142","1",55
"140","148",55
"146","4",56
"148","149",56
"147","98",56
"144","143",56
"145","39",57
"149","47",57
"150","83",58
"151","97",59
"156","132",59
"153","171",59
"152","162",60
"159","170",60
"158","196",60
"155","138",60
"157","152",61
"154","168",61
"162","54",61
"161","157",62
"160","81",62
"165","147",62
"164","192",62
"170","8",62
"172","188",63
"169","26",63
"163","150",63
"174","106",63
"167","113",63
"179","199",63
"177","59",63
"166","9",63
"182","82",63
"180","20",64
"171","166",64
"168","120",64
"183","154",64
"176","195",64
"184","111",64
"185","118",64
"196","64",65
"191","145",66
"186","107",67
"189","13",67
"173","144",67
"175","12",68
"178","151",68
"197","74",68
"200","90",68
"199","86",69
"195","5",70
"181","61",70
"194","21",71
"187","114",72
"198","76",72
"188","122",73
"193","200",73
"190","142",74
"192","179",75
