node,hopcount,latency,power,deploymentPenalty,utilization
0,3,132,626,15400,0
1,3,194,735,8700,0
2,3,166,773,12080,0
3,3,198,686,15360,0
4,3,314,743,19680,0
5,2,136,770,14880,0
6,3,205,630,2900,0
7,2,122,643,19380,0
8,4,360,665,16300,0
9,3,264,748,8580,0
10,3,134,761,10380,0
11,4,270,557,17540,0
12,3,218,741,19400,0
13,3,300,652,7080,0
14,4,252,712,11480,0
15,2,74,790,11260,0
16,4,430,679,9460,0
17,4,357,557,6520,0
18,3,302,643,13480,0
19,3,294,777,17660,0
20,4,240,662,18540,0
21,4,379,744,6240,0
22,3,230,785,12200,0
23,3,172,799,13540,0
24,3,218,684,2560,0
25,3,314,573,17060,0
26,3,248,739,5180,0
27,3,108,544,2900,0
28,3,266,773,11900,0
29,4,224,691,1500,0
30,3,272,611,8440,0
31,3,94,789,1400,0
32,4,234,741,5000,0
33,3,216,530,9080,0
34,3,236,605,13300,0
35,4,210,530,1740,0
36,3,218,720,7800,0
37,3,156,702,4220,0
38,4,325,754,13860,0
39,4,312,633,12340,0
40,4,351,671,8780,0
41,4,346,752,7780,0
42,3,270,723,1220,0
43,3,113,572,6340,0
44,4,306,608,6460,0
45,4,383,715,12800,0
46,4,539,500,13360,0
47,4,302,691,5540,0
48,4,328,624,11800,0
49,3,305,699,8940,0
50,2,36,547,5920,0
51,3,208,727,11660,0
52,4,275,640,6920,0
53,3,262,556,16440,0
54,3,311,718,2580,0
55,3,274,595,13900,0
56,3,107,747,1040,0
57,4,358,695,3260,11
58,3,230,530,19600,7
59,3,184,582,2540,0
60,4,500,540,17380,0
61,4,413,762,7600,0
62,3,104,704,1760,0
63,3,128,773,18840,0
64,3,380,697,14320,0
65,3,179,612,13160,0
66,3,208,502,12160,0
67,2,154,716,16000,0
68,3,113,549,1780,0
69,3,308,665,8500,0
70,3,136,514,5540,0
71,3,144,621,2340,0
72,3,236,773,2880,0
73,3,272,603,19560,0
74,3,144,590,9100,0
75,4,368,688,18480,0
76,3,240,519,13140,0
77,3,252,502,2160,0
78,3,170,647,9520,0
79,3,184,610,9040,0
80,4,230,629,15780,0
81,3,294,711,17420,0
82,4,430,535,13860,0
83,4,228,785,1800,0
84,3,244,613,4760,7
85,3,190,795,19800,0
86,3,176,764,13920,0
87,4,368,650,7120,0
88,3,331,683,4840,0
89,3,280,770,19300,0
90,3,170,577,3820,0
91,3,132,716,12080,0
92,3,240,761,2600,0
93,3,403,504,1760,0
94,2,134,544,4040,2
95,3,188,771,10600,1
96,4,372,742,13900,0
97,3,208,772,15200,0
98,3,292,748,12380,0
99,3,214,676,8380,0
100,3,214,500,13480,0
101,3,304,519,5820,0
102,3,272,622,6740,0
103,2,74,538,13180,0
104,3,98,510,2040,0
105,3,296,715,17420,3
106,3,140,623,19760,0
107,3,290,641,1880,0
108,1,0,689,12740,5
109,2,22,615,7580,3
110,3,212,683,17760,0
111,3,300,537,7420,0
112,4,444,538,15980,0
113,4,351,762,18420,0
114,4,547,736,10860,0
115,3,277,727,9440,0
116,5,609,513,2420,0
117,3,193,784,18120,0
118,5,555,528,5100,0
119,4,534,710,15820,0
120,3,175,628,3140,0
121,4,329,625,18780,0
122,2,165,509,14960,0
123,3,263,776,1560,0
124,4,509,521,2480,0
125,4,251,502,7600,0
126,4,364,768,2340,0
127,3,208,782,13800,0
128,4,326,507,8020,0
129,4,384,533,4540,0
130,3,196,790,3460,0
131,5,639,782,6560,0
132,4,469,798,4500,0
133,4,197,770,3960,0
134,2,243,573,7000,0
135,4,373,513,8980,0
136,5,595,522,2480,0
137,4,278,542,15080,0
138,5,317,633,2600,0
139,4,455,622,2100,0
140,2,201,561,7080,0
141,4,443,739,19060,0
142,4,258,739,14080,0
143,5,456,629,15600,0
144,3,323,542,18820,0
145,4,250,561,10180,0
146,5,657,502,12760,0
147,4,409,664,12960,0
148,5,527,704,9960,0
149,4,442,584,15480,0
150,4,309,512,17800,0
151,5,474,619,12060,0
152,4,465,727,6380,0
153,4,294,5000,0,64
154,4,372,574,11080,0
155,5,585,587,8880,0
156,5,431,659,12920,0
157,4,252,734,8660,0
158,4,349,689,8060,0
159,4,482,677,8240,0
160,4,284,642,7720,0
161,4,363,595,14200,0
162,4,465,724,6700,0
163,4,346,641,1480,0
164,4,476,520,11020,0
165,5,473,701,15100,0
166,4,326,800,12800,0
167,4,325,568,14820,0
168,2,177,638,3000,0
169,5,760,770,9020,2
170,4,296,657,14480,0
171,4,506,737,9440,0
172,4,704,566,8400,0
173,4,257,514,12140,0
174,2,123,556,2600,0
175,4,284,683,4280,7
176,3,182,585,10740,2
177,4,310,690,9700,0
178,4,626,779,19140,1
179,4,504,711,10320,0
180,4,483,549,1820,0
181,4,458,736,3660,0
182,4,293,777,8540,0
183,4,598,765,2940,0
184,4,503,597,9660,0
185,4,386,563,8000,0
186,4,391,702,4820,0
187,3,226,576,17340,1
188,3,166,781,1840,0
189,3,284,514,14780,0
190,3,253,535,9740,0
191,4,379,624,15540,0
192,4,351,628,2460,0
193,5,594,554,1740,2
194,4,333,781,17560,7
195,5,440,585,11580,1
196,5,578,632,6640,2
197,5,481,569,5960,1
198,6,788,720,2880,1
199,6,721,698,15000,4
