"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","186",1
"2","152",2
"3","106",3
"4","188",3
"5","192",3
"6","110",4
"8","134",5
"10","176",5
"11","190",5
"7","112",6
"9","174",6
"12","138",7
"13","102",8
"14","148",9
"17","132",10
"18","160",10
"20","142",11
"21","166",11
"22","170",11
"23","126",12
"26","196",12
"27","104",13
"28","128",13
"15","108",13
"30","118",13
"16","130",13
"19","162",13
"24","136",14
"25","180",14
"33","116",14
"29","164",14
"31","156",15
"32","198",15
"34","172",16
"35","114",17
"36","178",18
"37","168",19
"38","146",20
"39","122",21
"40","124",21
"41","140",22
"42","184",22
"44","197",22
"43","144",22
"45","182",22
"46","199",22
"47","150",23
"48","120",24
"49","158",25
"50","113",26
"51","107",27
"53","200",27
"52","101",27
"54","111",28
"55","119",29
"57","105",30
"56","117",30
"58","129",31
"61","147",31
"84","76",31
"88","96",32
"76","4",33
"87","90",34
"73","30",35
"85","8",36
"65","100",37
"71","2",37
"89","98",37
"59","139",37
"60","109",38
"62","161",38
"72","28",38
"78","54",38
"74","36",39
"81","64",39
"83","72",39
"86","88",39
"66","12",40
"69","18",40
"75","38",40
"77","50",40
"103","6",40
"79","60",40
"80","62",40
"82","66",40
"106","78",40
"109","94",41
"63","185",41
"64","127",42
"90","10",42
"70","187",42
"97","34",42
"98","40",42
"100","48",42
"101","52",42
"102","58",42
"105","74",42
"108","84",42
"68","157",42
"99","44",42
"104","68",43
"107","80",43
"67","121",43
"111","16",43
"115","32",44
"112","167",45
"95","175",45
"114","22",45
"113","189",46
"117","56",46
"123","24",46
"110","14",46
"116","42",46
"118","82",46
"119","103",47
"91","123",47
"93","153",47
"94","163",47
"96","177",47
"122","191",48
"124","26",48
"126","86",48
"125","70",49
"128","20",50
"92","143",50
"120","149",51
"121","169",51
"127","141",52
"131","183",52
"132","194",52
"129","131",52
"130","137",52
"133","135",53
"134","159",53
"135","92",53
"136","115",54
"137","155",54
"138","133",55
"139","181",56
"140","195",56
"141","179",57
"142","165",58
"143","125",59
"144","145",60
"145","151",61
"146","173",61
"148","154",61
"147","193",61
"154","171",62
"170","46",63
"190","81",64
"149","1",65
"173","5",65
"184","7",66
"188","77",66
"180","63",67
"161","3",68
"182","67",68
"199","97",68
"185","71",69
"179","61",70
"183","69",71
"194","89",71
"198","95",71
"177","57",72
"186","73",72
"195","9",72
"197","93",72
"187","75",73
"163","33",74
"169","45",74
"150","11",75
"171","47",75
"191","83",75
"152","15",76
"153","17",76
"156","21",76
"172","49",76
"200","99",76
"151","13",77
"164","35",77
"166","39",77
"167","41",77
"168","43",77
"192","85",77
"155","19",78
"157","23",78
"158","25",78
"159","27",78
"162","31",78
"165","37",78
"175","53",78
"181","65",78
"196","91",78
"174","51",79
"176","55",79
"160","29",80
"178","59",80
"189","79",80
"193","87",81
