node,hopcount,latency,power,deploymentPenalty,cost
0,5,351,655.0,40,40
1,3,316,764.5,1,40
2,4,332,805.5,40,40
3,4,389,714.5,1,40
4,4,365,781.5,40,40
5,4,385,805.5,1,40
6,4,343,664.0,40,40
7,3,354,681.0,1,40
8,5,411,690.0,40,40
9,4,496,783.0,1,40
10,5,496,789.5,40,40
11,4,392,590.5,1,40
12,5,467,772.5,40,40
13,5,549,691.0,1,40
14,6,471,745.0,40,40
15,4,436,824.0,1,40
16,5,481,709.5,40,40
17,5,495,584.5,1,40
18,4,534,669.0,40,40
19,4,526,815.0,1,40
20,6,459,693.0,40,40
21,5,517,782.0,1,40
22,4,462,818.5,40,40
23,4,404,838.0,1,40
24,5,580,716.5,40,40
25,5,563,609.0,1,40
26,5,497,769.0,40,40
27,5,470,579.5,1,40
28,5,515,806.0,40,40
29,5,415,725.0,1,40
30,5,521,651.0,40,40
31,5,456,816.5,1,40
32,6,453,780.5,40,40
33,5,578,559.0,1,40
34,5,485,632.5,40,40
35,6,429,570.0,1,40
36,5,580,757.5,40,40
37,5,518,741.5,1,40
38,5,463,784.0,40,40
39,5,478,660.5,1,40
40,5,489,703.5,40,40
41,4,468,780.5,1,40
42,4,502,753.0,40,40
43,5,715,611.5,1,40
44,5,497,647.5,40,40
45,5,521,746.0,1,40
46,5,385,527.5,40,40
47,5,468,721.5,1,40
48,5,519,655.0,40,40
49,5,645,724.5,1,40
50,4,472,580.0,40,40
51,4,408,765.5,1,40
52,4,397,677.5,40,40
53,4,494,596.0,1,40
54,4,543,758.0,40,40
55,4,464,623.0,1,40
56,5,609,780.0,40,40
57,5,590,733.5,1,40
58,5,592,568.0,40,40
59,5,546,614.0,1,40
60,5,732,573.0,40,40
61,3,342,791.0,1,40
62,5,761,737.5,40,40
63,5,631,798.5,1,40
64,4,612,733.0,40,40
65,5,571,645.0,1,40
66,4,440,529.0,40,40
67,5,630,746.0,1,40
68,5,771,589.0,40,40
69,5,751,694.5,1,40
70,5,529,541.5,40,40
71,3,322,651.0,1,40
72,5,374,805.0,40,40
73,4,504,635.0,1,40
74,4,376,626.0,40,40
75,4,490,718.5,1,40
76,5,620,545.0,40,40
77,5,554,533.0,1,40
78,5,566,681.0,40,40
79,5,468,650.0,1,40
80,4,352,659.5,40,40
81,4,526,749.5,1,40
82,5,481,566.0,40,40
83,5,394,813.0,1,40
84,4,476,646.0,40,40
85,5,393,822.0,1,40
86,5,590,796.5,40,40
87,5,600,682.5,1,40
88,5,792,711.0,40,40
89,4,454,807.5,1,40
90,5,438,614.0,40,40
91,5,515,753.5,1,40
92,5,376,786.5,40,40
93,4,444,542.0,1,40
94,3,286,579.0,40,40
95,4,466,803.5,1,40
96,4,494,778.5,40,40
97,4,418,800.0,1,40
98,4,524,780.0,40,40
99,4,446,714.0,1,40
100,4,446,527.5,40,1
101,5,638,557.0,1,1
102,2,204,659.5,40,1
103,5,550,567.0,1,1
104,5,443,541.0,40,1
105,4,528,750.0,1,1
106,4,531,657.0,40,1
107,4,522,668.0,1,1
108,4,476,715.5,40,1
109,5,529,652.0,1,1
110,4,474,715.0,40,1
111,4,442,572.5,1,1
112,5,475,577.0,40,1
113,6,731,797.5,1,1
114,6,881,763.5,40,1
115,6,784,759.0,1,1
116,6,640,552.0,40,1
117,6,700,819.0,1,1
118,6,586,565.5,40,1
119,5,766,741.5,1,1
120,6,682,661.5,40,1
121,3,261,651.5,1,1
122,5,641,540.5,40,1
123,4,415,815.5,1,1
124,3,441,551.5,40,1
125,6,596,542.0,1,1
126,5,538,796.0,40,1
127,6,715,808.5,1,1
128,5,717,541.0,40,1
129,5,526,563.0,1,1
130,6,672,820.5,40,1
131,6,670,821.5,1,1
132,5,679,824.5,40,1
133,5,588,809.5,1,1
134,5,719,609.5,40,1
135,6,707,540.0,1,1
136,6,646,553.5,40,1
137,5,540,573.5,1,1
138,5,439,663.5,40,1
139,5,687,653.0,1,1
140,5,677,590.5,40,1
141,5,705,768.0,1,1
142,4,436,770.5,40,1
143,6,622,657.5,1,1
144,6,799,574.0,40,1
145,5,482,586.0,1,1
146,6,688,531.5,40,1
147,5,641,691.0,1,1
148,6,759,740.5,40,1
149,6,726,624.0,1,1
150,6,692,540.5,40,1
151,6,505,645.5,1,1
152,5,607,766.0,40,1
153,5,526,7500.0,1,1
154,6,674,613.0,40,1
155,5,707,620.0,1,1
156,6,663,690.0,40,1
157,6,635,771.0,1,1
158,6,711,716.0,40,1
159,5,714,704.0,1,1
160,5,546,673.0,40,1
161,5,505,630.0,1,1
162,5,607,749.5,40,1
163,5,578,679.5,1,1
164,1,0,558.0,40,1
165,5,595,726.0,1,1
166,5,558,838.5,40,1
167,6,528,604.5,1,1
168,5,570,668.0,40,1
169,6,791,801.5,1,1
170,5,528,684.0,40,1
171,5,738,768.0,1,1
172,5,936,594.0,40,1
173,5,519,545.0,1,1
174,5,599,581.5,40,1
175,5,675,717.0,1,1
176,5,560,623.5,40,1
177,6,513,722.5,1,1
178,5,858,818.0,40,1
179,5,505,739.0,1,1
180,5,695,574.0,40,1
181,6,803,771.5,1,1
182,6,638,809.0,40,1
183,5,830,802.0,1,1
184,5,566,622.0,40,1
185,5,777,596.0,1,1
186,5,623,738.0,40,1
187,4,378,606.0,1,1
188,6,484,807.0,40,1
189,5,669,551.5,1,1
190,6,664,561.0,40,1
191,3,441,663.0,1,1
192,6,676,664.5,40,1
193,7,797,586.5,1,1
194,7,744,810.5,40,1
195,6,831,618.0,1,1
196,6,969,666.0,40,1
197,6,743,595.5,1,1
198,7,1179,748.5,40,1
199,7,983,734.0,1,1
