node,hopcount,latency,power,deploymentPenalty,cost
0,4,383,655.0,40,40
1,5,444,764.5,1,40
2,5,402,805.5,40,40
3,5,407,714.5,1,40
4,4,301,781.5,40,40
5,4,345,805.5,1,40
6,4,417,664.0,40,40
7,5,561,681.0,1,40
8,5,347,690.0,40,40
9,6,703,783.0,1,40
10,6,489,789.5,40,40
11,6,520,590.5,1,40
12,5,427,772.5,40,40
13,5,509,691.0,1,40
14,5,503,745.0,40,40
15,5,429,824.0,1,40
16,5,417,709.5,40,40
17,5,569,584.5,1,40
18,6,741,669.0,40,40
19,6,733,815.0,1,40
20,5,491,693.0,40,40
21,5,591,782.0,1,40
22,6,669,818.5,40,40
23,6,611,838.0,1,40
24,6,573,716.5,40,40
25,5,523,609.0,1,40
26,5,457,769.0,40,40
27,6,463,579.5,1,40
28,5,475,806.0,40,40
29,6,433,725.0,1,40
30,5,481,651.0,40,40
31,6,449,816.5,1,40
32,5,485,780.5,40,40
33,6,571,559.0,1,40
34,5,445,632.5,40,40
35,5,461,570.0,1,40
36,6,573,757.5,40,40
37,6,511,741.5,1,40
38,5,537,784.0,40,40
39,6,548,660.5,1,40
40,5,563,703.5,40,40
41,6,596,780.5,1,40
42,6,460,753.0,40,40
43,6,468,611.5,1,40
44,5,514,647.5,40,40
45,5,595,746.0,1,40
46,5,459,527.5,40,40
47,6,538,721.5,1,40
48,6,537,655.0,40,40
49,4,440,724.5,1,40
50,6,600,580.0,40,40
51,6,536,765.5,1,40
52,6,525,677.5,40,40
53,5,457,596.0,1,40
54,6,751,758.0,40,40
55,5,483,623.0,1,40
56,6,462,780.0,40,40
57,5,457,733.5,1,40
58,6,584,568.0,40,40
59,6,539,614.0,1,40
60,5,337,573.0,40,40
61,4,401,791.0,1,40
62,5,628,737.5,40,40
63,6,582,798.5,1,40
64,6,660,733.0,40,40
65,5,440,645.0,1,40
66,6,398,529.0,40,40
67,5,461,746.0,1,40
68,6,468,589.0,40,40
69,6,562,694.5,1,40
70,5,409,541.5,40,40
71,6,657,651.0,1,40
72,6,444,805.0,40,40
73,5,589,635.0,1,40
74,6,481,626.0,40,40
75,6,618,718.5,1,40
76,5,487,545.0,40,40
77,6,561,533.0,1,40
78,5,634,681.0,40,40
79,5,563,650.0,1,40
80,5,415,659.5,40,40
81,6,484,749.5,1,40
82,5,417,566.0,40,40
83,6,464,813.0,1,40
84,6,434,646.0,40,40
85,5,467,822.0,1,40
86,5,526,796.5,40,40
87,6,525,682.5,1,40
88,5,337,711.0,40,40
89,5,489,807.5,1,40
90,6,519,614.0,40,40
91,5,475,753.5,1,40
92,5,449,786.5,40,40
93,5,612,542.0,1,40
94,6,493,579.0,40,40
95,5,397,803.5,1,40
96,5,565,778.5,40,40
97,5,321,800.0,1,40
98,4,391,780.0,40,40
99,5,453,714.0,1,40
100,5,423,527.5,40,1
101,4,421,557.0,1,1
102,5,539,659.5,40,1
103,5,441,567.0,1,1
104,5,395,541.0,40,1
105,5,453,750.0,1,1
106,5,499,657.0,40,1
107,6,476,668.0,1,1
108,5,481,715.5,40,1
109,5,511,652.0,1,1
110,3,269,715.0,40,1
111,5,509,572.5,1,1
112,4,351,577.0,40,1
113,6,598,797.5,1,1
114,5,664,763.5,40,1
115,6,766,759.0,1,1
116,5,516,552.0,40,1
117,6,682,819.0,1,1
118,5,462,565.5,40,1
119,7,724,741.5,1,1
120,6,664,661.5,40,1
121,6,596,651.5,1,1
122,6,646,540.5,40,1
123,7,622,815.5,1,1
124,6,776,551.5,40,1
125,6,548,542.0,1,1
126,6,573,796.0,40,1
127,6,697,808.5,1,1
128,6,685,541.0,40,1
129,6,593,563.0,1,1
130,6,503,820.5,40,1
131,5,546,821.5,1,1
132,6,582,824.5,40,1
133,6,556,809.5,1,1
134,6,724,609.5,40,1
135,5,490,540.0,1,1
136,6,582,553.5,40,1
137,4,335,573.5,1,1
138,6,502,663.5,40,1
139,7,641,653.0,1,1
140,6,682,590.5,40,1
141,4,500,768.0,1,1
142,7,771,770.5,40,1
143,7,692,657.5,1,1
144,6,690,574.0,40,1
145,7,440,586.0,1,1
146,5,564,531.5,40,1
147,6,618,691.0,1,1
148,7,684,740.5,40,1
149,6,821,624.0,1,1
150,6,652,540.5,40,1
151,5,381,645.5,1,1
152,6,674,766.0,40,1
153,7,631,7500.0,1,1
154,7,681,613.0,40,1
155,6,778,620.0,1,1
156,7,588,690.0,40,1
157,6,595,771.0,1,1
158,7,704,716.0,40,1
159,6,639,704.0,1,1
160,4,341,673.0,40,1
161,6,572,630.0,1,1
162,6,674,749.5,40,1
163,6,585,679.5,1,1
164,6,743,558.0,40,1
165,6,658,726.0,1,1
166,6,483,838.5,40,1
167,6,602,604.5,1,1
168,6,658,668.0,40,1
169,5,667,801.5,1,1
170,7,1159,684.0,40,1
171,5,505,768.0,1,1
172,7,984,594.0,40,1
173,2,224,545.0,1,1
174,6,604,581.5,40,1
175,6,643,717.0,1,1
176,6,567,623.5,40,1
177,6,587,722.5,1,1
178,6,637,818.0,40,1
179,6,713,739.0,1,1
180,6,692,574.0,40,1
181,6,755,771.5,1,1
182,6,590,809.0,40,1
183,7,784,802.0,1,1
184,6,509,622.0,40,1
185,5,582,596.0,1,1
186,6,630,738.0,40,1
187,5,463,606.0,1,1
188,6,557,807.0,40,1
189,6,637,551.5,1,1
190,6,742,561.0,40,1
191,6,588,663.0,1,1
192,6,1011,664.5,40,1
193,7,871,586.5,1,1
194,7,822,810.5,40,1
195,7,799,618.0,1,1
196,6,774,666.0,40,1
197,1,0,595.5,1,1
198,7,984,748.5,40,1
199,2,240,734.0,1,1
