"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","102",1
"2","111",2
"3","115",3
"4","136",4
"6","105",5
"7","113",6
"5","101",6
"8","161",7
"9","107",8
"10","172",8
"11","109",9
"12","185",10
"13","131",11
"14","119",12
"16","137",13
"17","117",14
"21","147",15
"23","129",16
"15","143",16
"18","169",17
"28","174",17
"19","183",17
"29","138",17
"20","177",17
"22","159",18
"24","189",19
"25","193",19
"26","127",20
"27","155",21
"35","5",21
"30","175",21
"36","123",21
"31","173",21
"37","151",21
"33","103",21
"38","45",21
"34","187",21
"41","181",21
"43","141",22
"44","153",22
"45","163",22
"47","133",23
"49","135",24
"50","104",25
"51","152",26
"52","179",27
"42","108",27
"46","97",28
"55","61",28
"53","106",28
"48","112",28
"58","89",28
"54","156",28
"64","9",28
"32","167",28
"39","157",29
"59","126",29
"40","139",29
"62","188",29
"68","1",29
"65","71",29
"57","134",29
"66","69",29
"63","110",29
"70","7",29
"73","63",30
"67","83",30
"72","57",30
"56","145",30
"61","149",31
"71","190",31
"69","47",31
"78","11",31
"74","121",31
"76","168",31
"75","178",31
"60","142",31
"81","17",31
"77","191",31
"79","171",32
"80","176",33
"83","148",34
"85","162",34
"86","164",34
"84","16",35
"88","165",35
"94","3",35
"89","125",36
"93","197",37
"87","23",37
"98","79",37
"99","91",37
"92","192",37
"95","6",37
"90","130",38
"96","186",39
"97","198",40
"82","132",40
"100","43",40
"103","59",40
"101","33",40
"102","21",41
"109","25",41
"107","13",42
"91","158",42
"110","37",42
"104","73",42
"106","15",43
"108","19",44
"114","35",44
"112","81",44
"105","95",44
"115","93",44
"111","39",44
"117","99",44
"118","140",45
"121","27",45
"123","87",45
"113","124",45
"116","160",45
"122","41",46
"125","31",46
"124","29",47
"126","55",48
"129","49",49
"127","146",50
"120","182",50
"128","180",51
"134","122",51
"136","144",51
"119","170",51
"137","166",51
"130","65",51
"138","75",52
"140","85",52
"131","114",53
"139","77",53
"133","120",54
"132","118",55
"135","128",55
"143","196",55
"141","116",56
"142","184",56
"144","53",57
"169","8",57
"153","28",58
"158","44",58
"145","150",58
"157","4",58
"163","62",58
"148","67",58
"154","32",58
"167","72",58
"164","64",59
"156","38",60
"162","60",61
"165","68",61
"146","195",61
"173","96",62
"170","86",63
"155","34",64
"147","199",64
"160","52",65
"174","98",65
"149","100",66
"168","78",67
"179","194",67
"181","200",67
"190","51",68
"191","54",69
"172","92",69
"183","24",69
"161","56",69
"193","66",69
"184","30",70
"185","36",71
"175","10",72
"171","90",72
"177","154",72
"180","20",73
"151","2",73
"159","50",73
"198","84",73
"150","14",73
"166","70",74
"197","82",74
"199","88",74
"178","18",75
"152","26",75
"182","22",76
"188","46",77
"189","48",78
"194","74",78
"192","58",79
"200","94",79
"186","40",80
"196","80",81
"176","12",82
"187","42",83
"195","76",84
