node,hopcount,latency,power,deploymentPenalty,cost
0,5,623,655.0,1,40
1,6,684,764.5,40,40
2,6,642,805.5,1,40
3,6,647,714.5,40,40
4,5,541,781.5,1,40
5,5,585,805.5,40,40
6,5,657,664.0,1,40
7,6,552,681.0,40,40
8,6,587,690.0,1,40
9,7,694,783.0,40,40
10,7,729,789.5,1,40
11,7,760,590.5,40,40
12,6,667,772.5,1,40
13,6,749,691.0,40,40
14,6,743,745.0,1,40
15,6,669,824.0,40,40
16,6,657,709.5,1,40
17,6,809,584.5,40,40
18,7,732,669.0,1,40
19,7,724,815.0,40,40
20,6,731,693.0,1,40
21,6,831,782.0,40,40
22,7,660,818.5,1,40
23,7,602,838.0,40,40
24,7,813,716.5,1,40
25,6,763,609.0,40,40
26,6,697,769.0,1,40
27,7,703,579.5,40,40
28,6,715,806.0,1,40
29,7,673,725.0,40,40
30,6,721,651.0,1,40
31,7,689,816.5,40,40
32,6,725,780.5,1,40
33,7,811,559.0,40,40
34,6,685,632.5,1,40
35,6,701,570.0,40,40
36,7,813,757.5,1,40
37,7,751,741.5,40,40
38,6,777,784.0,1,40
39,7,788,660.5,40,40
40,6,803,703.5,1,40
41,7,836,780.5,40,40
42,7,700,753.0,1,40
43,7,708,611.5,40,40
44,6,754,647.5,1,40
45,6,835,746.0,40,40
46,6,699,527.5,1,40
47,7,778,721.5,40,40
48,7,777,655.0,1,40
49,5,680,724.5,40,40
50,7,840,580.0,1,40
51,7,776,765.5,40,40
52,7,765,677.5,1,40
53,6,697,596.0,40,40
54,7,991,758.0,1,40
55,6,723,623.0,40,40
56,7,702,780.0,1,40
57,6,697,733.5,40,40
58,7,824,568.0,1,40
59,7,779,614.0,40,40
60,6,577,573.0,1,40
61,5,641,791.0,40,40
62,6,744,737.5,1,40
63,7,822,798.5,40,40
64,7,900,733.0,1,40
65,6,680,645.0,40,40
66,7,638,529.0,1,40
67,6,701,746.0,40,40
68,7,708,589.0,1,40
69,7,802,694.5,40,40
70,6,649,541.5,1,40
71,7,897,651.0,40,40
72,7,684,805.0,1,40
73,6,829,635.0,40,40
74,7,721,626.0,1,40
75,7,858,718.5,40,40
76,6,727,545.0,1,40
77,7,801,533.0,40,40
78,6,874,681.0,1,40
79,6,803,650.0,40,40
80,6,655,659.5,1,40
81,7,724,749.5,40,40
82,6,657,566.0,1,40
83,7,704,813.0,40,40
84,7,674,646.0,1,40
85,6,707,822.0,40,40
86,6,766,796.5,1,40
87,7,765,682.5,40,40
88,6,577,711.0,1,40
89,6,681,807.5,40,40
90,7,759,614.0,1,40
91,6,715,753.5,40,40
92,6,689,786.5,1,40
93,6,852,542.0,40,40
94,7,733,579.0,1,40
95,6,637,803.5,40,40
96,6,805,778.5,1,40
97,6,657,800.0,40,40
98,5,631,780.0,1,40
99,6,693,714.0,40,40
100,6,663,527.5,1,1
101,5,661,557.0,40,1
102,6,779,659.5,1,1
103,6,681,567.0,40,1
104,6,635,541.0,1,1
105,6,693,750.0,40,1
106,6,739,657.0,1,1
107,7,716,668.0,40,1
108,6,721,715.5,1,1
109,6,751,652.0,40,1
110,4,509,715.0,1,1
111,6,749,572.5,40,1
112,5,591,577.0,1,1
113,7,838,797.5,40,1
114,6,904,763.5,1,1
115,7,1006,759.0,40,1
116,6,756,552.0,1,1
117,7,922,819.0,40,1
118,6,702,565.5,1,1
119,8,964,741.5,40,1
120,7,904,661.5,1,1
121,7,836,651.5,40,1
122,7,886,540.5,1,1
123,8,862,815.5,40,1
124,7,1016,551.5,1,1
125,7,788,542.0,40,1
126,7,765,796.0,1,1
127,7,937,808.5,40,1
128,7,925,541.0,1,1
129,7,833,563.0,40,1
130,7,743,820.5,1,1
131,6,786,821.5,40,1
132,7,918,824.5,1,1
133,7,796,809.5,40,1
134,7,964,609.5,1,1
135,6,730,540.0,40,1
136,7,822,553.5,1,1
137,5,575,573.5,40,1
138,7,742,663.5,1,1
139,8,881,653.0,40,1
140,7,922,590.5,1,1
141,5,740,768.0,40,1
142,8,1011,770.5,1,1
143,8,932,657.5,40,1
144,7,930,574.0,1,1
145,8,680,586.0,40,1
146,6,804,531.5,1,1
147,7,858,691.0,40,1
148,8,924,740.5,1,1
149,7,1061,624.0,40,1
150,7,892,540.5,1,1
151,6,621,645.5,40,1
152,7,914,766.0,1,1
153,8,871,7500.0,40,1
154,8,921,613.0,1,1
155,7,1018,620.0,40,1
156,8,828,690.0,1,1
157,7,835,771.0,40,1
158,8,944,716.0,1,1
159,7,879,704.0,40,1
