"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","123",1
"2","109",2
"3","105",3
"4","175",4
"5","110",5
"6","51",6
"7","107",7
"9","169",8
"11","104",9
"8","141",9
"10","101",10
"12","135",11
"13","189",11
"14","121",12
"15","177",12
"16","191",13
"17","131",14
"18","111",15
"20","143",16
"21","69",16
"23","71",17
"24","95",18
"25","103",19
"28","161",20
"29","75",21
"30","1",22
"22","63",22
"34","91",22
"19","151",22
"26","129",23
"31","171",23
"32","183",23
"33","57",23
"38","79",23
"27","145",23
"39","67",23
"40","11",24
"35","139",24
"45","77",24
"36","167",24
"46","59",24
"37","195",24
"50","188",24
"52","7",24
"44","3",24
"48","87",24
"41","159",24
"42","193",24
"56","25",24
"57","35",25
"43","127",25
"49","126",26
"51","174",27
"53","146",28
"59","21",28
"60","81",28
"64","85",28
"61","118",28
"65","13",28
"58","134",28
"66","37",28
"62","190",28
"68","128",28
"70","138",29
"47","155",29
"73","93",29
"77","27",30
"78","112",31
"69","33",31
"75","73",31
"79","15",32
"55","187",32
"82","23",32
"63","28",32
"88","31",32
"67","44",32
"72","8",32
"80","158",32
"87","102",32
"54","16",32
"94","43",32
"95","53",32
"96","108",33
"89","124",33
"71","32",33
"97","176",33
"74","113",33
"98","116",33
"100","29",34
"81","72",34
"84","92",35
"76","157",35
"105","106",35
"106","19",36
"83","68",36
"111","45",36
"86","6",36
"113","178",36
"116","99",36
"93","165",36
"112","168",36
"90","64",36
"108","136",36
"85","38",36
"101","181",36
"123","55",36
"102","66",36
"124","89",36
"103","60",36
"104","80",36
"91","153",36
"92","163",36
"125","122",36
"99","133",36
"110","4",36
"127","49",36
"120","130",36
"107","125",36
"134","5",36
"130","164",37
"133","41",37
"114","2",37
"132","39",37
"119","100",37
"135","162",37
"131","186",37
"121","34",37
"122","36",37
"136","9",37
"115","96",37
"117","185",38
"138","192",38
"140","65",39
"109","24",39
"142","114",39
"139","30",39
"129","52",39
"118","86",39
"141","78",39
"146","97",39
"153","54",40
"137","98",40
"147","12",40
"149","148",41
"156","74",42
"128","119",42
"154","56",42
"150","154",43
"145","83",43
"148","14",44
"126","149",44
"152","50",44
"155","70",44
"157","82",44
"161","84",44
"158","10",45
"151","26",45
"160","48",45
"144","137",45
"162","90",45
"159","117",46
"171","40",46
"143","115",46
"166","17",46
"170","20",47
"165","150",48
"167","196",49
"164","147",50
"163","142",51
"168","197",52
"173","140",52
"182","182",53
"169","198",53
"174","144",53
"180","18",54
"183","42",55
"172","61",55
"176","160",56
"177","166",56
"175","152",57
"189","58",57
"179","173",57
"191","76",57
"192","88",57
"185","179",58
"181","180",58
"188","47",58
"187","46",59
"186","22",60
"178","172",60
"193","94",60
"184","120",61
"198","194",62
"190","62",62
"199","199",63
"195","156",64
"197","184",65
"194","132",66
"196","170",67
"200","200",67
