id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
2,COMP_M,9,9_55,M.USER.APP.9,79,80,197,174,None,305.5923076923077,976.0761888761821,1281.66849656849,372.0,976.0761888761821
6,COMP_M,3,3_22,M.USER.APP.3,87,82,196,186,None,184.80497925311204,1123.0554684234266,1307.8604476765386,506.0,1123.0554684234266
8,COMP_M,4,4_27,M.USER.APP.4,85,84,169,113,None,57.68621064060803,1178.1045778593952,1235.7907885000034,587.0,1178.1045778593952
1,COMP_M,8,8_52,M.USER.APP.8,76,52,199,153,None,5.283128312831283,1227.1815854043277,1232.464713717159,220.0,1227.1815854043277
13,COMP_M,3,3_22,M.USER.APP.3,81,90,194,110,None,50.1554054054054,1330.0919505796842,1380.2473559850896,777.0,1330.0919505796842
7,COMP_M,9,9_55,M.USER.APP.9,79,80,197,174,None,305.5923076923077,1424.1379545428485,1729.7302622351563,530.0,1424.1379545428485
11,COMP_M,1,1_9,M.USER.APP.1,87,88,196,152,None,110.85266457680251,1445.1658170908377,1556.0184816676401,674.0,1445.1658170908377
21,COMP_M,5,5_36,M.USER.APP.5,86,92,187,188,None,231.0108695652174,1484.1349500727217,1715.1458196379392,1002.0,1484.1349500727217
2,COMP_M,9,9_58,9_(55-58),80,100,174,104,9_55,519.6274509803922,1502.6938578758384,2022.3213088562306,1281.66849656849,1502.6938578758384
14,COMP_M,3,3_22,M.USER.APP.3,87,82,196,186,None,184.80497925311204,1585.1012890662837,1769.9062683193956,796.0,1585.1012890662837
13,COMP_M,3,3_25,3_(22-25),90,106,110,138,3_22,397.1307692307692,1628.2151359536156,2025.3459051843847,1380.2473559850896,1628.2151359536156
2,COMP_M,9,9_56,9_(55-56),80,99,174,112,9_55,29.334167709637047,1629.700090652663,1659.0342583623,1281.66849656849,1629.700090652663
13,COMP_M,3,3_23,3_(22-23),90,107,110,102,3_22,127.06231454005935,1650.2802056550186,1777.342520195078,1380.2473559850896,1650.2802056550186
