"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","111",1
"2","105",2
"3","101",3
"4","115",4
"5","113",5
"6","161",6
"7","107",7
"8","102",8
"9","185",9
"10","119",10
"11","109",11
"12","136",11
"13","131",12
"14","143",12
"15","137",13
"16","117",14
"17","172",15
"18","169",16
"19","147",17
"22","129",18
"23","157",18
"24","177",19
"26","159",20
"27","193",20
"28","123",21
"29","155",21
"25","139",21
"32","151",21
"33","175",22
"34","173",23
"35","174",23
"36","103",24
"38","187",25
"40","181",26
"21","183",26
"31","127",27
"41","141",27
"37","138",27
"39","104",28
"43","135",28
"44","163",28
"30","189",28
"47","153",28
"45","5",28
"48","45",29
"50","152",30
"20","167",30
"42","145",31
"46","149",32
"52","106",32
"49","108",32
"55","61",32
"57","89",33
"56","121",33
"61","9",33
"62","97",34
"64","71",35
"51","126",35
"53","112",36
"54","133",36
"68","1",36
"70","191",36
"63","69",36
"59","188",36
"60","47",36
"66","110",37
"71","7",37
"67","83",37
"73","63",37
"72","156",38
"78","171",38
"69","190",38
"75","168",39
"76","57",39
"77","17",40
"74","178",40
"58","179",40
"65","134",41
"83","91",41
"84","125",41
"85","165",41
"82","176",41
"79","130",41
"81","11",42
"87","148",42
"88","164",42
"91","197",42
"80","142",42
"89","59",42
"93","162",42
"92","3",42
"94","186",43
"96","198",43
"98","79",43
"97","95",43
"95","192",44
"100","43",44
"101","21",45
"106","13",46
"102","33",46
"103","15",47
"108","25",47
"86","23",47
"109","37",47
"107","19",47
"99","158",47
"113","35",47
"111","81",47
"112","160",48
"104","73",48
"105","124",49
"115","140",49
"110","39",49
"117","16",49
"114","93",49
"118","99",49
"90","132",49
"119","27",49
"121","146",50
"120","41",50
"122","87",51
"116","77",51
"124","144",52
"132","31",52
"133","49",53
"128","122",54
"129","166",55
"138","195",55
"130","180",55
"141","6",55
"134","65",55
"140","55",55
"127","120",55
"143","85",55
"142","75",56
"123","114",56
"131","182",56
"126","118",57
"139","196",57
"125","67",57
"137","170",58
"147","29",58
"136","128",58
"135","116",59
"149","199",59
"148","53",59
"146","194",60
"144","150",61
"151","51",61
"150","200",62
"163","28",62
"189","8",62
"145","184",62
"172","44",62
"169","4",63
"165","32",64
"186","72",64
"181","62",65
"182","64",66
"168","38",67
"177","54",68
"180","60",69
"183","66",69
"167","36",70
"184","68",71
"164","30",72
"166","34",72
"152","78",72
"198","96",72
"161","24",73
"176","52",73
"193","86",74
"199","98",75
"153","10",76
"154","100",77
"159","20",78
"157","18",79
"191","82",80
"194","88",80
"192","84",81
"196","92",81
"178","56",82
"195","90",83
"175","50",84
"158","2",85
"156","14",86
"173","46",87
"160","22",88
"162","26",89
"185","70",89
"174","48",90
"187","74",90
"179","58",91
"170","40",92
"197","94",92
"190","80",93
"155","12",94
"200","154",94
"171","42",95
"188","76",95
