node,hopcount,latency,power,deploymentPenalty,cost
0,4,141,655.0,1,40
1,4,138,764.5,40,40
2,3,122,805.5,1,40
3,4,157,714.5,40,40
4,4,227,781.5,1,40
5,3,313,805.5,40,40
6,4,188,664.0,1,40
7,3,216,681.0,40,40
8,5,273,690.0,1,40
9,4,358,783.0,40,40
10,4,311,789.5,1,40
11,5,214,590.5,40,40
12,4,395,772.5,1,40
13,4,477,691.0,40,40
14,5,261,745.0,1,40
15,3,251,824.0,40,40
16,5,343,709.5,1,40
17,5,340,584.5,40,40
18,4,396,669.0,1,40
19,4,388,815.0,40,40
20,5,249,693.0,1,40
21,5,362,782.0,40,40
22,4,324,818.5,1,40
23,4,266,838.0,40,40
24,4,395,716.5,1,40
25,4,491,609.0,40,40
26,4,425,769.0,1,40
27,4,285,579.5,40,40
28,4,443,806.0,1,40
29,5,183,725.0,40,40
30,4,449,651.0,1,40
31,4,271,816.5,40,40
32,5,243,780.5,1,40
33,4,393,559.0,40,40
34,4,413,632.5,1,40
35,5,219,570.0,40,40
36,4,395,757.5,1,40
37,4,333,741.5,40,40
38,5,308,784.0,1,40
39,4,268,660.5,40,40
40,5,334,703.5,1,40
41,5,290,780.5,40,40
42,4,364,753.0,1,40
43,4,290,611.5,40,40
44,5,265,647.5,1,40
45,5,366,746.0,40,40
46,5,716,527.5,1,40
47,4,258,721.5,40,40
48,5,287,655.0,1,40
49,4,482,724.5,40,40
50,3,213,580.0,1,40
51,4,385,765.5,40,40
52,5,219,677.5,1,40
53,4,356,596.0,40,40
54,4,405,758.0,1,40
55,4,326,623.0,40,40
56,3,135,780.0,1,40
57,5,452,733.5,40,40
58,4,407,568.0,1,40
59,4,361,614.0,40,40
60,4,684,573.0,1,40
61,5,590,791.0,40,40
62,4,281,737.5,1,40
63,4,302,798.5,40,40
64,4,474,733.0,1,40
65,4,356,645.0,40,40
66,3,182,529.0,1,40
67,3,331,746.0,40,40
68,3,297,589.0,1,40
69,4,485,694.5,40,40
70,4,313,541.5,1,40
71,4,321,651.0,40,40
72,3,81,805.0,1,40
73,4,258,635.0,40,40
74,4,238,626.0,1,40
75,5,312,718.5,40,40
76,4,417,545.0,1,40
77,4,429,533.0,40,40
78,4,347,681.0,1,40
79,4,361,650.0,40,40
80,5,174,659.5,1,40
81,4,388,749.5,40,40
82,5,354,566.0,1,40
83,4,184,813.0,40,40
84,3,86,646.0,1,40
85,4,367,822.0,40,40
86,4,353,796.5,1,40
87,4,190,682.5,40,40
88,4,508,711.0,1,40
89,4,316,807.5,40,40
90,4,228,614.0,1,40
91,4,443,753.5,40,40
92,4,166,786.5,1,40
93,4,306,542.0,40,40
94,3,311,579.0,1,40
95,4,365,803.5,40,40
96,5,316,778.5,1,40
97,4,280,800.0,40,40
98,4,386,780.0,1,40
99,4,308,714.0,40,40
100,4,308,527.5,1,1
101,4,348,557.0,40,1
102,4,366,659.5,1,1
103,3,251,567.0,40,1
104,4,275,541.0,1,1
105,4,390,750.0,40,1
106,4,317,657.0,1,1
107,2,48,668.0,40,1
108,2,177,715.5,1,1
109,3,199,652.0,40,1
110,4,389,715.0,1,1
111,4,477,572.5,40,1
112,5,340,577.0,1,1
113,5,528,797.5,40,1
114,5,591,763.5,1,1
115,4,454,759.0,40,1
116,6,505,552.0,1,1
117,4,370,819.0,40,1
118,6,451,565.5,1,1
119,5,628,741.5,40,1
120,4,352,661.5,1,1
121,5,423,651.5,40,1
122,3,342,540.5,1,1
123,4,440,815.5,40,1
124,5,603,551.5,1,1
125,5,428,542.0,40,1
126,5,400,796.0,1,1
127,4,385,808.5,40,1
128,5,503,541.0,1,1
129,5,561,563.0,40,1
130,4,373,820.5,1,1
131,6,535,821.5,40,1
132,5,541,824.5,1,1
133,5,374,809.5,40,1
134,3,420,609.5,1,1
135,5,417,540.0,40,1
136,6,519,553.5,1,1
137,5,455,573.5,40,1
138,6,261,663.5,1,1
139,3,213,653.0,40,1
140,3,378,590.5,1,1
141,5,620,768.0,40,1
142,5,435,770.5,1,1
143,5,412,657.5,40,1
144,4,500,574.0,1,1
145,4,224,586.0,40,1
146,6,553,531.5,1,1
147,5,503,691.0,40,1
148,5,349,740.5,1,1
149,5,619,624.0,40,1
150,5,620,540.5,1,1
151,6,370,645.5,40,1
152,5,642,766.0,1,1
153,5,388,7500.0,40,1
154,5,549,613.0,1,1
155,6,529,620.0,40,1
156,5,253,690.0,1,1
157,5,563,771.0,40,1
158,5,526,716.0,1,1
159,5,576,704.0,40,1
160,5,461,673.0,1,1
161,5,540,630.0,40,1
162,5,642,749.5,1,1
163,5,440,679.5,40,1
164,5,570,558.0,1,1
165,6,417,726.0,40,1
166,5,420,838.5,1,1
167,5,502,604.5,40,1
168,1,0,668.0,1,1
169,6,656,801.5,40,1
170,4,138,684.0,1,1
171,3,264,768.0,40,1
172,5,798,594.0,1,1
173,5,434,545.0,40,1
174,3,300,581.5,1,1
175,5,461,717.0,40,1
176,4,359,623.5,1,1
177,5,487,722.5,40,1
178,3,384,818.0,1,1
179,5,430,739.0,40,1
180,4,305,574.0,1,1
181,5,635,771.5,40,1
182,5,470,809.0,1,1
183,3,356,802.0,40,1
184,5,680,622.0,1,1
185,5,563,596.0,40,1
186,5,485,738.0,1,1
187,4,403,606.0,40,1
188,4,343,807.0,1,1
189,4,461,551.5,40,1
190,4,430,561.0,1,1
191,5,556,663.0,40,1
192,5,286,664.5,1,1
193,6,771,586.5,40,1
194,5,510,810.5,1,1
195,6,617,618.0,40,1
196,6,755,666.0,1,1
197,6,658,595.5,40,1
198,7,965,748.5,1,1
199,7,898,734.0,40,1
