node,hopcount,latency,power,deploymentPenalty,cost
0,3,166,655.0,40,40
1,4,177,764.5,1,40
2,4,216,805.5,40,40
3,4,165,714.5,1,40
4,4,226,781.5,40,40
5,4,219,805.5,1,40
6,3,150,664.0,40,40
7,3,206,681.0,1,40
8,5,272,690.0,40,40
9,4,348,783.0,1,40
10,4,326,789.5,40,40
11,5,253,590.5,1,40
12,5,301,772.5,40,40
13,5,383,691.0,1,40
14,4,286,745.0,40,40
15,3,266,824.0,1,40
16,5,342,709.5,40,40
17,4,302,584.5,1,40
18,4,386,669.0,40,40
19,4,378,815.0,1,40
20,4,274,693.0,40,40
21,4,324,782.0,1,40
22,4,314,818.5,40,40
23,4,256,838.0,1,40
24,4,410,716.5,40,40
25,5,397,609.0,1,40
26,5,331,769.0,40,40
27,4,300,579.5,1,40
28,5,349,806.0,40,40
29,5,191,725.0,1,40
30,5,355,651.0,40,40
31,4,286,816.5,1,40
32,4,268,780.5,40,40
33,4,408,559.0,1,40
34,5,319,632.5,40,40
35,4,244,570.0,1,40
36,4,410,757.5,40,40
37,4,348,741.5,1,40
38,4,270,784.0,40,40
39,5,362,660.5,1,40
40,4,296,703.5,40,40
41,5,329,780.5,1,40
42,4,354,753.0,40,40
43,4,305,611.5,1,40
44,5,273,647.5,40,40
45,4,328,746.0,1,40
46,4,192,527.5,40,40
47,5,321,721.5,1,40
48,4,453,655.0,40,40
49,4,497,724.5,1,40
50,4,218,580.0,40,40
51,4,400,765.5,1,40
52,5,258,677.5,40,40
53,4,190,596.0,1,40
54,4,395,758.0,40,40
55,4,316,623.0,1,40
56,4,299,780.0,40,40
57,4,408,733.5,1,40
58,4,422,568.0,40,40
59,4,376,614.0,1,40
60,5,550,573.0,40,40
61,5,331,791.0,1,40
62,4,296,737.5,40,40
63,4,320,798.5,1,40
64,4,464,733.0,40,40
65,3,213,645.0,1,40
66,4,292,529.0,40,40
67,4,336,746.0,1,40
68,4,305,589.0,40,40
69,4,500,694.5,1,40
70,5,381,541.5,40,40
71,4,336,651.0,1,40
72,3,270,805.0,40,40
73,4,322,635.0,1,40
74,4,228,626.0,40,40
75,5,351,718.5,1,40
76,3,274,545.0,40,40
77,3,222,533.0,1,40
78,4,362,681.0,40,40
79,4,296,650.0,1,40
80,5,342,659.5,40,40
81,4,378,749.5,1,40
82,5,348,566.0,40,40
83,5,247,813.0,1,40
84,4,328,646.0,40,40
85,4,200,822.0,1,40
86,4,368,796.5,40,40
87,4,248,682.5,1,40
88,4,440,711.0,40,40
89,4,306,807.5,1,40
90,4,362,614.0,40,40
91,3,166,753.5,1,40
92,5,229,786.5,40,40
93,4,222,542.0,1,40
94,4,316,579.0,40,40
95,4,408,803.5,1,40
96,5,355,778.5,40,40
97,4,270,800.0,1,40
98,4,276,780.0,40,40
99,2,114,714.0,1,40
100,4,298,527.5,40,1
101,4,374,557.0,1,1
102,4,356,659.5,40,1
103,2,108,567.0,1,1
104,5,219,541.0,40,1
105,3,176,750.0,1,1
106,4,388,657.0,40,1
107,4,374,668.0,1,1
108,3,182,715.5,40,1
109,4,294,652.0,1,1
110,4,298,715.0,40,1
111,4,310,572.5,1,1
112,4,278,577.0,40,1
113,4,385,797.5,1,1
114,5,617,763.5,40,1
115,5,549,759.0,1,1
116,5,443,552.0,40,1
117,5,465,819.0,1,1
118,5,389,565.5,40,1
119,5,618,741.5,1,1
120,5,447,661.5,40,1
