"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","173",1
"2","105",2
"3","169",3
"4","107",4
"5","189",5
"6","143",6
"7","121",7
"8","159",8
"9","193",9
"10","183",10
"11","113",11
"12","167",11
"13","181",11
"14","155",12
"15","101",13
"16","191",14
"17","157",15
"18","129",16
"19","109",17
"20","103",18
"21","115",18
"22","111",19
"23","119",19
"24","171",20
"25","117",21
"26","177",21
"27","149",22
"28","175",22
"29","147",23
"30","151",23
"36","123",24
"37","187",24
"31","127",24
"41","141",24
"32","153",24
"33","163",24
"34","179",24
"35","137",25
"42","165",25
"38","139",25
"39","161",25
"43","125",25
"45","135",25
"46","185",25
"40","195",25
"44","133",26
"47","145",27
"48","197",27
"49","131",28
"50","91",29
"51","65",30
"67","3",31
"87","69",32
"56","1",33
"82","57",33
"85","63",33
"76","47",34
"52","199",34
"57","11",34
"88","7",34
"90","73",34
"100","93",34
"80","53",35
"97","87",35
"69","33",36
"59","15",37
"62","21",37
"64","25",37
"71","37",37
"79","51",37
"75","45",38
"83","59",39
"77","49",40
"95","83",41
"72","39",42
"91","75",42
"93","79",42
"73","41",43
"86","67",44
"78","5",45
"99","9",46
"89","71",47
"96","85",48
"84","61",49
"74","43",50
"103","99",50
"61","19",51
"63","23",51
"101","95",51
"102","97",51
"81","55",52
"98","89",53
"94","81",54
"58","13",55
"60","17",55
"70","35",55
"92","77",55
"53","102",55
"65","27",55
"68","31",55
"55","126",55
"66","29",55
"104","106",56
"54","110",56
"105","136",57
"106","178",58
"107","168",59
"108","134",60
"113","112",60
"109","144",60
"110","190",60
"111","118",61
"112","172",61
"114","128",62
"115","180",63
"116","176",64
"117","152",65
"119","160",65
"120","182",65
"118","116",65
"121","146",66
"122","184",67
"123","162",68
"124","164",68
"127","108",68
"125","130",68
"126","188",68
"128","104",69
"129","122",70
"130","192",71
"131","158",72
"132","124",73
"133","132",74
"134","174",74
"135","186",75
"136","138",76
"137","156",76
"138","148",77
"139","196",77
"140","194",78
"141","140",79
"146","170",80
"144","150",81
"145","166",81
"143","142",82
"142","114",83
"147","120",83
"155","198",84
"158","200",85
"152","154",86
"153","16",87
"198","94",88
"162","28",89
"171","44",90
"156","2",91
"164","32",91
"167","38",92
"186","72",92
"190","8",92
"193","84",92
"165","34",93
"183","66",93
"189","78",93
"150","12",94
"180","60",94
"166","36",95
"175","52",96
"194","86",96
"173","48",97
"199","96",97
"169","40",98
"182","64",99
"197","92",99
"154","18",100
"170","42",101
"174","50",101
"185","70",101
"188","76",102
"149","100",103
"172","46",104
"195","88",104
"159","22",105
"168","4",105
"176","54",105
"179","6",106
"160","24",107
"177","56",107
"200","98",107
"196","90",108
"148","10",109
"187","74",110
"192","82",110
"157","20",111
"163","30",112
"191","80",113
"181","62",114
"161","26",115
"151","14",116
"178","58",117
"184","68",118
