"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","173",1
"2","105",2
"3","107",3
"4","113",4
"5","169",4
"6","101",5
"7","121",5
"8","109",6
"9","155",6
"10","159",6
"11","181",6
"12","193",6
"13","143",7
"14","129",8
"15","157",8
"16","183",8
"17","191",8
"18","103",9
"19","189",9
"20","111",10
"21","119",11
"22","167",11
"23","115",12
"24","151",13
"25","171",14
"26","117",15
"28","149",15
"29","177",16
"30","147",17
"31","175",18
"33","187",19
"37","123",20
"27","137",20
"32","139",21
"41","141",21
"34","127",21
"35","161",21
"36","163",21
"42","135",21
"43","165",21
"38","179",21
"39","153",22
"44","125",22
"45","185",22
"40","195",22
"46","133",23
"47","145",24
"48","197",25
"49","131",26
"53","102",27
"52","106",27
"55","110",28
"54","126",28
"66","136",29
"50","91",29
"73","168",30
"51","65",30
"76","178",31
"58","112",32
"65","134",32
"81","190",33
"60","118",34
"62","128",35
"67","144",35
"74","172",35
"77","180",36
"63","130",37
"68","146",37
"69","152",37
"70","160",37
"75","176",37
"56","104",38
"57","108",38
"78","182",38
"59","116",39
"80","188",40
"83","124",40
"84","158",41
"71","162",41
"72","164",41
"79","184",41
"88","156",41
"89","186",42
"61","122",42
"91","174",42
"82","192",42
"90","138",42
"87","148",42
"64","132",42
"92","194",42
"93","196",42
"97","69",43
"85","120",43
"86","140",43
"101","47",43
"94","1",43
"99","170",43
"95","25",43
"96","63",43
"98","7",43
"102","150",43
"105","3",43
"103","37",43
"110","57",44
"111","59",44
"112","79",44
"114","11",45
"117","73",45
"118","93",45
"119","87",46
"121","75",47
"100","166",47
"104","21",48
"106","45",48
"107","53",48
"125","5",48
"109","15",48
"127","199",48
"126","67",48
"115","49",48
"116","51",48
"120","33",49
"122","41",50
"108","142",50
"123","83",50
"124","39",51
"134","85",51
"136","23",52
"128","9",52
"129","97",53
"113","114",53
"130","198",54
"140","43",54
"131","13",54
"132","61",54
"133","81",54
"143","99",54
"135","17",54
"144","19",54
"137","35",54
"138","95",54
"139","27",55
"141","71",55
"142","31",56
"146","55",56
"145","29",56
"147","89",56
"148","77",57
"150","200",58
"149","154",59
"155","16",60
"198","94",61
"162","28",62
"165","34",63
"189","78",63
"190","8",63
"157","2",64
"171","44",65
"164","32",66
"166","36",67
"186","72",68
"153","12",69
"167","38",69
"193","84",69
"180","60",70
"183","66",70
"169","40",71
"173","48",71
"175","52",71
"194","86",71
"156","18",72
"199","96",72
"182","64",73
"197","92",73
"170","42",74
"188","76",75
"174","50",76
"185","70",76
"152","100",77
"172","46",77
"159","22",78
"195","88",78
"179","6",79
"168","4",80
"176","54",81
"177","56",81
"160","24",82
"161","26",82
"200","98",82
"151","10",83
"158","20",83
"163","30",83
"187","74",83
"191","80",83
"192","82",83
"196","90",83
"154","14",84
"178","58",84
"181","62",84
"184","68",84
