type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,110.008,110.01211950565931,100.0,110.008
SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,111.01611950565932,111.01611950565932,110.01211950565931,111.01611950565932
COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,210.008,210.01211950565934,200.0,210.008
SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,211.01611950565933,211.01611950565933,210.01211950565934,211.01611950565933
COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,310.008,310.0121195056593,300.0,310.008
SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,311.01611950565933,311.01611950565933,310.0121195056593,311.01611950565933
COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,410.008,410.0121195056593,400.0,410.008
SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,411.01611950565933,411.01611950565933,410.0121195056593,411.01611950565933
COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,510.008,510.0121195056593,500.0,510.008
SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,511.01611950565933,511.01611950565933,510.0121195056593,511.01611950565933
COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,610.008,610.0121195056594,600.0,610.008
SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,611.0161195056594,611.0161195056594,610.0121195056594,611.0161195056594
COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,710.008,710.0121195056594,700.0,710.008
SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,711.0161195056594,711.0161195056594,710.0121195056594,711.0161195056594
COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,810.008,810.0121195056594,800.0,810.008
SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,811.0161195056594,811.0161195056594,810.0121195056594,811.0161195056594
COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,910.008,910.0121195056594,900.0,910.008
SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,911.0161195056594,911.0161195056594,910.0121195056594,911.0161195056594
