type,src,dst,app,latency,message,ctime,size,buffer
LINK,1,0,SimpleCase,10.008,M.A,100,1000,0
LINK,0,2,SimpleCase,1.004,M.B,110.01211950565931,500,0
LINK,1,0,SimpleCase,10.008,M.A,200,1000,0
LINK,0,2,SimpleCase,1.004,M.B,210.01211950565934,500,0
LINK,1,0,SimpleCase,10.008,M.A,300,1000,0
LINK,0,2,SimpleCase,1.004,M.B,310.0121195056593,500,0
LINK,1,0,SimpleCase,10.008,M.A,400,1000,0
LINK,0,2,SimpleCase,1.004,M.B,410.0121195056593,500,0
LINK,1,0,SimpleCase,10.008,M.A,500,1000,0
LINK,0,2,SimpleCase,1.004,M.B,510.0121195056593,500,0
LINK,1,0,SimpleCase,10.008,M.A,600,1000,0
LINK,0,2,SimpleCase,1.004,M.B,610.0121195056594,500,0
LINK,1,0,SimpleCase,10.008,M.A,700,1000,0
LINK,0,2,SimpleCase,1.004,M.B,710.0121195056594,500,0
LINK,1,0,SimpleCase,10.008,M.A,800,1000,0
LINK,0,2,SimpleCase,1.004,M.B,810.0121195056594,500,0
LINK,1,0,SimpleCase,10.008,M.A,900,1000,0
LINK,0,2,SimpleCase,1.004,M.B,910.0121195056594,500,0
