id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,3,3_0,M.USER.APP.3,10,0,6,90,None,1.0,241.00009000000003,242.00009000000003,232.0,241.00009000000003
2,COMP_M,2,2_0,M.USER.APP.2,11,1,2,99,None,1.0,327.0000899999998,328.0000899999998,318.0,327.0000899999998
3,COMP_M,3,3_0,M.USER.APP.3,16,0,6,90,None,1.0,341.0000899999998,342.0000899999998,332.0,341.0000899999998
4,COMP_M,3,3_0,M.USER.APP.3,16,0,6,90,None,1.0,391.0000899999998,392.0000899999998,382.0,391.0000899999998
5,COMP_M,3,3_0,M.USER.APP.3,18,0,8,90,None,1.0,451.0000899999998,452.0000899999998,442.0,451.0000899999998
6,COMP_M,2,2_0,M.USER.APP.2,22,1,6,99,None,1.0,491.0000899999998,492.0000899999998,482.0,491.0000899999998
7,COMP_M,3,3_0,M.USER.APP.3,22,0,6,90,None,1.0,541.0000899999998,542.0000899999998,532.0,541.0000899999998
8,COMP_M,3,3_0,M.USER.APP.3,6,0,9,90,None,1.0,569.0000899999998,570.0000899999998,560.0,569.0000899999998
9,COMP_M,2,2_0,M.USER.APP.2,23,1,4,99,None,1.0,626.0000899999998,627.0000899999998,617.0,626.0000899999998
10,COMP_M,3,3_0,M.USER.APP.3,24,0,7,90,None,1.0,641.0000899999998,642.0000899999998,632.0,641.0000899999998
11,COMP_M,2,2_0,M.USER.APP.2,29,1,0,99,None,1.0,650.0000899999998,651.0000899999998,641.0,650.0000899999998
12,COMP_M,2,2_0,M.USER.APP.2,11,1,2,99,None,1.0,673.0000899999998,674.0000899999998,664.0,673.0000899999998
13,COMP_M,2,2_0,M.USER.APP.2,29,1,0,99,None,1.0,681.0000899999998,682.0000899999998,672.0,681.0000899999998
14,COMP_M,3,3_0,M.USER.APP.3,24,0,7,90,None,1.0,694.0000899999998,695.0000899999998,685.0,694.0000899999998
15,COMP_M,3,3_0,M.USER.APP.3,26,0,8,90,None,1.0,701.0000899999998,702.0000899999998,692.0,701.0000899999998
16,COMP_M,2,2_0,M.USER.APP.2,33,1,2,99,None,1.0,711.0000899999998,712.0000899999998,702.0,711.0000899999998
17,COMP_M,2,2_0,M.USER.APP.2,35,1,3,99,None,1.0,829.0000899999998,830.0000899999998,820.0,829.0000899999998
