id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,197,173,9,224.02507085333335,M.USER.APP.9,135,1880314,0
2,LINK,169,112,4,316.0296725466667,M.USER.APP.4,138,4450882,1
3,LINK,197,173,9,224.02507085333335,M.USER.APP.9,174,1880314,2
4,LINK,172,90,2,228.01230620657276,M.USER.APP.2,197,2621222,3
5,LINK,195,175,2,156.02382929090908,M.USER.APP.2,203,2621222,4
6,LINK,169,112,4,316.0296725466667,M.USER.APP.4,237,4450882,5
7,LINK,194,190,6,80.01325551,M.USER.APP.6,243,2651102,6
8,LINK,196,185,3,192.01234511659192,M.USER.APP.3,247,2752961,7
9,LINK,195,175,2,156.02382929090908,M.USER.APP.2,295,2621222,8
10,LINK,195,175,2,156.02382929090908,M.USER.APP.2,316,2621222,9
7,LINK,190,83,6,270.067976974359,M.USER.APP.6,323.01325551,2651102,9
11,LINK,172,90,2,228.01230620657276,M.USER.APP.2,335,2621222,10
5,LINK,175,106,2,144.04032649230768,M.USER.APP.2,359.0238292909091,2621222,10
1,LINK,173,110,9,45.03547762264151,M.USER.APP.9,359.0250708533333,1880314,10
12,LINK,197,173,9,224.02507085333335,M.USER.APP.9,364,1880314,11
13,LINK,195,175,2,156.02382929090908,M.USER.APP.2,374,2621222,12
1,LINK,110,98,9,122.01038847513811,M.USER.APP.9,404.0605484759748,1880314,12
14,LINK,196,185,3,192.01234511659192,M.USER.APP.3,406,2752961,13
4,LINK,90,2,2,106.0069161530343,M.USER.APP.2,425.01230620657276,2621222,13
8,LINK,185,112,3,231.0218488968254,M.USER.APP.3,439.0123451165919,2752961,13
2,LINK,112,3,4,86.0264933452381,M.USER.APP.4,454.0296725466667,4450882,13
15,LINK,187,112,5,112.02945950735294,M.USER.APP.5,479,4006493,14
16,LINK,199,197,8,240.01994283333335,M.USER.APP.8,492,2752111,15
5,LINK,106,109,2,118.01196905022832,M.USER.APP.2,503.06415578321673,2621222,15
17,LINK,199,197,8,240.01994283333335,M.USER.APP.8,515,2752111,16
9,LINK,175,106,2,144.04032649230768,M.USER.APP.2,515.0476585818182,2621222,16
18,LINK,197,173,9,224.02507085333335,M.USER.APP.9,521,1880314,17
1,LINK,98,57,9,66.01413769924812,M.USER.APP.9,526.0709369511129,1880314,17
4,LINK,2,5,2,30.004070220496896,M.USER.APP.2,531.019222359607,2621222,17
2,LINK,3,6,4,15.004565007179487,M.USER.APP.4,540.0561658919048,4450882,17
2,LINK,6,85,4,50.014986134680136,M.USER.APP.4,555.0607308990843,4450882,17
4,LINK,5,91,2,130.01833022377622,M.USER.APP.2,561.023292580104,2621222,17
19,LINK,199,197,8,240.01994283333335,M.USER.APP.8,577,2752111,18
3,LINK,173,110,9,45.03547762264151,M.USER.APP.9,583.0501417066666,1880314,18
15,LINK,112,95,5,74.01203151051051,M.USER.APP.5,591.029459507353,4006493,18
7,LINK,83,2,6,62.00753153977273,M.USER.APP.6,593.081232484359,2651102,17
2,LINK,85,177,4,120.10855809756097,M.USER.APP.4,605.0757170337645,4450882,17
20,LINK,194,190,6,80.01325551,M.USER.APP.6,608,2651102,18
5,LINK,109,188,2,144.0416066984127,M.USER.APP.2,621.0761248334451,2621222,18
21,LINK,195,175,2,156.02382929090908,M.USER.APP.2,624,2621222,19
3,LINK,110,98,9,122.01038847513811,M.USER.APP.9,628.0856193293082,1880314,19
14,LINK,185,112,3,231.0218488968254,M.USER.APP.3,631.0246902331838,2752961,19
22,LINK,172,90,2,228.01230620657276,M.USER.APP.2,650,2621222,20
11,LINK,90,2,2,106.0069161530343,M.USER.APP.2,653.0246124131455,2621222,20
7,LINK,2,107,6,74.01068992741935,M.USER.APP.6,655.0887640241317,2651102,20
9,LINK,106,109,2,118.01196905022832,M.USER.APP.2,659.0879850741259,2621222,20
23,LINK,197,173,9,224.02507085333335,M.USER.APP.9,666,1880314,20
24,LINK,194,190,3,80.013764805,M.USER.APP.3,667,2752961,21
8,LINK,112,110,3,82.00574730897704,M.USER.APP.3,670.0341940134173,2752961,21
10,LINK,175,106,2,144.04032649230768,M.USER.APP.2,671.0714878727272,2621222,21
20,LINK,190,83,6,270.067976974359,M.USER.APP.6,688.01325551,2651102,21
25,LINK,187,112,5,112.02945950735294,M.USER.APP.5,689,4006493,22
26,LINK,199,197,8,240.01994283333335,M.USER.APP.8,699,2752111,22
15,LINK,95,5,5,52.00756681967213,5_(36-41),705.1414910178635,2307880,23
15,LINK,95,5,5,52.01142173114754,5_(36-37),705.1414910178635,3483628,24
15,LINK,95,5,5,52.010306681967215,5_(36-38),705.1414910178635,3143538,25
2,LINK,177,193,4,284.0578036623377,M.USER.APP.4,725.1842751313254,4450882,25
7,LINK,107,84,6,38.008157236923076,M.USER.APP.6,729.099453951551,2651102,25
16,LINK,197,173,8,224.03669481333333,M.USER.APP.8,732.0199428333333,2752111,25
4,LINK,91,5,2,130.01446595104895,2_(19-20),746.9240731350061,2068631,26
4,LINK,91,5,2,130.02185848251747,2_(19-21),746.9240731350061,3125763,27
3,LINK,98,57,9,66.01413769924812,M.USER.APP.9,750.0960078044463,1880314,27
8,LINK,110,173,3,45.05194266037736,M.USER.APP.3,752.0399413223943,2752961,27
15,LINK,5,6,5,69.00497387931034,5_(36-41),757.1490578375356,2307880,27
11,LINK,2,5,2,30.004070220496896,M.USER.APP.2,759.0315285661798,2621222,27
27,LINK,198,196,7,210.0204331909091,M.USER.APP.7,760,2247651,28
28,LINK,187,112,5,112.02945950735294,M.USER.APP.5,762,4006493,29
5,LINK,188,92,2,108.00960154578755,M.USER.APP.2,765.1177315318578,2621222,29
29,LINK,197,173,9,224.02507085333335,M.USER.APP.9,768,1880314,29
24,LINK,190,83,3,270.0705887435897,M.USER.APP.3,768.0270203150001,2752961,29
6,LINK,112,3,4,86.0264933452381,M.USER.APP.4,770.0593450933334,4450882,29
9,LINK,109,188,2,144.0416066984127,M.USER.APP.2,777.0999541243542,2621222,29
11,LINK,5,91,2,130.01833022377622,M.USER.APP.2,789.0355987866767,2621222,29
30,LINK,196,185,3,192.01234511659192,M.USER.APP.3,797,2752961,30
8,LINK,173,197,3,224.03670614666666,M.USER.APP.3,797.0918839827716,2752961,30
25,LINK,112,95,5,74.01203151051051,M.USER.APP.5,801.029459507353,4006493,30
12,LINK,173,110,9,45.03547762264151,M.USER.APP.9,807.07521256,1880314,30
15,LINK,5,6,5,69.00750781896552,5_(36-37),809.1604795686831,3483628,30
10,LINK,106,109,2,118.01196905022832,M.USER.APP.2,815.1118143650349,2621222,30
31,LINK,197,173,9,224.02507085333335,M.USER.APP.9,819,1880314,30
15,LINK,6,57,5,258.0130388700565,5_(36-41),826.1540317168459,2307880,30
13,LINK,175,106,2,144.04032649230768,M.USER.APP.2,827.0953171636363,2621222,30
32,LINK,196,185,3,192.01234511659192,M.USER.APP.3,829,2752961,31
1,LINK,57,6,9,258.0086720790961,9_(55-56),835.8090010307292,1534958,32
1,LINK,57,6,9,258.00986002824857,9_(55-58),835.8090010307292,1745225,33
1,LINK,57,6,9,258.0251496949152,9_(55-59),835.8090010307292,4451496,34
1,LINK,57,6,9,258.01610819209037,9_(55-61),835.8090010307292,2851150,35
12,LINK,110,98,9,122.01038847513811,M.USER.APP.9,852.1106901826415,1880314,35
6,LINK,3,6,4,15.004565007179487,M.USER.APP.4,856.0858384385715,4450882,35
15,LINK,5,6,5,69.00677486637932,5_(36-38),861.1707862506503,3143538,35
33,LINK,169,112,4,316.0296725466667,M.USER.APP.4,862,4450882,36
6,LINK,6,85,4,50.014986134680136,M.USER.APP.4,871.090403445751,4450882,36
4,LINK,5,7,2,31.003809633517495,2_(19-20),876.938539086055,2068631,34
34,LINK,187,112,5,112.02945950735294,M.USER.APP.5,881,4006493,35
22,LINK,90,2,2,106.0069161530343,M.USER.APP.2,881.0369186197183,2621222,35
15,LINK,6,57,5,258.0196815141243,5_(36-37),895.1615395358115,3483628,35
14,LINK,112,110,3,82.00574730897704,M.USER.APP.3,901.0560429102427,2752961,35
28,LINK,112,95,5,74.01203151051051,M.USER.APP.5,913.0589190147059,4006493,34
25,LINK,95,5,5,52.00756681967213,5_(36-41),915.1414910178635,2307880,35
25,LINK,95,5,5,52.01142173114754,5_(36-37),915.1414910178635,3483628,36
25,LINK,95,5,5,52.010306681967215,5_(36-38),915.1414910178635,3143538,37
35,LINK,195,175,2,156.02382929090908,M.USER.APP.2,919,2621222,38
36,LINK,196,185,3,192.01234511659192,M.USER.APP.3,920,2752961,38
6,LINK,85,177,4,120.10855809756097,M.USER.APP.4,921.1053895804312,4450882,38
9,LINK,188,92,2,108.00960154578755,M.USER.APP.2,921.1415608227669,2621222,38
10,LINK,109,188,2,144.0416066984127,M.USER.APP.2,933.1237834152632,2621222,38
37,LINK,169,112,4,316.0296725466667,M.USER.APP.4,935,4450882,39
20,LINK,83,2,6,62.00753153977273,M.USER.APP.6,958.081232484359,2651102,39
15,LINK,6,57,5,258.01776010169493,5_(36-38),964.1683144021908,3143538,39
25,LINK,5,6,5,69.00497387931034,5_(36-41),967.1490578375356,2307880,39
27,LINK,196,185,7,192.01007915246637,M.USER.APP.7,970.0204331909091,2247651,39
13,LINK,106,109,2,118.01196905022832,M.USER.APP.2,971.135643655944,2621222,39
17,LINK,197,173,8,224.03669481333333,M.USER.APP.8,972.0398856666666,2752111,39
12,LINK,98,57,9,66.01413769924812,M.USER.APP.9,974.1210786577797,1880314,39
11,LINK,91,5,2,130.01446595104895,2_(19-20),974.9363793415788,2068631,40
11,LINK,91,5,2,130.02185848251747,2_(19-21),974.9363793415788,3125763,41
14,LINK,110,173,3,45.05194266037736,M.USER.APP.3,983.0617902192197,2752961,41
21,LINK,175,106,2,144.04032649230768,M.USER.APP.2,983.1191464545454,2621222,41
7,LINK,84,7,6,122.00730389156627,6_(42-43),986.9311406002389,2424892,42
7,LINK,84,7,6,122.01268804518072,6_(42-44),986.9311406002389,4212431,43
22,LINK,2,5,2,30.004070220496896,M.USER.APP.2,987.0438347727527,2621222,43
30,LINK,185,112,3,231.0218488968254,M.USER.APP.3,989.0123451165919,2752961,42
4,LINK,5,7,2,31.00575646961326,2_(19-21),1006.9603975685725,3125763,42
22,LINK,5,91,2,130.01833022377622,M.USER.APP.2,1017.0479049932496,2621222,41
25,LINK,5,6,5,69.00750781896552,5_(36-37),1019.1604795686831,3483628,41
20,LINK,2,107,6,74.01068992741935,M.USER.APP.6,1020.0887640241317,2651102,41
8,LINK,197,199,3,240.01994899275363,M.USER.APP.3,1021.1285901294383,2752961,41
34,LINK,112,95,5,74.01203151051051,M.USER.APP.5,1025.088378522059,4006493,41
28,LINK,95,5,5,52.00756681967213,5_(36-41),1027.1709505252163,2307880,42
28,LINK,95,5,5,52.01142173114754,5_(36-37),1027.1709505252163,3483628,43
28,LINK,95,5,5,52.010306681967215,5_(36-38),1027.1709505252163,3143538,44
14,LINK,173,197,3,224.03670614666666,M.USER.APP.3,1028.1137328795971,2752961,44
18,LINK,173,110,9,45.03547762264151,M.USER.APP.9,1031.1002834133333,1880314,43
25,LINK,6,57,5,258.0130388700565,5_(36-41),1036.154031716846,2307880,43
38,LINK,196,185,3,192.01234511659192,M.USER.APP.3,1039,2752961,43
39,LINK,197,173,9,224.02507085333335,M.USER.APP.9,1040,1880314,44
40,LINK,169,112,4,316.0296725466667,M.USER.APP.4,1041,4450882,44
6,LINK,177,193,4,284.0578036623377,M.USER.APP.4,1041.213947677992,4450882,44
41,LINK,196,185,3,192.01234511659192,M.USER.APP.3,1056,2752961,45
