id,type,src,dst,app,latency,message,ctime,size,buffer
13,LINK,194,190,3,80.013764805,M.USER.APP.3,777,2752961,0
21,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1002,4006493,0
21,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1114.0294595073528,4006493,0
27,LINK,194,190,3,80.013764805,M.USER.APP.3,1116,2752961,1
21,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1146.0402878668124,4006493,1
21,LINK,74,153,5,150.0702893508772,M.USER.APP.5,1294.0494770709408,4006493,0
41,LINK,178,107,2,336.04227777419356,M.USER.APP.2,1437,2621222,1
42,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1446,4006493,1
43,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1470,4006493,2
44,LINK,178,107,2,336.04227777419356,M.USER.APP.2,1515,2621222,3
42,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1558.0294595073528,4006493,3
45,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1561,4006493,4
46,LINK,178,107,2,336.04227777419356,M.USER.APP.2,1566,2621222,5
42,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1590.0402878668124,4006493,5
47,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1597,4006493,6
43,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1670.0589190147057,4006493,6
43,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1702.0697473741652,4006493,6
42,LINK,74,153,5,150.0702893508772,M.USER.APP.5,1738.0494770709408,4006493,6
41,LINK,107,7,2,168.0056009017094,M.USER.APP.2,1773.0422777741935,2621222,6
45,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1782.0883785220585,4006493,6
52,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1808,4006493,7
45,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1814.099206881518,4006493,7
43,LINK,74,153,5,150.0702893508772,M.USER.APP.5,1886.0586662750693,4006493,7
54,LINK,187,112,5,112.02945950735294,M.USER.APP.5,1893,4006493,7
47,LINK,112,100,5,32.01082835945946,M.USER.APP.5,1894.1178380294114,4006493,7
47,LINK,100,74,5,148.00918920412843,M.USER.APP.5,1926.128666388871,4006493,7
41,LINK,7,74,2,22.009101465277777,M.USER.APP.2,1941.047878675903,2621222,7
41,LINK,74,153,2,150.0459863508772,M.USER.APP.2,1963.0569801411807,2621222,7
56,LINK,194,190,3,80.013764805,M.USER.APP.3,1992,2752961,8
58,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2003,4006493,9
52,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2006.1472975367642,4006493,9
45,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2034.0678554791978,4006493,9
52,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2038.1581258962237,4006493,9
44,LINK,107,7,2,168.0056009017094,M.USER.APP.2,2109.084555548387,2621222,7
54,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2118.176757044117,4006493,7
54,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2150.1875854035766,4006493,7
47,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2182.077044683326,4006493,7
64,LINK,198,196,7,210.0204331909091,M.USER.APP.7,2228,2247651,7
58,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2230.20621655147,4006493,7
58,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2262.2170449109294,4006493,7
65,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2273,4006493,8
44,LINK,7,74,2,22.009101465277777,M.USER.APP.2,2277.0901564500964,2621222,8
44,LINK,74,153,2,150.0459863508772,M.USER.APP.2,2299.099257915374,2621222,8
52,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2330.086233887455,4006493,8
69,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2335,4006493,9
65,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2385.029459507353,4006493,8
65,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2417.0402878668124,4006493,8
72,LINK,178,107,2,336.04227777419356,M.USER.APP.2,2421,2621222,9
46,LINK,107,7,2,168.0056009017094,M.USER.APP.2,2445.1268333225808,2621222,8
54,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2478.095423091583,4006493,8
76,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2481,4006493,9
69,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2497.0589190147057,4006493,8
69,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2529.069747374165,4006493,8
85,LINK,178,107,2,336.04227777419356,M.USER.APP.2,2603,2621222,9
76,LINK,112,100,5,32.01082835945946,M.USER.APP.5,2609.0883785220585,4006493,9
46,LINK,7,74,2,22.009101465277777,M.USER.APP.2,2613.13243422429,2621222,9
87,LINK,178,107,2,336.04227777419356,M.USER.APP.2,2615,2621222,10
58,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2626.1046122957114,4006493,10
46,LINK,74,153,2,150.0459863508772,M.USER.APP.2,2635.1415356895677,2621222,10
76,LINK,100,74,5,148.00918920412843,M.USER.APP.5,2641.099206881518,4006493,9
91,LINK,187,112,5,112.02945950735294,M.USER.APP.5,2772,4006493,10
65,LINK,74,153,5,150.0702893508772,M.USER.APP.5,2774.1138014998396,4006493,10
